Num_Distrito,Nombre_distrito,Nombre_Especie,Num_Unidades_2024
16,Hortaleza,Acer negundo,1949
16,Hortaleza,Ligustrum japonicum,1819
16,Hortaleza,Melia azedarach,1760
16,Hortaleza,Ulmus pumila,1591
16,Hortaleza,Prunus cerasifera  subsp. pissardii,1431
16,Hortaleza,Populus alba,1322
16,Hortaleza,Aesculus hippocastanum,1122
16,Hortaleza,Catalpa bignonioides,1107
16,Hortaleza,Otros,26265
17,Villaverde,Ulmus pumila,5149
17,Villaverde,Celtis australis,3639
17,Villaverde,Platanus x hispanica,2976
17,Villaverde,Ligustrum japonicum,2301
17,Villaverde,Melia azedarach,1978
17,Villaverde,Pinus pinea,1777
17,Villaverde,Robinia pseudoacacia,1623
17,Villaverde,Pinus halepensis,1538
17,Villaverde,Aesculus hippocastanum,1524
17,Villaverde,Prunus cerasifera  subsp. pissardii,1392
17,Villaverde,Acer negundo,1155
17,Villaverde,Catalpa bignonioides,995
17,Villaverde,Otros,12685
18,Villa De Vallecas,Platanus x hispanica,4979
18,Villa De Vallecas,Celtis australis,2950
18,Villa De Vallecas,Pinus halepensis,2714
18,Villa De Vallecas,Acer negundo,1977
18,Villa De Vallecas,Ulmus pumila,1824
18,Villa De Vallecas,Robinia pseudoacacia,1753
18,Villa De Vallecas,Melia azedarach,1486
18,Villa De Vallecas,Cupressus sempervirens,1232
18,Villa De Vallecas,Styphnolobium japonicum,876
18,Villa De Vallecas,Prunus cerasifera  subsp. pissardii,870
18,Villa De Vallecas,Otros,15001
19,Vicalvaro,Celtis australis,2445
19,Vicalvaro,Pyrus calleryana,2098
19,Vicalvaro,Platanus x hispanica,1910
19,Vicalvaro,Ligustrum japonicum,1884
19,Vicalvaro,Platanus orientalis,1733
19,Vicalvaro,Pinus pinea,1595
19,Vicalvaro,Styphnolobium japonicum,1481
19,Vicalvaro,Robinia pseudoacacia,1363
19,Vicalvaro,Ulmus pumila,1250
19,Vicalvaro,Aesculus hippocastanum,1107
19,Vicalvaro,Otros,14707
20,San Blas - Canillejas,Platanus x hispanica,8020
20,San Blas - Canillejas,Pinus halepensis,4782
20,San Blas - Canillejas,Pinus pinea,3949
20,San Blas - Canillejas,Celtis australis,2986
20,San Blas - Canillejas,Acer negundo,1739
20,San Blas - Canillejas,Robinia pseudoacacia,1579
20,San Blas - Canillejas,Ulmus pumila,1534
20,San Blas - Canillejas,Aesculus hippocastanum,1428
20,San Blas - Canillejas,Ulmus sp,1093
20,San Blas - Canillejas,Melia azedarach,1064
20,San Blas - Canillejas,Styphnolobium japonicum,1013
20,San Blas - Canillejas,Otros,16911
21,Barajas,Platanus x hispanica,3356
21,Barajas,Celtis australis,1022
21,Barajas,Pinus pinea,767
21,Barajas,Catalpa bignonioides,681
21,Barajas,Melia azedarach,666
21,Barajas,Ulmus pumila,641
21,Barajas,Styphnolobium japonicum,628
21,Barajas,Pinus halepensis,600
21,Barajas,Robinia pseudoacacia,594
21,Barajas,Cupressus sempervirens,566
21,Barajas,Pyrus calleryana 'Chanticleer',455
21,Barajas,Ligustrum japonicum,427
21,Barajas,Otros,7149
