Nº_Distrito;Nombre_distrito;NOMBRE_ESPECIE;Nº_Unidades 2024
15;CIUDAD LINEAL;Pinus pinea;3540
15;CIUDAD LINEAL;Styphnolobium japonicum;1594
15;CIUDAD LINEAL;Celtis australis;1530
15;CIUDAD LINEAL;Prunus cerasifera  subsp. pissardii;1313
15;CIUDAD LINEAL;Robinia pseudoacacia;1184
15;CIUDAD LINEAL;Acer negundo;1116
15;CIUDAD LINEAL;Cupressus sempervirens;1075
15;CIUDAD LINEAL;Prunus dulcis;993
15;CIUDAD LINEAL;Pinus halepensis;853
15;CIUDAD LINEAL;Otros;16273
;;;
16;HORTALEZA;Pinus pinea;4921
16;HORTALEZA;Platanus x hispanica;4593
16;HORTALEZA;Celtis australis;4176
16;HORTALEZA;Styphnolobium japonicum;2918
16;HORTALEZA;Cupressus sempervirens;2148
16;HORTALEZA;Robinia pseudoacacia;2113
16;HORTALEZA;Acer negundo;1949
16;HORTALEZA;Ligustrum japonicum;1819
16;HORTALEZA;Melia azedarach;1760
16;HORTALEZA;Ulmus pumila;1591
16;HORTALEZA;Prunus cerasifera  subsp. pissardii;1431
16;HORTALEZA;Populus alba;1322
16;HORTALEZA;Aesculus hippocastanum;1122
16;HORTALEZA;Catalpa bignonioides;1107
16;HORTALEZA;Otros;26265
;;;
17;VILLAVERDE;Ulmus pumila;5149
17;VILLAVERDE;Celtis australis;3639
17;VILLAVERDE;Platanus x hispanica;2976
17;VILLAVERDE;Ligustrum japonicum;2301
17;VILLAVERDE;Melia azedarach;1978
17;VILLAVERDE;Pinus pinea;1777
17;VILLAVERDE;Robinia pseudoacacia;1623
17;VILLAVERDE;Pinus halepensis;1538
17;VILLAVERDE;Aesculus hippocastanum;1524
17;VILLAVERDE;Prunus cerasifera  subsp. pissardii;1392
17;VILLAVERDE;Acer negundo;1155
17;VILLAVERDE;Catalpa bignonioides;995
17;VILLAVERDE;Otros;12685
;;;
18;VILLA DE VALLECAS;Platanus x hispanica;4979
18;VILLA DE VALLECAS;Celtis australis;2950
18;VILLA DE VALLECAS;Pinus halepensis;2714
18;VILLA DE VALLECAS;Acer negundo;1977
18;VILLA DE VALLECAS;Ulmus pumila;1824
18;VILLA DE VALLECAS;Robinia pseudoacacia;1753
18;VILLA DE VALLECAS;Melia azedarach;1486
18;VILLA DE VALLECAS;Cupressus sempervirens;1232
18;VILLA DE VALLECAS;Styphnolobium japonicum;876
18;VILLA DE VALLECAS;Prunus cerasifera  subsp. pissardii;870
18;VILLA DE VALLECAS;Otros;15001
;;;
19;VICALVARO;Celtis australis;2445
19;VICALVARO;Pyrus calleryana;2098
19;VICALVARO;Platanus x hispanica;1910
19;VICALVARO;Ligustrum japonicum;1884
19;VICALVARO;Platanus orientalis;1733
19;VICALVARO;Pinus pinea;1595
19;VICALVARO;Styphnolobium japonicum;1481
19;VICALVARO;Robinia pseudoacacia;1363
19;VICALVARO;Ulmus pumila;1250
19;VICALVARO;Aesculus hippocastanum;1107
19;VICALVARO;Otros;14707
;;;
20;SAN BLAS - CANILLEJAS;Platanus x hispanica;8020
20;SAN BLAS - CANILLEJAS;Pinus halepensis;4782
20;SAN BLAS - CANILLEJAS;Pinus pinea;3949
20;SAN BLAS - CANILLEJAS;Celtis australis;2986
20;SAN BLAS - CANILLEJAS;Acer negundo;1739
20;SAN BLAS - CANILLEJAS;Robinia pseudoacacia;1579
20;SAN BLAS - CANILLEJAS;Ulmus pumila;1534
20;SAN BLAS - CANILLEJAS;Aesculus hippocastanum;1428
20;SAN BLAS - CANILLEJAS;Ulmus sp;1093
20;SAN BLAS - CANILLEJAS;Melia azedarach;1064
20;SAN BLAS - CANILLEJAS;Styphnolobium japonicum;1013
20;SAN BLAS - CANILLEJAS;Otros;16911
;;;
21;BARAJAS;Platanus x hispanica;3356
21;BARAJAS;Celtis australis;1022
21;BARAJAS;Pinus pinea;767
21;BARAJAS;Catalpa bignonioides;681
21;BARAJAS;Melia azedarach;666
21;BARAJAS;Ulmus pumila;641
21;BARAJAS;Styphnolobium japonicum;628
21;BARAJAS;Pinus halepensis;600
21;BARAJAS;Robinia pseudoacacia;594
21;BARAJAS;Cupressus sempervirens;566
21;BARAJAS;Pyrus calleryana 'Chanticleer';455
21;BARAJAS;Ligustrum japonicum;427
21;BARAJAS;Otros;7149
;;;
;;;
