Year,Concept,Tipo territorio,Value
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1986,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1987,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1988,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1989,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1990,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1991,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1992,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,44.0
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,52.2
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,40.3
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,41.0
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,50.3
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,28.2
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,38.0
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,37.5
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Parla,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,53.9
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,37.5
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1993,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Colmenar Viejo,Otros,17.7
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,25.3
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,16.3
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,24.5
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,19.9
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,24.6
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Móstoles,Otros,22.5
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Torrejón de Ardoz,Otros,24.6
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Collado Villalba,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Parla,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,23.3
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,17.6
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1994,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Coslada,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Rivas-Vaciamadrid,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Martín de Valdeiglesias,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Parla,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Arganda del Rey,Otros,22.0
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Guadalix de la Sierra,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Algete,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Getafe,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcalá de Henares,Otros,45.5
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcobendas,Otros,31.8
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Alcorcón,Otros,58.6
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Aranjuez,Otros,10.7
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villa del Prado,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Atazar El,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Orusco,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Villarejo de Salvanés,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Pozuelo de Alarcón,Otros,13.5
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en las Rozas de Madrid (Las),Otros,13.7
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en San Sebastián de los Reyes,Otros,14.1
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Puerto de Cotos,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Valdemoro,Otros,-
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Fuenlabrada,Otros,61.9
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Leganés,Otros,41.8
1995,Valor medio de la contaminación atmosférica por dióxido de nitrógeno en Majadahonda,Otros,-
