district,subcategory,section,file_number,property_type,location,land_use,area_m2
Centro,zonas verdes,parques y jardines,300.01,urbana,RONDA DE SEGOVIA NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,654.66
Centro,zonas verdes,parques y jardines,300.011,urbana,PLAZA DE GABRIEL MIRO,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU INTERIOR SE ENCUENTRA LA PISTA DEPORTIVA""GABRIEL MIRÓ"" (TAMBIÉN DENOMINADA ""LAS VISTILLAS""), SITUADA EN LA C/ GABRIEL MIRÓ C/V C/ BEATRIZGALINDO C/V C/ MORERÍA.",12346.82
Centro,zonas verdes,parques y jardines,300.012,urbana,CUESTA DE LOS CIEGOS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,77.08
Centro,zonas verdes,parques y jardines,300.013,urbana,CALLE DE BEATRIZ GALINDO NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,496.08
Centro,zonas verdes,parques y jardines,300.014,urbana,CUESTA DE LOS CIEGOS NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,776.35
Centro,zonas verdes,parques y jardines,300.015,urbana,CUESTA DE LOS CIEGOS NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,539.0
Centro,zonas verdes,parques y jardines,300.016,urbana,CUESTA DE JAVALQUINTO NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,745.85
Centro,zonas verdes,parques y jardines,300.017,urbana,CUESTA DE JAVALQUINTO NUM 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,451.49
Centro,zonas verdes,parques y jardines,300.018,urbana,CALLE DE LA MORERIA NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1099.58
Centro,zonas verdes,parques y jardines,300.019,urbana,CALLE DE LA MORERIA NUM 22,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,939.95
Centro,zonas verdes,parques y jardines,300.02,urbana,CUESTA DE LOS CIEGOS C/V C/ DE BEATRIZ GALINDO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,471.75
Centro,zonas verdes,parques y jardines,300.021,urbana,CALLE DE BARCELÓ,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN SU SUBSUELO SE CONSTRUYERON UNOSEVACUATORIOS.,13461.43
Centro,zonas verdes,parques y jardines,300.027,urbana,CALLE DE FUENCARRAL NUM 43,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,710.4
Centro,zonas verdes,parques y jardines,300.022,urbana,CALLE DE LA ALAMEDA NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. CUBIERTA P.A.R.,463.0
Centro,zonas verdes,parques y jardines,300.023,urbana,RONDA SEGOVIA NUM 57,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. FORMA PARTE DEL JARDÍN CATALOGADO ""JARDÍN EN C/ALGECIRAS"", CON PROTECCIÓN NIVEL 3.",2120.0
Centro,zonas verdes,parques y jardines,300.024,urbana,RONDA SEGOVIA NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,704.65
Centro,zonas verdes,parques y jardines,300.025,urbana,CALLE DE JERTE NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,395.35
Centro,zonas verdes,parques y jardines,300.026,urbana,CALLE DEL MESÓN DE PAREDES NUM 63,DOTACIONAL SERVICIOS COLECTIVOS ZONA VERDE BÁSICO.,1128.38
Centro,zonas verdes,parques y jardines,300.028,urbana,CALLE DE ALGECIRAS NUM 8,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. SOLAR QUE HA PASADO A ZONA VERDE. BAJA FINCA Nº73 DEL INVENTARIO DEL AYUNTAMIENTO DE MADRID.,372.3
Centro,zonas verdes,parques y jardines,300.029,urbana,CALLE DE ALGECIRAS NUM 4-6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,920.5
Centro,zonas verdes,parques y jardines,300.03,urbana,CALLE DEL ROSARIO C/V C/ DE JERTE,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA LA PISTA DEPORTIVA PARQUE DE LA CORNISA (PISTA DE BALONCESTO, PISTA DE VÓLEY Y FUTBOLEY,PISTA DE BÁDMIN TON Y TENIS DE MESA), SITA EN CALLE DEL ROSARIO, NÚMERO 5.",14193.99
Centro,zonas verdes,parques y jardines,301.048,urbana,AVENIDA DE LA GRAN VIA DE SAN FRANCISCO NUM 19-21,DOTACIONAL SERVICIO COLECTIVOS ZONAS VERDES BÁSICO.,3385.55
Centro,zonas verdes,parques y jardines,301.077,urbana,CALLE DEL CASINO NUM 3 Y 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. (LA ZONA NORTE ESTÁ CALIFICADA DE VÍA PÚBLICASEGÚN PGOUM 97).,3098.0
Centro,zonas verdes,parques y jardines,301.216,urbana,CALLE DE EMBAJADORES NUM 66 B,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAINCLUIDA LA INSTALACIÓN DEPORTIVA BÁSICA PARQUE CASINO DE LA REINA (PISTA POLIDEPORTIVA Y PISTA DEBALONCESTO), SITA EN C/ EMBAJADORES, 66 C/V C/ CASINO, 3, ASÍ COMO UN QUIOSCO DE BEBIDAS.",7343.75
Centro,zonas verdes,parques y jardines,301.253,urbana,CALLE DEL SOMBRERETE NUM 15,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PARCELA NO DADA DE ALTA EN PMS; PARCELAREGULARIZADA POR LA LA DIRECTORA GENERAL DE PATRIMONIO POR CERTIFICACIÓN DE 23 DE MARZO DE 2018,AGRUPACIÓN Y SEGREGACIÓN DE FINCAS.",207.21
Centro,zonas verdes,parques y jardines,301.255,urbana,PLAZA DEL GENERAL VARA DEL REY,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2379.34
Centro,zonas verdes,parques y jardines,301.49,urbana,CALLE DE LAVAPIÉS NUM 19,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,518.29
Arganzuela,zonas verdes,parques y jardines,300.032,urbana,PASEO DE LAS YESERIAS,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. DENTRO DE SU PERIMETRO, PROXIMO AL PASEO DEYESERIAS, SE ENCUENTRA UBICADO UN EVACUATORIO, DOS CASETAS DE JARDINEROS, UN CAMPO DE FÚTBOL Y UNLOCAL DE MOTORES PARA LA ELEVACIÓN DEL AGUA DE LA FUENTE.",108873.35
Arganzuela,zonas verdes,parques y jardines,300.034,urbana,CALLE DEL CONCEJAL BENITO MARTÍN LOZANO NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE ENCUENTRA UBICADA UNACASETA DE PERSONAL Y ALMACÉN DE HERRAMIENTAS.,9141.5
Arganzuela,zonas verdes,parques y jardines,300.035,urbana,CALLE DE SAN ISIDORO DE SEVILLA NUM 15 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3013.5
Arganzuela,zonas verdes,parques y jardines,300.036,urbana,PASEO DE LAS YESERIAS NUM 43-49,"PARCELA COMPUESTA DE TRES FINCAS REGISTRALES. LA 35.219 Y LA 35.225 ESTÁN CALIFICADAS COMO DOTACIONALSERVICIOS COLECTIVOS ZONAS VERDES. LA FINCA REGISTRAL 35.227,CON SUPERFICIE DE 299 METROS CUADRADOS,Nº DE INVENTARIO PMS 3.811 ESTÁ CALIFICADA COMO DOTACIONAL SERVICIOS COLECTIVOS EQUIPAMIENTO BÁSICO;SU DESTINO ACTUAL ES UN PARQUE DE COLUMPIOS.",776.2
Arganzuela,zonas verdes,parques y jardines,300.037,urbana,CALLE DE CARMEN COBEÑA NUM 5 B,"PARCELA NO INVENTARIADA EN PMS, CUYO PERÍMETRO ESTÁ INCLUIDO EN ALINEACIÓN DE VOLUMETRÍA ESPECÍFICA,NORMA ZONA 3.2, SEGÚN PGOUM 97.",176.55
Arganzuela,zonas verdes,parques y jardines,300.039,urbana,CALLE DE EROS NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. DENTRO DE SU PERÍMETRO SE HALLA UBICADA LA IDBEROS (PISTA DE FÚTBOL SALA).,6731.0
Arganzuela,zonas verdes,parques y jardines,300.064,urbana,CALLE DE VILLOSLADA NUM 5-11,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PROTECCIÓN ARQUEOLÓGICA (ZPA TERRAZAS DELMANZANARES - NIVEL B).,2951.0
Arganzuela,zonas verdes,parques y jardines,300.066,urbana,CALLE DEL PUERTO DE BÉJAR C/V C/ DE EMBAJADORES,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1880.81
Arganzuela,zonas verdes,parques y jardines,300.068,urbana,TRAVESIA DE LOS MELANCÓLICOS,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2916.41
Arganzuela,zonas verdes,parques y jardines,300.069,urbana,CALLE DE LA ANTRACITA NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,828.4
Arganzuela,zonas verdes,parques y jardines,300.07,urbana,CALLE DEL RODIO C/V C/ DEL PLOMO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1072.6
Arganzuela,zonas verdes,parques y jardines,300.071,urbana,CALLE DE TITÁN NUM 12,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4544.0
Arganzuela,zonas verdes,parques y jardines,300.072,urbana,CALLE DEL PLANETA TIERRA NUM 1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1890.0
Arganzuela,zonas verdes,parques y jardines,300.073,urbana,CALLE DE TITÁN NUM 11-15,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,10647.0
Arganzuela,zonas verdes,parques y jardines,300.074,urbana,CALLE DEL RODIO C/V C/ DE EMBAJADORES NUM 181,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,6992.0
Arganzuela,zonas verdes,parques y jardines,300.075,urbana,CALLE DEL RODIO NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1520.0
Arganzuela,zonas verdes,parques y jardines,300.076,urbana,CALLE DE LA ANTRACITA NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2131.0
Arganzuela,zonas verdes,parques y jardines,300.077,urbana,CALLE DEL RODIO C/V C/ DEL HIERRO,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO; UNA PEQUEÑA PARTE DE LA PARCELA CORRESPONDE ASUELO DOTACIONAL DE EQUIPAMIENTOS.,1260.0
Arganzuela,zonas verdes,parques y jardines,300.078,urbana,CALLE DE AMALTEA NUM 13,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,835.79
Arganzuela,zonas verdes,parques y jardines,300.079,urbana,CALLE DE AMALTEA NUM 11,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,529.94
Arganzuela,zonas verdes,parques y jardines,300.08,urbana,CALLE DE AMALTEA NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PARTE ES VÍA PÚBLICA EN EL PGOUM-97.,1571.1
Arganzuela,zonas verdes,parques y jardines,300.081,urbana,CALLE DE AMALTEA NUM 2,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1948.51
Arganzuela,zonas verdes,parques y jardines,300.082,urbana,CALLE DEL HIERRO NUM 6,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1998.15
Arganzuela,zonas verdes,parques y jardines,300.083,urbana,CALLE DEL HIERRO NUM 8-16,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2201.85
Arganzuela,zonas verdes,parques y jardines,300.084,urbana,CALLE DE VALDEMORILLO NUM 3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,650.62
Arganzuela,zonas verdes,parques y jardines,300.085,urbana,CALLE DEL TENIENTE CORONEL NOREÑA NUM 67,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1894.05
Arganzuela,zonas verdes,parques y jardines,300.086,urbana,PLAZA DE CASAR DE CÁCERES,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRA UBICADA LAINSTALACIÓN DEPORTIVA BÁSICA DENOMINADA JUAN DE VERA (PISTA DE BALONCESTO).,2550.0
Arganzuela,zonas verdes,parques y jardines,300.062,urbana,CALLE DE LEONOR DE LA VEGA NUM 1-11,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1022.14
Arganzuela,zonas verdes,parques y jardines,300.063,urbana,CALLE DEL ORIANA NUM 10,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4139.65
Arganzuela,zonas verdes,parques y jardines,300.04,urbana,CALLE DE TOLEDO NUM 177,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO, CON PROTECCIÓN NIVEL 3.",3267.0
Arganzuela,zonas verdes,parques y jardines,300.041,urbana,CALLE DE RICARDO DAMAS NUM 1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4385.08
Arganzuela,zonas verdes,parques y jardines,300.042,urbana,CALLE DE MAZARREDO NUM 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1200.0
Arganzuela,zonas verdes,parques y jardines,300.043,urbana,CALLE DEL TENIENTE CORONEL NOREÑA NUM 26 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1625.76
Arganzuela,zonas verdes,parques y jardines,300.044,urbana,"CALLE DEL GENERAL LACY, NUM. 23 C/V C/ BUSTAMANTE",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1350.26
Arganzuela,zonas verdes,parques y jardines,300.045,urbana,CALLE DE ARGANDA NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,5336.95
Arganzuela,zonas verdes,parques y jardines,300.046,urbana,CALLE DEL CINZ NUM 1-3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1350.0
Arganzuela,zonas verdes,parques y jardines,300.047,urbana,CALLE DE LA CIRCONITA NUM 1-3,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1350.0
Arganzuela,zonas verdes,parques y jardines,300.048,urbana,CALLE DE EMBAJADORES NUM 173,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,4547.27
Arganzuela,zonas verdes,parques y jardines,300.049,urbana,CALLE DE MELILLA NUM 9,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,864.0
Arganzuela,zonas verdes,parques y jardines,300.05,urbana,"CALLE DE GRANITO, FRENTE AL NUM 32-36",DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1092.34
Arganzuela,zonas verdes,parques y jardines,300.051,urbana,CALLE DE ARGANDA NUM 1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,7637.0
Arganzuela,zonas verdes,parques y jardines,300.052,urbana,CALLE DE MELILLA NUM 57-65,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1305.0
Arganzuela,zonas verdes,parques y jardines,300.053,urbana,CALLE DE MELILLA NUM 37-47,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1350.0
Arganzuela,zonas verdes,parques y jardines,300.054,urbana,CALLE DE TOLEDO NUM 151,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,443.43
Arganzuela,zonas verdes,parques y jardines,300.055,urbana,CALLE DE TOLEDO NUM 155,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3154.88
Arganzuela,zonas verdes,parques y jardines,300.056,urbana,TRAVESIA DE SAN ISIDORO DE SEVILLA NUM 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2390.54
Arganzuela,zonas verdes,parques y jardines,300.057,urbana,CALLE DE BOLÍVAR NUM 18B-D,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1077.2
Arganzuela,zonas verdes,parques y jardines,300.058,urbana,CALLE DE TOMÁS BRETÓN NUM 58,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2099.0
Arganzuela,zonas verdes,parques y jardines,300.059,urbana,CALLE DE BOLÍVAR NUM 24B-E,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2061.82
Arganzuela,zonas verdes,parques y jardines,300.06,urbana,CALLE DEL PLOMO NUM 5A,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,873.28
Arganzuela,zonas verdes,parques y jardines,300.038,urbana,CALLE DE TOLEDO NUM 178,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3033.0
Arganzuela,zonas verdes,parques y jardines,301.046,urbana,CALLE DEL CRISTO DEL CAMINO NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR.,10608.66
Arganzuela,zonas verdes,parques y jardines,301.047,urbana,CALLE DEL PÁRROCO EUSEBIO CUENCA NUM 13,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR.,36633.96
Arganzuela,zonas verdes,parques y jardines,301.049,urbana,CALLE DE ALEJANDRO SAINT AUBIN NUM 2 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,443.0
Arganzuela,zonas verdes,parques y jardines,301.05,urbana,GLORIETA DE SAN VÍCTOR,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1312.35
Arganzuela,zonas verdes,parques y jardines,301.112,urbana,CALLE DE GARGANTILLA NUM 2,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. PARQUE URBANO. EN EL INTERIOR DE SU PERÍMETRO SEENCUENTRAN UBICADAS UNA CASETA DE PERSONAL Y UN ALMACÉN DE HERRAMIENTAS.,28239.0
Arganzuela,zonas verdes,parques y jardines,301.202,urbana,CALLE DE PALOS DE LA FRONTERA NUM 42,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2990.56
Arganzuela,zonas verdes,parques y jardines,301.203,urbana,PASEO DE LAS YESERÍAS NUM 35 B,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,9150.0
Arganzuela,zonas verdes,parques y jardines,301.204,urbana,CALLE DE MORATINES NUM 27,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,3363.0
Arganzuela,zonas verdes,parques y jardines,301.205,urbana,CALLE DE VILLA DEL PRADO NUM 2-4,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1799.0
Arganzuela,zonas verdes,parques y jardines,301.206,urbana,PASEO DE LAS ACACIAS NUM 31,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA LA INSTALACIÓN DEPORTIVA BÁSICA DOCTOR VALLEJO NÁJERA (PISTA DE BALONCESTO), SITA EN LA CALLEGASÓMETRO, NÚM. 32.",7664.63
Arganzuela,zonas verdes,parques y jardines,301.207,urbana,CALLE DE RAMÍREZ DE PRADO NUM 2,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADA LA INSTALACIÓN DEPORTIVA BÁSICA RAMIREZ DE PRADO, C/ RAMÍREZ DE PRADO, 2 (PISTA DEBALONCESTO. PISTA DE PATINAJE).",11098.0
Arganzuela,zonas verdes,parques y jardines,301.208,urbana,PASEO DEL MOLINO NUM 2,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2833.23
Arganzuela,zonas verdes,parques y jardines,301.209,urbana,CALLE DE ALEJANDRO SAINT AUBIN NUM 8,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,1060.0
Arganzuela,zonas verdes,parques y jardines,301.217,urbana,CALLE DE CARABAÑA NUM 7,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,188.61
Arganzuela,zonas verdes,parques y jardines,301.218,urbana,CALLE DE CARABAÑA NUM 1-5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,260.99
Arganzuela,zonas verdes,parques y jardines,301.219,urbana,CALLE DE MÉNDEZ ÁLVARO NUM 44-54,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO.,2721.0
Arganzuela,zonas verdes,parques y jardines,301.259,urbana,CALLE DE EMBAJADORES NUM 316-E,"DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES SINGULAR. EN EL INTERIOR DE SU PERÍMETRO SE ENCUENTRAUBICADO EL NUEVO EMPLAZAMIENTO DEL EDIFICIO MADRID RÍO EJECUTADO EN EL ÁMBITO DEL CONTRATO DE OBRASDE CONSTRUCCIÓN DE AMPLIACIÓN DE LA LÍNEA 11 DEL METRO DE MADRID, TRAMO PLAZA ELÍPTICA-CONDE DECASAL, COMO CONSTA EN EL ACTA DE ENTREGA Y PUESTA EN SERVICIO A FAVOR DEL AYUNTAMIENTO DE MADRID DEFECHA 14/06/2024.",9848.0
Arganzuela,zonas verdes,parques y jardines,301.262,urbana,PASEO DE LAS YESERÍAS NUM 10,UNDEFINED,8791.48
Arganzuela,zonas verdes,parques y jardines,301.263,urbana,PASEO DE LA CHOPERA NUM 10 A,"EN EL INTERIOR DE SU PERÍMETRO SE UBICAN UNA CASETA DE JARDINEROS, OTRA DESTINADA A CENTRO DEINTERPRETACIÓN DE MADRID-RÍO Y OTRO EN SUBSUELO PARA ALMACENES.",62393.43
Arganzuela,zonas verdes,parques y jardines,301.422,urbana,PASEO IMPERIAL NUM 32,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO ZONA VERDE DE BARRIO.,4196.59
Arganzuela,zonas verdes,parques y jardines,301.423,urbana,CALLE DE CASIMIRO MAHOU BIERHANS NUM 2,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO ZONA VERDE DE BARRIO.,5064.89
Arganzuela,zonas verdes,parques y jardines,301.424,urbana,CALLE DE ALEJANDRO DUMAS NUM 34,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO ZONA VERDE DE BARRIO.,2873.43
Arganzuela,zonas verdes,parques y jardines,301.425,urbana,CALLE DE CASIMIRO MAHOU BIERHANS NUM 17,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO ZONA VERDE DE BARRIO.,1808.47
Arganzuela,zonas verdes,parques y jardines,301.426,urbana,CALLE DE CASIMIRO MAHOU BIERHANS NUM 5,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO ZONA VERDE DE BARRIO.,741.87
Arganzuela,zonas verdes,parques y jardines,301.427,urbana,PASEO DE LA VIRGEN DEL PUERTO NUM 67,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES BÁSICO PARQUE DE DISTRITO.,24931.87
Arganzuela,zonas verdes,parques y jardines,301.434,urbana,CALLE DE ALPEDRETE NUM 20,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,615.62
Arganzuela,zonas verdes,parques y jardines,301.435,urbana,CALLE DE LEGANÉS NUM 1,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,2106.0
Arganzuela,zonas verdes,parques y jardines,301.436,urbana,CALLE DE ALAMEDILLA NUM 14,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,1525.95
Arganzuela,zonas verdes,parques y jardines,301.437,urbana,CALLE DE MÉNDEZ ÁLVARO NUM 63,DOTACIONAL SERVICIOS COLECTIVOS ZONAS VERDES.,3019.77
