park_name,species_name,units_2024,Column,Column2,Column3,Column4
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Cupressus sempervirens,31,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Taxus baccata,28,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Magnolia grandiflora,9,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Cedrus deodara,8,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Cupressus macrocarpa,6,,,,
Jardines Plaza De Oriente - Jardín Del Cabo Noval-jardín De Lepanto,Pinus halepensis,1,,,,
Parque De La Dehesa De La Villa,Pinus pinea,4769,,,,
Parque De La Dehesa De La Villa,Pinus halepensis,691,,,,
Parque De La Dehesa De La Villa,Prunus dulcis,930,,,,
Parque De La Dehesa De La Villa,Ulmus pumila,362,,,,
Parque De La Dehesa De La Villa,Quercus ilex,932,,,,
Parque De La Dehesa De La Villa,Ailanthus altissima,276,,,,
Parque De La Dehesa De La Villa,Fraxinus angustifolia,207,,,,
Parque De La Dehesa De La Villa,Platanus x hispanica,139,,,,
Parque De La Dehesa De La Villa,Gleditsia triacanthos,183,,,,
Parque De La Dehesa De La Villa,Celtis australis,131,,,,
Parque De La Dehesa De La Villa,Otros,2477,,,,
Parque Madrid Río,Pinus pinea,2922,,,,
Parque Madrid Río,Pinus halepensis,2358,,,,
Parque Madrid Río,Platanus x hispanica,1508,,,,
Parque Madrid Río,Acer X Freemanii,596,,,,
Parque Madrid Río,Melia azedarach,511,,,,
Parque Madrid Río,Populus Nigra,496,,,,
Parque Madrid Río,Fraxinus angustifolia,476,,,,
Parque Madrid Río,Aesculus hippocastanum,433,,,,
Parque Madrid Río,Celtis australis,380,,,,
Parque Madrid Río,Ginkgo Biloba,358,,,,
Parque Madrid Río,Otros,4071,,,,
Parque Lineal Del Manzanares,Populus Nigra,2526,,,,
Parque Lineal Del Manzanares,Pinus pinea,2457,,,,
Parque Lineal Del Manzanares,Celtis australis,2247,,,,
Parque Lineal Del Manzanares,Fraxinus angustifolia,914,,,,
Parque Lineal Del Manzanares,Platanus x hispanica,659,,,,
Parque Lineal Del Manzanares,Olea europaea,506,,,,
Parque Lineal Del Manzanares,Ulmus Sp,498,,,,
Parque Lineal Del Manzanares,Cupressus sempervirens,405,,,,
Parque Lineal Del Manzanares,Pinus halepensis,277,,,,
Parque Lineal Del Manzanares,Gleditsia triacanthos,263,,,,
Parque Lineal Del Manzanares,Otros,2805,,,,
Parque Juan Pablo Ii,Pinus pinea,142,,,,
Parque Juan Pablo Ii,Aesculus hippocastanum,134,,,,
Parque Juan Pablo Ii,Celtis australis,126,,,,
Parque Juan Pablo Ii,Morus Alba,125,,,,
Parque Juan Pablo Ii,Gleditsia triacanthos,88,,,,
Parque Juan Pablo Ii,Prunus dulcis,78,,,,
Parque Juan Pablo Ii,Cupressus sempervirens,55,,,,
Parque Juan Pablo Ii,Liquidambar Styraciflua,52,,,,
Parque Juan Pablo Ii,Lagerstroemia Indica,47,,,,
Parque Juan Pablo Ii,Punica Granatum,47,,,,
Parque Juan Pablo Ii,Otros,688,,,,
Parque Juan Carlos I,Olea europaea,2430,,,,
Parque Juan Carlos I,Pinus pinea,1074,,,,
Parque Juan Carlos I,Catalpa bignonioides,882,,,,
Parque Juan Carlos I,Styphnolobium japonicum,615,,,,
Parque Juan Carlos I,Cupressus sempervirens,551,,,,
Parque Juan Carlos I,Fraxinus excelsior,512,,,,
Parque Juan Carlos I,Morus Alba,491,,,,
Parque Juan Carlos I,Platanus x hispanica,476,,,,
Parque Juan Carlos I,Gleditsia triacanthos,424,,,,
Parque Juan Carlos I,Populus Alba,356,,,,
Parque Juan Carlos I,Otros,6105,,,,
Zonas Verdes Distrito C - Las Tablas,Pinus pinea,453,,,,
Zonas Verdes Distrito C - Las Tablas,Celtis australis,337,,,,
Zonas Verdes Distrito C - Las Tablas,Prunus cerasifera subsp. pissardii,156,,,,
Zonas Verdes Distrito C - Las Tablas,Melia azedarach,111,,,,
Zonas Verdes Distrito C - Las Tablas,Pinus Nigra,89,,,,
Zonas Verdes Distrito C - Las Tablas,Koelreuteria Paniculata,77,,,,
Zonas Verdes Distrito C - Las Tablas,X Cupressocyparis X Leylandii,72,,,,
Zonas Verdes Distrito C - Las Tablas,Pyrus Calleryana 'chanticleer',72,,,,
Zonas Verdes Distrito C - Las Tablas,Liquidambar Styraciflua,55,,,,
Zonas Verdes Distrito C - Las Tablas,Olea europaea,49,,,,
Zonas Verdes Distrito C - Las Tablas,Otros,349,,,,
Parque Forestal De Valdebebas - Felipe Vi,Celtis australis,882,,,,
Parque Forestal De Valdebebas - Felipe Vi,Morus Alba 'fruitless',412,,,,
Parque Forestal De Valdebebas - Felipe Vi,Koelreuteria Paniculata,347,,,,
Parque Forestal De Valdebebas - Felipe Vi,Fraxinus angustifolia,287,,,,
Parque Forestal De Valdebebas - Felipe Vi,Prunus dulcis,258,,,,
Parque Forestal De Valdebebas - Felipe Vi,Olea europaea,163,,,,
Parque Forestal De Valdebebas - Felipe Vi,Pinus pinea,126,,,,
Parque Forestal De Valdebebas - Felipe Vi,Cercis siliquastrum,119,,,,
Parque Forestal De Valdebebas - Felipe Vi,Aesculus hippocastanum,112,,,,
Parque Forestal De Valdebebas - Felipe Vi,Pyrus Calleryana 'chanticleer',112,,,,
Parque Forestal De Valdebebas - Felipe Vi,Otros,1973,,,,
Parque Princesa Leonor,Celtis australis,327,,,,
Parque Princesa Leonor,Prunus dulcis,244,,,,
Parque Princesa Leonor,Acer campestre,163,,,,
Parque Princesa Leonor,Olea europaea,128,,,,
Parque Princesa Leonor,Malus 'evereste',120,,,,
Parque Princesa Leonor,Melia azedarach,101,,,,
Parque Princesa Leonor,Ziziphus Jujuba,100,,,,
Parque Princesa Leonor,Populus Nigra,67,,,,
Parque Princesa Leonor,Koelreuteria Paniculata,64,,,,
Parque Princesa Leonor,Tilia Cordata 'greenspire',62,,,,
Parque Princesa Leonor,Otros,579,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Pinus halepensis,2861,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Pinus pinea,2854,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Celtis australis,1260,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Quercus ilex,842,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Platanus Orientalis,634,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Cedrus deodara,620,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Ulmus pumila,389,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Quercus robur,306,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Melia azedarach,287,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Cupressus sempervirens,253,,,,
Cuña Verde De O´donnell Y Fuente Carrantona,Otros,3357,,,,
"Rosaleda De Madrid ""ramon Ortiz"",Cedrus deodara,53,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Acer negundo,17,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Acer campestre,7,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Thuja occidentalis,7,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Prunus cerasifera subsp. pissardii,6,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Populus alba 'Bolleana',5,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Betula Utilis,2,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Cedrus Atlantica 'glauca',2,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Carpinus Betulus,2,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Ligustrum japonicum,2,,,,"
"Rosaleda De Madrid ""ramon Ortiz"",Otros,13,,,,"
Jardines De La Plaza De España,Platanus x hispanica,160,,,,
Jardines De La Plaza De España,Acer campestre,80,,,,
Jardines De La Plaza De España,Acer Platanoides 'crimson King',68,,,,
Jardines De La Plaza De España,Acer Saccharinum,67,,,,
Jardines De La Plaza De España,Cercis siliquastrum,43,,,,
Jardines De La Plaza De España,Physostegia Virginiana,42,,,,
Jardines De La Plaza De España,Punica Granatum,41,,,,
Jardines De La Plaza De España,Acer X Freemanii 'autumn Blaze',39,,,,
Jardines De La Plaza De España,Acer Monspessulanum,34,,,,
Jardines De La Plaza De España,Koelreuteria Paniculata,33,,,,
Jardines De La Plaza De España,Otros,385,,,,
Parque De La Gavia,Celtis australis,256,,,,
Parque De La Gavia,Fraxinus angustifolia,248,,,,
Parque De La Gavia,Melia azedarach,210,,,,
Parque De La Gavia,Quercus ilex,199,,,,
Parque De La Gavia,Morus Alba,183,,,,
Parque De La Gavia,Acer campestre,167,,,,
Parque De La Gavia,Gleditsia triacanthos,125,,,,
Parque De La Gavia,Cydonia Oblonga,123,,,,
Parque De La Gavia,Elaeagnus Angustifolia,123,,,,
Parque De La Gavia,Ulmus pumila,114,,,,
Parque De La Gavia,Otros,1435,,,,
Parque De La Atalayuela,Pinus pinea,574,,,,
Parque De La Atalayuela,Pyrus Calleryana,54,,,,
Parque De La Atalayuela,Celtis australis,38,,,,
Parque De La Atalayuela,Fraxinus Sp,33,,,,
Parque De La Atalayuela,Fraxinus angustifolia,31,,,,
Parque De La Atalayuela,Tilia Cordata,30,,,,
Parque De La Atalayuela,Populus Nigra,27,,,,
Parque De La Atalayuela,Quercus ilex,15,,,,
Parque De La Atalayuela,Quercus Rubra,15,,,,
Parque De La Atalayuela,Acer pseudoplatanus,14,,,,
Parque De La Atalayuela,Otros,23,,,,
Jardín De La Quinta De Torre Arias,Ulmus minor,1020,,,,
Jardín De La Quinta De Torre Arias,Prunus dulcis,295,,,,
Jardín De La Quinta De Torre Arias,Ailanthus altissima,207,,,,
Jardín De La Quinta De Torre Arias,Cercis siliquastrum,170,,,,
Jardín De La Quinta De Torre Arias,Pinus pinea,151,,,,
Jardín De La Quinta De Torre Arias,Celtis australis,149,,,,
Jardín De La Quinta De Torre Arias,Cedrus deodara,130,,,,
Jardín De La Quinta De Torre Arias,Cupressus sempervirens,111,,,,
Jardín De La Quinta De Torre Arias,Cedrus Atlantica,95,,,,
Jardín De La Quinta De Torre Arias,Pinus halepensis,93,,,,
Jardín De La Quinta De Torre Arias,Otros,857,,,,
Bosque De Los Abrazos Perdidos,Pinus halepensis,356,,,,
Bosque De Los Abrazos Perdidos,Olea europaea,230,,,,
Bosque De Los Abrazos Perdidos,Prunus dulcis,227,,,,
Bosque De Los Abrazos Perdidos,Quercus Faginea,204,,,,
Bosque De Los Abrazos Perdidos,Juniperus Phoenicea,112,,,,
Bosque De Los Abrazos Perdidos,Quercus ilex,92,,,,
Bosque De Los Abrazos Perdidos,Ulmus pumila,89,,,,
Bosque De Los Abrazos Perdidos,Cupressus sempervirens,72,,,,
Bosque De Los Abrazos Perdidos,Celtis australis,56,,,,
Bosque De Los Abrazos Perdidos,Quercus Coccifera,50,,,,
Bosque De Los Abrazos Perdidos,Otros,310,,,,
Parque De Las Comunidades,Pinus pinea,518,,,,
Parque De Las Comunidades,Celtis australis,304,,,,
Parque De Las Comunidades,Ulmus pumila,249,,,,
Parque De Las Comunidades,Acer pseudoplatanus,190,,,,
Parque De Las Comunidades,Melia azedarach,135,,,,
Parque De Las Comunidades,Pinus halepensis,119,,,,
Parque De Las Comunidades,Quercus Coccifera,106,,,,
Parque De Las Comunidades,Quercus ilex,83,,,,
Parque De Las Comunidades,Salix Sp,70,,,,
Parque De Las Comunidades,Morus Nigra,60,,,,
Parque De Las Comunidades,Otros,992,,,,
Nombre Parque,Especie,UNIDADES 2024,,,,
Parque Lineal Del Manzanares,Pinus pinea,1483,,,,
Parque Lineal Del Manzanares,Platanus x hispanica,566,,,,
Parque Lineal Del Manzanares,Olea europaea,506,,,,
Parque Lineal Del Manzanares,Celtis australis,425,,,,
Parque Lineal Del Manzanares,Cupressus sempervirens,405,,,,
Parque Lineal Del Manzanares,Gleditsia triacanthos,257,,,,
Parque Lineal Del Manzanares,Tilia Platyphyllos,222,,,,
Parque Lineal Del Manzanares,Populus Nigra,145,,,,
Parque Lineal Del Manzanares,Tilia Tomentosa,138,,,,
Parque Lineal Del Manzanares,Pinus Nigra,120,,,,
Parque Lineal Del Manzanares,Otros,1245,,,,
Parque Lineal De Manzanares Sur,Populus Nigra,2381,,,,
Parque Lineal De Manzanares Sur,Celtis australis,1822,,,,
Parque Lineal De Manzanares Sur,Pinus pinea,974,,,,
Parque Lineal De Manzanares Sur,Fraxinus angustifolia,862,,,,
Parque Lineal De Manzanares Sur,Ulmus Sp,473,,,,
Parque Lineal De Manzanares Sur,Pinus halepensis,274,,,,
Parque Lineal De Manzanares Sur,Koelreuteria Paniculata,159,,,,
Parque Lineal De Manzanares Sur,Ulmus pumila,132,,,,
Parque Lineal De Manzanares Sur,Cedrus deodara,127,,,,
Parque Lineal De Manzanares Sur,Prunus cerasifera subsp. pissardii,120,,,,
Parque Lineal De Manzanares Sur,Otros,721,,,,
