nom_cabina,calidad_aire,codi_dtes,zqa,codi_eoi,longitud,latitud,hora_o3,calidad_o3,valor_o3,hora_no2,calidad_no2,valor_no2,hora_pm10,calidad_pm10,valor_pm10,generat,dateTime
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,1h,Buena,73,1h,Bona,6,,,,12/06/2018 2:00,1528761903
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,1h,Buena,77,1h,Bona,11,1h,Buena,20,12/06/2018 2:00,1528761903
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,1h,Buena,75,1h,Bona,16,1h,Buena,21,12/06/2018 2:00,1528761903
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,1h,Bona,20,1h,Buena,24,12/06/2018 2:00,1528761903
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,2h,Bona,24,,,,12/06/2018 3:00,1528765505
Eixample,Buena,IH,01,08019043,2.1538,41.3853,1h,Buena,73,1h,Bona,24,2h,Buena,30,12/06/2018 3:00,1528765505
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,2h,Buena,81,2h,Bona,15,2h,Buena,22,12/06/2018 3:00,1528765505
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,2h,Buena,70,2h,Bona,5,,,,12/06/2018 3:00,1528765505
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,2h,Buena,82,2h,Bona,7,2h,Buena,20,12/06/2018 3:00,1528765505
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,2h,Buena,81,2h,Bona,13,2h,Buena,21,12/06/2018 3:00,1528765505
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,2h,Bona,9,2h,Buena,25,12/06/2018 3:00,1528765505
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,3h,Bona,20,,,,12/06/2018 4:00,1528769103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,1h,Buena,73,1h,Bona,24,3h,Buena,31,12/06/2018 4:00,1528769103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,3h,Buena,83,3h,Bona,10,3h,Buena,22,12/06/2018 4:00,1528769103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,3h,Buena,69,3h,Bona,5,,,,12/06/2018 4:00,1528769103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,3h,Buena,83,3h,Bona,6,3h,Buena,20,12/06/2018 4:00,1528769103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,3h,Buena,84,3h,Bona,9,3h,Buena,21,12/06/2018 4:00,1528769103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,3h,Bona,8,3h,Buena,25,12/06/2018 4:00,1528769103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,4h,Bona,16,,,,12/06/2018 5:00,1528772705
Eixample,Buena,IH,01,08019043,2.1538,41.3853,2h,,,2h,,,4h,Buena,32,12/06/2018 5:00,1528772705
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,4h,Buena,84,4h,Bona,8,4h,Buena,23,12/06/2018 5:00,1528772705
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,4h,Buena,69,4h,Bona,5,,,,12/06/2018 5:00,1528772705
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,4h,Buena,78,4h,Bona,8,4h,Buena,20,12/06/2018 5:00,1528772705
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,4h,Buena,85,4h,Bona,6,4h,Buena,22,12/06/2018 5:00,1528772705
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,4h,Bona,10,4h,Buena,25,12/06/2018 5:00,1528772705
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,5h,Bona,13,,,,12/06/2018 6:00,1528776303
Eixample,Buena,IH,01,08019043,2.1538,41.3853,3h,,,3h,,,5h,Buena,33,12/06/2018 6:00,1528776303
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,5h,Buena,68,5h,Bona,20,5h,Buena,23,12/06/2018 6:00,1528776303
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,5h,Buena,66,5h,Bona,10,,,,12/06/2018 6:00,1528776303
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,5h,Buena,61,5h,Bona,11,5h,Buena,20,12/06/2018 6:00,1528776303
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,5h,Buena,80,5h,Bona,6,5h,Buena,22,12/06/2018 6:00,1528776303
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,5h,Bona,10,5h,Buena,25,12/06/2018 6:00,1528776303
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,6h,Bona,15,,,,12/06/2018 7:00,1528779905
Eixample,Buena,IH,01,08019043,2.1538,41.3853,6h,Buena,51,6h,Bona,27,6h,Buena,30,12/06/2018 7:00,1528779905
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,6h,Buena,43,6h,Bona,39,6h,Buena,23,12/06/2018 7:00,1528779905
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,6h,Buena,45,6h,Bona,20,,,,12/06/2018 7:00,1528779905
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,6h,Buena,50,6h,Bona,15,6h,Buena,20,12/06/2018 7:00,1528779905
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,6h,Buena,65,6h,Bona,13,6h,Buena,22,12/06/2018 7:00,1528779905
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,6h,Bona,24,6h,Buena,25,12/06/2018 7:00,1528779905
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,7h,Bona,24,,,,12/06/2018 8:00,1528783503
Eixample,Buena,IH,01,08019043,2.1538,41.3853,7h,Buena,29,7h,Bona,44,7h,Buena,31,12/06/2018 8:00,1528783503
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,7h,Buena,23,7h,Bona,77,7h,Buena,23,12/06/2018 8:00,1528783503
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,7h,Buena,40,7h,Bona,27,,,,12/06/2018 8:00,1528783503
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,7h,Buena,25,7h,Bona,37,7h,Buena,20,12/06/2018 8:00,1528783503
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,7h,Buena,58,7h,Bona,15,7h,Buena,22,12/06/2018 8:00,1528783503
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,7h,Bona,41,7h,Buena,25,12/06/2018 8:00,1528783503
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,8h,Bona,33,,,,12/06/2018 9:00,1528787103
Eixample,Buena,IH,01,08019043,2.1538,41.3853,8h,Buena,25,8h,Bona,69,8h,Buena,31,12/06/2018 9:00,1528787103
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,30,8h,Bona,90,8h,Buena,23,12/06/2018 9:00,1528787103
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,8h,Buena,30,8h,Bona,41,,,,12/06/2018 9:00,1528787103
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,8h,Buena,35,8h,Bona,35,8h,Buena,20,12/06/2018 9:00,1528787103
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,8h,Buena,51,8h,Bona,25,8h,Buena,21,12/06/2018 9:00,1528787103
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,8h,Bona,57,8h,Buena,24,12/06/2018 9:00,1528787103
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,9h,Bona,32,,,,12/06/2018 10:00,1528790702
Eixample,Buena,IH,01,08019043,2.1538,41.3853,9h,Buena,25,9h,Bona,80,9h,Buena,31,12/06/2018 10:00,1528790702
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,30,8h,Bona,90,9h,Buena,23,12/06/2018 10:00,1528790702
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,9h,Buena,46,9h,Bona,32,,,,12/06/2018 10:00,1528790702
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,9h,Buena,36,9h,Bona,34,9h,Buena,20,12/06/2018 10:00,1528790702
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,9h,Buena,42,9h,Bona,33,9h,Buena,21,12/06/2018 10:00,1528790702
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,9h,Bona,43,9h,Buena,24,12/06/2018 10:00,1528790702
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,10h,Bona,38,,,,12/06/2018 11:00,1528794302
Eixample,Buena,IH,01,08019043,2.1538,41.3853,10h,Buena,35,10h,Bona,77,10h,Buena,31,12/06/2018 11:00,1528794302
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,8h,Buena,30,8h,Bona,90,10h,Buena,23,12/06/2018 11:00,1528794302
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,10h,Buena,62,10h,Bona,18,,,,12/06/2018 11:00,1528794302
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,10h,Buena,48,10h,Bona,31,10h,Buena,20,12/06/2018 11:00,1528794302
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,10h,Buena,46,10h,Bona,37,10h,Buena,20,12/06/2018 11:00,1528794302
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,10h,Bona,21,10h,Buena,24,12/06/2018 11:00,1528794302
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,11h,Bona,29,,,,12/06/2018 12:00,1528797902
Eixample,Buena,IH,01,08019043,2.1538,41.3853,11h,Buena,51,11h,Bona,58,11h,Buena,30,12/06/2018 12:00,1528797902
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,11h,Buena,55,11h,Bona,78,11h,Buena,23,12/06/2018 12:00,1528797902
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,11h,Buena,68,11h,Bona,12,,,,12/06/2018 12:00,1528797902
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,11h,Buena,56,11h,Bona,26,11h,Buena,20,12/06/2018 12:00,1528797902
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,11h,Buena,57,11h,Bona,30,11h,Buena,20,12/06/2018 12:00,1528797902
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,11h,Bona,22,11h,Buena,23,12/06/2018 12:00,1528797902
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,12h,Bona,34,,,,12/06/2018 13:00,1528801502
Eixample,Buena,IH,01,08019043,2.1538,41.3853,12h,Buena,52,12h,Bona,62,12h,Buena,30,12/06/2018 13:00,1528801502
Gràcia,Buena,IJ,01,08019044,2.1534,41.3987,11h,Buena,55,11h,Bona,78,12h,Buena,25,12/06/2018 13:00,1528801502
Ciutadella,Buena,IL,01,08019050,2.1874,41.3864,12h,Buena,76,12h,Bona,13,,,,12/06/2018 13:00,1528801502
Vall Hebron,Buena,IN,01,08019054,2.148,41.4261,12h,Buena,72,12h,Bona,22,12h,Buena,20,12/06/2018 13:00,1528801502
Palau Reial,Buena,IZ,01,08019057,2.1151,41.3875,12h,Buena,65,12h,Bona,36,12h,Buena,20,12/06/2018 13:00,1528801502
Poblenou,Buena,I2,01,08019004,2.2045,41.4039,,,,12h,Bona,17,12h,Buena,24,12/06/2018 13:00,1528801502
Sants,Buena,ID,01,08019042,2.1331,41.3788,,,,13h,Bona,36,,,,12/06/2018 14:00,1528805103
