JARDINES DE SABATINI,JARDINES DE SABATINI_Acer pseudoplatanus,Acer pseudoplatanus,3
JARDINES DE SABATINI,JARDINES DE SABATINI_Cercis siliquastrum,Cercis siliquastrum,1
JARDINES DE SABATINI,JARDINES DE SABATINI_Populus alba 'Bolleana',Populus alba 'Bolleana',1
JARDINES DE SABATINI,JARDINES DE SABATINI_Ulmus minor,Ulmus minor,1
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Platanus x hispanica,Platanus x hispanica,126
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Ligustrum japonicum,Ligustrum japonicum,38
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cupressus sempervirens,Cupressus sempervirens,31
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Taxus baccata,Taxus baccata,28
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Magnolia grandiflora,Magnolia grandiflora,9
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cedrus deodara,Cedrus deodara,8
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Cupressus macrocarpa,Cupressus macrocarpa,6
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO,JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO_Pinus halepensis,Pinus halepensis,1
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Pinus pinea,Pinus pinea,4769
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Pinus halepensis,Pinus halepensis,691
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Prunus dulcis,Prunus dulcis,930
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Ulmus pumila,Ulmus pumila,362
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Quercus ilex,Quercus ilex,932
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Ailanthus altissima,Ailanthus altissima,276
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Fraxinus angustifolia,Fraxinus angustifolia,207
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Platanus x hispanica,Platanus x hispanica,139
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Gleditsia triacanthos,Gleditsia triacanthos,183
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Celtis australis,Celtis australis,131
PARQUE DE LA DEHESA DE LA VILLA,PARQUE DE LA DEHESA DE LA VILLA_Otros,Otros,2477
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Pinus pinea,Pinus pinea,2922
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Pinus halepensis,Pinus halepensis,2358
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Platanus x hispanica,Platanus x hispanica,1508
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Acer x freemanii,Acer x freemanii,596
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Melia azedarach,Melia azedarach,511
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Populus nigra,Populus nigra,496
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Fraxinus angustifolia,Fraxinus angustifolia,476
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Aesculus hippocastanum,Aesculus hippocastanum,433
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Celtis australis,Celtis australis,380
PARQUE MADRID RÍO,PARQUE MADRID RÍO_Ginkgo biloba,Ginkgo biloba,358
PARQUE MADRID RIO,PARQUE MADRID RIO_Otros,Otros,4071
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Populus nigra,Populus nigra,2526
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Pinus pinea,Pinus pinea,2457
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Celtis australis,Celtis australis,2247
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Fraxinus angustifolia,Fraxinus angustifolia,914
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Platanus x hispanica,Platanus x hispanica,659
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Olea europaea,Olea europaea,506
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Ulmus sp,Ulmus sp,498
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Cupressus sempervirens,Cupressus sempervirens,405
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Pinus halepensis,Pinus halepensis,277
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Gleditsia triacanthos,Gleditsia triacanthos,263
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Otros,Otros,2805
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Pinus pinea,Pinus pinea,142
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Aesculus hippocastanum,Aesculus hippocastanum,134
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Celtis australis,Celtis australis,126
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Morus alba,Morus alba,125
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Gleditsia triacanthos,Gleditsia triacanthos,88
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Prunus dulcis,Prunus dulcis,78
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Cupressus sempervirens,Cupressus sempervirens,55
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Liquidambar styraciflua,Liquidambar styraciflua,52
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Lagerstroemia indica,Lagerstroemia indica,47
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Punica granatum,Punica granatum,47
PARQUE JUAN PABLO II,PARQUE JUAN PABLO II_Otros,Otros,688
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Olea europaea,Olea europaea,2430
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Pinus pinea,Pinus pinea,1074
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Catalpa bignonioides,Catalpa bignonioides,882
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Styphnolobium japonicum,Styphnolobium japonicum,615
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Cupressus sempervirens,Cupressus sempervirens,551
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Fraxinus excelsior,Fraxinus excelsior,512
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Morus alba,Morus alba,491
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Platanus x hispanica,Platanus x hispanica,476
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Gleditsia triacanthos,Gleditsia triacanthos,424
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Populus alba,Populus alba,356
PARQUE JUAN CARLOS I,PARQUE JUAN CARLOS I_Otros,Otros,6105
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Pinus pinea,Pinus pinea,453
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Celtis australis,Celtis australis,337
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,156
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Melia azedarach,Melia azedarach,111
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Pinus nigra,Pinus nigra,89
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Koelreuteria paniculata,Koelreuteria paniculata,77
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_x Cupressocyparis x leylandii,x Cupressocyparis x leylandii,72
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',72
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Liquidambar styraciflua,Liquidambar styraciflua,55
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Olea europaea,Olea europaea,49
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Otros,Otros,349
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Celtis australis,Celtis australis,882
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Morus alba 'Fruitless',Morus alba 'Fruitless',412
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Koelreuteria paniculata,Koelreuteria paniculata,347
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Fraxinus angustifolia,Fraxinus angustifolia,287
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Prunus dulcis,Prunus dulcis,258
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Olea europaea,Olea europaea,163
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pinus pinea,Pinus pinea,126
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Cercis siliquastrum,Cercis siliquastrum,119
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Aesculus hippocastanum,Aesculus hippocastanum,112
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',112
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Otros,Otros,1973
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Celtis australis,Celtis australis,327
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Prunus dulcis,Prunus dulcis,244
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Acer campestre,Acer campestre,163
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Olea europaea,Olea europaea,128
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Malus 'Evereste',Malus 'Evereste',120
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Melia azedarach,Melia azedarach,101
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Ziziphus jujuba,Ziziphus jujuba,100
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Populus nigra,Populus nigra,67
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Koelreuteria paniculata,Koelreuteria paniculata,64
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Tilia cordata 'Greenspire',Tilia cordata 'Greenspire',62
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Otros,Otros,579
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus halepensis,Pinus halepensis,2861
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus pinea,Pinus pinea,2854
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Celtis australis,Celtis australis,1260
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus ilex,Quercus ilex,842
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Platanus orientalis,Platanus orientalis,634
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cedrus deodara,Cedrus deodara,620
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Ulmus pumila,Ulmus pumila,389
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus robur,Quercus robur,306
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Melia azedarach,Melia azedarach,287
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cupressus sempervirens,Cupressus sempervirens,253
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Otros,Otros,3357
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus deodara",Cedrus deodara,53
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer negundo",Acer negundo,17
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer campestre",Acer campestre,7
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Thuja occidentalis",Thuja occidentalis,7
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Prunus cerasifera  subsp. pissardii",Prunus cerasifera  subsp. pissardii,6
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Populus alba 'Bolleana'",Populus alba 'Bolleana',5
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Betula utilis",Betula utilis,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus atlantica 'Glauca'",Cedrus atlantica 'Glauca',2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Carpinus betulus",Carpinus betulus,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Ligustrum japonicum",Ligustrum japonicum,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Otros",Otros,13
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Platanus x hispanica,Platanus x hispanica,160
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer campestre,Acer campestre,80
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer platanoides 'Crimson King',Acer platanoides 'Crimson King',68
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer saccharinum,Acer saccharinum,67
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Cercis siliquastrum,Cercis siliquastrum,43
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Physostegia virginiana,Physostegia virginiana,42
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Punica granatum,Punica granatum,41
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer x freemanii 'Autumn Blaze',Acer x freemanii 'Autumn Blaze',39
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer monspessulanum,Acer monspessulanum,34
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Koelreuteria paniculata,Koelreuteria paniculata,33
