nº radar,ubicacion,carretera o vial,ubicacion calle 30,pk,sentido,Tipo,Carril,Longitud inicio tramo,Latitud inicio tramo,X (WGS84),Y (WGS84),Longitud,Latitud,Velocidad limite,Responsable
27,"paseo de la castellana nº 300, salida",paseo de la castellana,,300,salida,fijo,todos,,,441904.00,4481314.00,-3.68542793,40.48048344,50,dgp
28,"avenida de cordoba con calle doctor tolosa latour, sentido glorieta de malaga",avenida de cordoba,,inicio: glorieta de cadiz fin: avenida de cordoba con calle doctor tolosa latour,salida,radar de tramo,"salida, radar de tramo",-3.699380,40.387572,440873.00,4470025.29,-3.696519,40.378590,50,dggvc
29,"a-5 pk 5+750, sentido salida",a5,,p.k 4+000 ----- p.k. 5+750,salida,radar de tramo,"salida, radar de tramo",-3.74574755307117,40.4072412609861,435202.237655954,4472448.48639425,-3.76358611606955,40.4001241953525,70,dggvc
30,"a-5 pk 4+000, sentido entrada",a5,,p.k. 5+750 ----- p.k 4+000,entrada,radar de tramo,"entrada, radar de tramo",-3.76358611606955,40.4001241953525,436722.693562517,4473225.55366121,-3.74574755307117,40.4072412609861,70,dggvc
31,"sinesio delgado, sentido ciudad universitaria, farolas 144 -152",calle sinesio delgado,,,ciudad universitaria,radar de tramo,radar de tramo,-3.712945,40.469247,,,-3.714454,40.467149,50,dggvc
32,"sinesio delgado, sentido ciudad universitaria, farolas 152 - 188",calle sinesio delgado,,,ciudad universitaria,radar de tramo,radar de tramo,-3.714454,40.467149,,,-3.728241,40.460303,50,dggvc
33,"sinesio delgado, sentido ciudad universitaria, farolas 144 -188",calle sinesio delgado,,,ciudad universitaria,radar de tramo,radar de tramo,-3.712945,40.469247,,,-3.728241,40.460303,50,dggvc
34,"sinesio delgado, sentido av betanzos, farola 187-152",calle sinesio delgado,,,av betanzos,radar de tramo,radar de tramo,-3.728207,40.460208,,,-3.714454,40.467149,50,dggvc
35,"sinesio delgado, sentido av betanzos, farola 152- 143",calle sinesio delgado,,,av betanzos,radar de tramo,radar de tramo,-3.714454,40.467149,,,-3.712743,40.469208,50,dggvc
36,"sinesio delgado, sentido av betanzos, farola 187-143",calle sinesio delgado,,,av betanzos,radar de tramo,radar de tramo,-3.728207,40.460208,,,-3.712743,40.469208,50,dggvc
