FID;Shape;IdStation;Activate;Address;DockBikes;FreeBases;PosicionST;Ligth;Name;NoAvailabl;number;TotalBases;POINT_X;POINT_Y
24;Point;1431;1;Calle Jesús nº 6,;15;12;-3.6957000000000004 40.4133;2;27 - Huertas;0;27;27;-3,6957;40,4133
25;Point;1432;1;Calle Alcalá nº 28,;17;1;-3.6984583 40.41806;1;28 - Metro Sevilla;0;28;18;-3,698458;40,41806
26;Point;1433;1;Calle del Marqués de Cubas nº 25,;20;3;-3.6957434000000005 40.4163838;1;29 - Marqués de Cubas;0;29;23;-3,695743;40,416384
27;Point;1434;1;Calle Pavía nº 4,;8;19;-3.711504 40.4192095;0;30 - San Quintín;0;30;27;-3,711504;40,41921
28;Point;1435;1;Calle Mayor nº 16,;18;9;-3.7068969 40.4163638;2;31 - Mayor;0;31;27;-3,706897;40,416364
29;Point;1436;1;Plaza de la Provincia (esquina calle Gerona),;17;1;-3.7061032000000003 40.4150099;1;32 - Plaza de la Provincia;0;32;18;-3,706103;40,41501
30;Point;1437;1;Calle Carretas nº 3,;19;4;-3.7033305 40.4165873;1;33 - Puerta del Sol;0;33;23;-3,70333;40,416587
31;Point;1438;1;Plaza de Jacinto Benavente,;3;21;-3.7036825 40.4146755;0;34 - Jacinto Benavente;0;34;24;-3,703683;40,414676
32;Point;1439;1;Plaza del Cordón nº1,;18;6;-3.7103284999999997 40.4141931;1;35 - Plaza del Cordón;0;35;24;-3,710329;40,414193
33;Point;1440;1;Plaza de Ramales nº1,;14;10;-3.7118300000000004 40.4168;2;36 - Plaza Ramales;0;36;24;-3,71183;40,4168
34;Point;1441;1;Plaza de San Francisco,;13;11;-3.714113 40.4108;2;37 - Plaza de San Francisco;0;37;24;-3,714113;40,4108
35;Point;1442;1;Carrera de San Francisco enfrente del nº 2 ,;17;9;-3.7115898000000005 40.4113586;2;38 - Plaza de los Carros;0;38;27;-3,71159;40,411359
36;Point;1443;1;Plaza de la Cebada nº 3,;4;27;-3.7088337 40.4112744;0;39 - Plaza de la Cebada;0;39;31;-3,708834;40,411274
37;Point;1444;1;Plaza del Conde de Romanones nº 2,;2;16;-3.7047949666162405 40.413778406369765;0;40 - Conde de Romanones;0;40;18;-3,704795;40,413778
38;Point;1445;1;Calle Atocha nº 56,;12;7;-3.6991147000000004 40.4122047;2;41 - Metro Antón Martín;0;41;19;-3,699115;40,412205
39;Point;1446;1;Calle Santa Isabel 32,;0;26;-3.6982922 40.4108488;0;42 - Santa Isabel;0;42;27;-3,698292;40,410849
40;Point;1447;1;Calle Jesús y María, 38 ,;12;6;-3.7024709999999996 40.4100387;2;43 - Jesús y María;0;43;18;-3,702471;40,410039
41;Point;1448;1;Plaza Nelson Mandela, 44 ,;1;18;-3.7038640533106597 40.40979071254635;0;44 - Plaza de Nelson Mandela;0;44;19;-3,703864;40,409791
42;Point;1449;1;Puerta de Toledo 1 ,;9;10;-3.7111033999999994 40.4068659;2;45 - Metro Puerta de Toledo;0;45;19;-3,711103;40,406866
43;Point;1450;1;Calle Ribera de Curtidores nº 28,;14;13;-3.7071258999999994 40.4053153;2;46 - Ribera de Curtidores;0;46;27;-3,707126;40,405315
44;Point;1451;1;Glorieta de Embajadores, 7 ,;11;13;-3.7027998 40.4045772;2;47 - Renfe/Cercanías Embajadores;0;47;24;-3,7028;40,404577
45;Point;1452;1;Glorieta de Embajadores nº 7,;18;6;-3.7020565999999997 40.4054815;1;48 - Casa de baños Embajadores;0;48;24;-3,702057;40,405482
46;Point;1453;1;Ronda de Atocha nº 34,;12;15;-3.6992774 40.4060533;2;49 - Casa Encendida;0;49;27;-3,699277;40,406053
47;Point;1454;1;Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),;22;2;-3.6933462999999995 40.4083684;1;50 - Museo Reina Sofía;0;50;24;-3,693346;40,408368
48;Point;1455;1;Ronda de Atocha (esquina con Plaza del Emperador Carlos V),;24;3;-3.6935205000000004 40.4075606;1;51 - Ronda de Atocha;0;51;27;-3,69352;40,407561
49;Point;1456;1;Plaza de Santa Ana nº 10,;9;6;-3.7007163999999997 40.4144226;2;52 - Plaza de Santa Ana;0;52;15;-3,700716;40,414423
50;Point;1457;1;Plazuela de Ana Diosdado,;8;16;-3.700754126389314 40.40830870823806;2;53 - Plaza de Lavapiés;0;53;24;-3,700754;40,408309
51;Point;1458;1;Calle Barceló nº 9,;15;4;-3.700392997553259 40.426599101766264;1;54 - Metro Tribunal;0;54;19;-3,700393;40,426599
52;Point;1459;1;Plaza de San Ildefonso nº4,;3;21;-3.7020842 40.4239757;0;55 - Plaza de San Ildefonso;0;55;24;-3,702084;40,423976
53;Point;1460;1;Plaza del Carmen nº 1,;14;9;-3.7032414 40.4184192;2;56 - Plaza del Carmen;0;56;23;-3,703241;40,418419
54;Point;1461;1;Calle Santa Cruz del Marcenado nº 26,;18;5;-3.7126299 40.4295658;1;57 - Santa Cruz de Marcenado;0;57;23;-3,71263;40,429566
55;Point;1462;1;Calle Augusto Figueroa nº 33,;7;20;-3.6978583000000005 40.4222783;0;58 - Metro Chueca;0;58;27;-3,697858;40,422278
56;Point;1463;1;Calle Espíritu Santo nº 30,;4;15;-3.7043418 40.4255495;0;59 - Plaza de Juan Pujol;0;59;19;-3,704342;40,42555
57;Point;1464;1;Plaza de la Independencia, s/n ,;10;13;-3.688398 40.419752;2;60 - Puerta de Alcalá;0;60;23;-3,688398;40,419752
58;Point;1465;1;Calle O Donnell nº 30,;24;3;-3.6753139 40.4214551;1;61 - O Donnell - Narváez;0;61;27;-3,675314;40,421455
59;Point;1466;1;Calle O Donnell nº 48,;22;5;-3.6724968 40.4213148;1;62 - Hospital M. Infantil Gregorio Marañón;0;62;27;-3,672497;40,421315
60;Point;1467;1;Calle Ibiza nº 64,;4;19;-3.6708958999999997 40.4179237;0;63 - Hospital Gral. Uni. Gregorio Marañón;0;63;23;-3,670896;40,417924
61;Point;1468;1;Calle Antonio Maura nº 13,;22;2;-3.6894247979427686 40.4167014469994;1;65 - Parque del Retiro - Calle Antonio Maura;0;65;24;-3,689425;40,416701
62;Point;1469;1;Calle Almadén 26,;23;0;-3.693225 40.4108472;1;67 - CaixaForum Madrid;0;67;23;-3,693225;40,410847
63;Point;1470;1;Calle Espalter nº 3,;11;8;-3.6913231999999994 40.4127692;2;68 - Espalter - Ruiz de Alarcón;0;68;19;-3,691323;40,412769
64;Point;1471;1;Avenida de Alfonso XII nº 54,;8;19;-3.688822 40.409808;0;69 - Parque del Retiro - Puerta Ángel Caído;0;69;27;-3,688822;40,409808
65;Point;1472;1;Avenida de Menéndez Pelayo nº 63,;17;10;-3.677872542327878 40.415382385574716;2;70 - Hospital Uni. Infantil Niño Jesús;0;70;27;-3,677873;40,415382
66;Point;1473;1;Calle Doce de Octubre nº 28,;5;18;-3.6739 40.4161;0;71 - Plaza del Doctor Laguna;0;71;23;-3,6739;40,4161
67;Point;1474;1;Calle Doctor Esquerdo nº 62,;7;16;-3.6696000000000004 40.4159;0;72 - Metro Sáinz de Baranda;0;72;23;-3,6696;40,4159
68;Point;1475;1;Calle de los Astros, nº5 ,;9;14;-3.6687 40.4115;2;73 - Plaza de los Astros;0;73;23;-3,6687;40,4115
69;Point;1476;1;Avenida de Menéndez Pelayo nº 69,;20;7;-3.6765887637889834 40.41206290978386;1;74 - Parque Retiro - Jardines Cecilio Rguez;0;74;27;-3,676589;40,412063
70;Point;1477;1;Avenida Menéndez pelayo (esquina con calle Poeta Esteban Villegas),;9;18;-3.6784749 40.4082717;2;75 - Parque del Retiro - Plaza Mariano Cavia;0;75;27;-3,678475;40,408272
71;Point;1478;1;Avenida del Mediterráneo nº 19,;4;20;-3.6751020000000003 40.407271;0;76 - Avenida del Mediterráneo, 19;0;76;24;-3,675102;40,407271
72;Point;1479;1;Plaza del Conde de Casal nº 8,;13;5;-3.6707132 40.4064784;1;77 - Plaza del Conde de Casal;0;77;18;-3,670713;40,406478
73;Point;1480;1;Calle Cerro de la Plata nº 4,;12;15;-3.674524060049444 40.40063747422422;2;78 - Metro Pacífico;0;78;27;-3,674524;40,400637
74;Point;1481;1;Avenida de Menéndez Pelayo nº 38,;8;19;-3.680439824323069 40.405110193977585;0;79 - Metro Menéndez Pelayo;0;79;27;-3,68044;40,40511
75;Point;1484;1;Calle Claudio Moyano, nº5 ,;0;24;-3.691833220071059 40.40934261188139;0;81 - Cuesta de Moyano;0;81;24;-3,691833;40,409343
76;Point;1485;1;Calle Lira, nº1 ,;1;22;-3.6697526 40.4084556;0;82 - Doctor Esquerdo - Metro Conde de Casal;0;82;23;-3,669753;40,408456
77;Point;1486;1;Calle Pío Baroja nº8,;6;17;-3.6744795 40.4132995;0;83 - Pío Baroja;0;83;23;-3,674479;40,4133
78;Point;1487;1;Calle Doctor Esquerdo nº 191,;3;20;-3.672481575393678 40.40357156992851;0;84 - Biblioteca Pública Elena Fortún;0;84;23;-3,672482;40,403572
79;Point;1488;1;Avenida de Menéndez Pelayo, 9,;11;16;-3.6798909999999996 40.4213143;2;85 - Parque del Retiro - Puerta de O´Donnell;0;85;27;-3,679891;40,421314
80;Point;1489;1;Paseo del Prado, 1B ,;22;2;-3.6933498 40.4186516;1;86 - Cibeles;0;86;24;-3,69335;40,418652
81;Point;1490;1;Calle Ayala nº 46,;22;1;-3.6832565999999995 40.427736;1;87 - Ayala - Velázquez;0;87;23;-3,683257;40,427736
82;Point;1491;1;Calle Velázquez, 13 ,;21;2;-3.6838303 40.4313576;1;88 - Velázquez-Padilla;0;88;23;-3,68383;40,431358
83;Point;1492;1;Calle Ayala nº 104,;16;7;-3.6752024 40.4272582;2;89 - Ayala - Conde de Peñalver;0;89;23;-3,675202;40,427258
84;Point;1493;1;Calle Goya, 20 ,;19;8;-3.6838415999999996 40.4251493;1;90 - Metro Velázquez;0;90;27;-3,683842;40,425149
85;Point;1494;1;Calle Hermosilla nº 71,;8;15;-3.6786285 40.426049;2;91 - Hermosilla - General Pardiñas;0;91;23;-3,678628;40,426049
86;Point;1495;1;Calle Claudio Coello, 43 ,;22;1;-3.6865463 40.4262945;1;92 - Claudio Coello - Hermosilla;0;92;23;-3,686546;40,426294
87;Point;1496;1;Calle Goya (esquina calle Marqués de Zurgeña),;23;0;-3.6893361690338162 40.42575853342561;1;93 - Plaza de Margaret Tatcher;0;93;23;-3,689336;40,425759
88;Point;1497;1;Paseo de Recoletos nº 20,;20;3;-3.6907560000000004 40.4232153;1;94 - Estación de tren de Recoletos;0;94;23;-3,690756;40,423215
89;Point;1498;1;Calle Claudio Coello nº 19,;22;1;-3.6869293000000005 40.4225428;1;95 - Claudio Coello - Villanueva;0;95;23;-3,686929;40,422543
90;Point;1499;1;Calle Alcalá nº 111,;18;9;-3.682204798770403 40.42201515498424;2;96 - Alcalá - Castelló;0;96;27;-3,682205;40,422015
91;Point;1500;1;Avenida Menéndez Pelayo (esquina calle Alcalá),;13;14;-3.6802556 40.4225364;2;97 - Metro Príncipe de Vergara;0;97;27;-3,680256;40,422536
92;Point;1501;1;Calle Narváez, 3 ,;20;4;-3.6757676 40.4241325;1;98 - Plaza de Felipe II;0;98;24;-3,675768;40,424132
93;Point;1502;1;Calle Alcántara, 4 ,;5;18;-3.6740178 40.4260391;0;99 - Alcántara - Hermosilla;0;99;23;-3,674018;40,426039
94;Point;1503;1;Calle Goya nº 99,;6;21;-3.6738400000000007 40.42478;0;100 - Wizink Center;0;100;27;-3,67384;40,42478
95;Point;1504;1;Calle Jorge Juán, 129 ,;18;6;-3.6696803999999994 40.4230771;1;101 - Metro O Donnell;0;101;24;-3,66968;40,423077
96;Point;1505;1;Calle Alcalá nº 95,;23;0;-3.6842317 40.4211845;1;102 - Metro Retiro;0;102;23;-3,684232;40,421185
97;Point;1506;1;Calle José Ortega y Gasset, 6 ,;19;4;-3.6867439999999996 40.43053;1;103 - Ortega y Gasset - Serrano;0;103;23;-3,686744;40,43053
98;Point;1507;1;Paseo de la Castellana nº 4,;21;2;-3.6895799999999994 40.42677;1;104 - Castellana - Hermosilla;0;104;23;-3,68958;40,42677
99;Point;1508;1;Calle Serrano nº 46,;20;3;-3.6875418000000004 40.4270832;1;105 - Serrano, 46;0;105;23;-3,687542;40,427083
100;Point;1510;1;Calle Serrano nº 32,;19;0;-3.6878899999999994 40.424776;1;106B - Plaza de Colón B;0;106B;19;-3,68789;40,424776
101;Point;1511;1;Calle Serrano nº 8,;16;7;-3.6883841104507464 40.42156087297841;2;107 - Serrano - Conde de Aranda;0;107;23;-3,688384;40,421561
102;Point;1512;1;Calle Mártires Concepcionistas nº 2,;18;9;-3.6706519999999996 40.427402;2;108 - Mártires Concepcionistas - Alcalá;0;108;27;-3,670652;40,427402
103;Point;1513;1;Calle José Ortega y Gasset nº 30,;22;1;-3.6814521000000004 40.4301245;1;109 - Marqués de Salamanca;0;109;23;-3,681452;40,430124
104;Point;1514;1;Paseo de Moret nº 1,;3;20;-3.7201021 40.434745;0;110 - Intercambiador de Moncloa;0;110;23;-3,720102;40,434745
105;Point;1515;1;Calle Arcipreste de Hita nº 8,;4;19;-3.7175248000000005 40.4336027;0;111A - Metro Moncloa A;0;111A;23;-3,717525;40,433603
106;Point;1516;1;Calle Arcipreste de Hita nº 12,;1;22;-3.7177433999999994 40.433913;0;111B - Metro Moncloa B;0;111B;23;-3,717743;40,433913
107;Point;1517;1;Paseo Moret, 9 ,;17;6;-3.7247360000000005 40.4326901;1;112 - Paseo de Moret - Parque del Oeste;0;112;23;-3,724736;40,43269
108;Point;1518;1;Paseo del Pintor Rosales frente al nº 38,;16;8;-3.7207263 40.427538;2;113 - Teleférico Madrid - Estación Rosales;0;113;24;-3,720726;40,427538
109;Point;1519;1;Calle Quintana nº 13,;11;12;-3.7174631000000002 40.4278379;2;114 - Quintana - Juan Álvarez de Mendizábal;0;114;23;-3,717463;40,427838
110;Point;1520;1;Paseo de Pintor Rosales (esquina Marqués de Cerralbo),;5;18;-3.7170515055225373 40.42531476841791;0;115 - Ferraz - Templo de Debod;0;115;23;-3,717052;40,425315
111;Point;1521;1;Plaza de España nº16,;10;8;-3.7130430000000003 40.423679;2;116A - Plaza de España - Martín de los Heros;0;116A;18;-3,713043;40,423679
112;Point;1522;1;Calle de los Reyes, nº10,;14;4;-3.71046 40.423684;1;116B - Metro Plaza de España;0;116B;18;-3,71046;40,423684
113;Point;1523;1;Calle Altamirano nº 24,;1;22;-3.7188898000000004 40.4309797;0;117 - Altamirano  - Martín de los Heros;0;117;23;-3,71889;40,43098
114;Point;1524;1;Calle Juan Martínez el empeciado (esquina calle Bustamante) ,;15;8;-3.6882407 40.400781;2;118 - OFICINA DEL SER, APR Y BICIREGISTRO;0;118;23;-3,688241;40,400781
115;Point;1525;1;Calle Méndez Álvaro nº 11,;18;5;-3.6862652999999996 40.4012905;1;119 - Méndez Álvaro;0;119;23;-3,686265;40,401291
116;Point;1526;1;Calle Palos de la Frontera nº 27,;25;2;-3.6948251018524214 40.403090451430614;1;120 - Metro Palos de la Frontera;0;120;27;-3,694825;40,40309
117;Point;1527;1;Paseo de Santa María de la Cabeza nº 58,;8;19;-3.6986027000000004 40.4017487;0;121 - Glorieta de Santa María de la Cabeza;0;121;27;-3,698603;40,401749
118;Point;1528;1;Calle Santa Engracia nº 14,;18;5;-3.6963659 40.4295362;1;122 - Santa Engracia - Zurbarán;0;122;23;-3,696366;40,429536
119;Point;1529;1;Calle Guzmán el Bueno nº 2,;13;14;-3.7133412 40.4306458;2;123 - Metro Argüelles;0;123;27;-3,713341;40,430646
120;Point;1530;1;Calle Manuel Silvela nº 20,;2;25;-3.6993695 40.430969;0;124 - Metro Bilbao;0;124;27;-3,699369;40,430969
121;Point;1531;1;Calle Fernández de la Hoz nº 29,;21;6;-3.6948 40.4353;1;125 - Fdez. de la Hoz - Gral. Martínez Campos;0;125;27;-3,6948;40,4353
122;Point;1532;1;Calle del General Álvarez de Castro, 6 ,;4;23;-3.7018044 40.4345976;0;126 - General Álvarez de Castro;0;126;27;-3,701804;40,434598
123;Point;1533;1;Calle Fernando el Católico nº 19,;3;24;-3.708439 40.4338516;0;127 - Mercado Municipal de Vallehermoso;0;127;27;-3,708439;40,433852
124;Point;1534;1;Calle Cea Bermúdez nº 59,;20;7;-3.7154 40.4392;1;128 - Metro Islas Filipinas;0;128;27;-3,7154;40,4392
125;Point;1535;1;Calle de José Abascal, 33-35 ,;0;27;-3.6982353 40.4383865;0;129 - Metro Alonso Cano;0;129;27;-3,698235;40,438387
126;Point;1536;1;Calle de Santa Engracia, 129 ,;19;4;-3.7016399999999994 40.44156;1;130 - Metro Ríos Rosas;0;130;23;-3,70164;40,44156
127;Point;1537;1;Calle Bravo Murillo nº 44,;8;15;-3.7040312299999996 40.4417884;2;131 - Plaza de Juan Zorrilla;0;131;23;-3,704031;40,441788
128;Point;1538;1;Calle Santa Engracia, 164 ,;14;13;-3.703605250412747 40.446377501314885;2;132 - Glorieta de Cuatro Caminos;0;132;27;-3,703605;40,446378
129;Point;1539;1;Calle Dulcinea, 3 ,;0;24;-3.7001669 40.447125;0;133 - Raimundo Fdez. Villaverde - Dulcinea;0;133;24;-3,700167;40,447125
130;Point;1540;1;Calle María de Guzmán nº 58,;2;21;-3.6955687 40.4441818;0;134 - María de Guzmán - Agustín de Betancourt;0;134;23;-3,695569;40,444182
131;Point;1541;1;Plaza de San Juan de la Cruz, 10 ,;23;0;-3.692734 40.441481;1;135 - Plaza de San Juan de la Cruz;0;135;23;-3,692734;40,441481
132;Point;1542;1;Paseo de la Castellana nº 106,;21;2;-3.690769 40.4451244;1;136 - Metro Nuevos Ministerios;0;136;23;-3,690769;40,445124
133;Point;1543;1;Plaza de la republica argentina, 7 ,;19;5;-3.6853377000000003 40.4454477;1;137 - Plaza de la República Argentina;0;137;24;-3,685338;40,445448
134;Point;1544;1;Paseo de la Castellana, 63 ,;13;10;-3.6914063 40.4457414;2;138 - Estación de tren Nuevos Ministerios;0;138;23;-3,691406;40,445741
135;Point;1545;1;Calle Pedro de Valdivia, 2 ,;16;8;-3.690419307270818 40.43939562033124;2;139 - José Gutiérrez Abascal - Castellana;0;139;24;-3,690419;40,439396
136;Point;1546;1;Calle Velázquez, 134 ,;22;5;-3.6830583 40.4387566;1;140 - Velázquez - López de Hoyos;0;140;27;-3,683058;40,438757
137;Point;1547;1;Paseo de la Castellana nº 43,;8;4;-3.6893917 40.4354047;2;141 - Plaza de Emilio Castelar;0;141;12;-3,689392;40,435405
138;Point;1548;1;Paseo de la Castellana nº 42,;20;3;-3.6879154 40.4334087;1;142 - Bajo elevado de Eduardo Dato;0;142;23;-3,687915;40,433409
139;Point;1549;1;Calle General Pardiñas, 58 ,;13;10;-3.6783015999999997 40.4289804;2;186 - General Pardiñas - Don Ramón de la Cruz;0;186;23;-3,678302;40,42898
140;Point;1550;1;Calle de Juan Bravo, 51 ,;15;12;-3.675556 40.4324081;2;144 - Metro Diego de León;0;144;27;-3,675556;40,432408
141;Point;1551;1;Calle Ortega y Gasset nº 87,;2;21;-3.6712823 40.429887;0;145 - Ortega y Gasset 87;0;145;23;-3,671282;40,429887
142;Point;1552;1;Calle de María Francisca, 3,;10;9;-3.6788499 40.4442541;2;146 - María Francisca, 3;0;146;19;-3,67885;40,444254
143;Point;1553;1;Avenida del Doctor Arce nº 45,;4;19;-3.6794000000000002 40.4484;0;147 - Doctor Arce 45;0;147;23;-3,6794;40,4484
144;Point;1554;1;Calle Serrano nº 210,;9;14;-3.6813971 40.451117;2;148 - Serrano 210;0;148;23;-3,681397;40,451117
145;Point;1555;1;Paseo de la Habana nº 42,;20;3;-3.6879303 40.4498515;1;149 - Plaza de Quito;0;149;23;-3,68793;40,449852
146;Point;1557;1;Calle Orense nº 12,;24;3;-3.695359265012366 40.44881224951987;1;151 - Orense 12;0;151;27;-3,695359;40,448812
147;Point;1558;1;Avenida del General Perón, 4 ,;3;20;-3.6989 40.4525;0;152 - General Perón, 4;0;152;23;-3,6989;40,4525
148;Point;1559;1;Avenida del General Perón, 36 ,;20;3;-3.6935999999999996 40.4523;1;153 - General Perón - Poeta Joan Maragall;0;153;23;-3,6936;40,4523
149;Point;1560;1;Calle Orense nº 36,;12;12;-3.6946218 40.4548456;2;154 - Orense 36;0;154;24;-3,694622;40,454846
150;Point;1561;1;Calle San Germán nº 57,;0;23;-3.700930190178302 40.4573342300643;0;155 - San Germán 57;0;155;23;-3,70093;40,457334
151;Point;1562;1;Calle Sor Ángela de la Cruz nº 2,;21;3;-3.691533 40.4592351;1;156 - Sor Ángela de la Cruz-Paseo Castellana;0;156;24;-3,691533;40,459235
152;Point;1564;1;Avenida de Alberto Alcocer nº 22,;12;11;-3.6846250000000005 40.45869;2;158 - Alberto Alcocer - Padre Damián;0;158;23;-3,684625;40,45869
153;Point;1565;1;Paseo de la Habana nº 63,;13;10;-3.6835925999999994 40.4543852;2;159 - Paseo de la Habana 63;0;159;23;-3,683593;40,454385
154;Point;1566;1;Calle Colombia, 11 ,;3;21;-3.6763439 40.4572466;0;160 - Metro Colombia;0;160;24;-3,676344;40,457247
155;Point;1567;1;Paseo de la Florida nº 8,;3;24;-3.7220993214090403 40.422192474165534;0;161 - Intercambiador de Príncipe Pío A;0;161;27;-3,722099;40,422192
156;Point;1568;1;Paseo de los Olmos, 26 ,;13;10;-3.7105765 40.4034968;2;162 - Metro Pirámides;0;162;23;-3,710577;40,403497
157;Point;1569;1;Paseo de la Esperanza, 2A ,;11;8;-3.7064450000000004 40.4037586;2;163 - Metro Acacias;0;163;19;-3,706445;40,403759
158;Point;1570;1;Paseo de las Delicias nº 94,;7;20;-3.69461 40.39723;0;164 - Paseo de las Delicias - Tomás Bretón;0;164;27;-3,69461;40,39723
159;Point;1571;1;Paseo de la Chopera frente 51 ,;12;31;-3.697596 40.392888;0;165 - Entrada Matadero - Paseo de la Chopera;0;165;43;-3,697596;40,392888
160;Point;1572;1;Calle Segovia nº 26,;15;12;-3.713377023313513 40.41390473235381;2;166 - Viaducto de Segovia;0;166;27;-3,713377;40,413905
161;Point;1573;1;Calle Segovia nº 45,;9;18;-3.7174891703237303 40.41374770742206;2;167 - Segovia 45;0;167;27;-3,717489;40,413748
162;Point;1574;1;Paseo Santa María de la Cabeza frente al 30 ,;9;14;-3.6959 40.4046;2;168 - Santa María Cabeza - Batalla del Salado;0;168;23;-3,6959;40,4046
163;Point;1575;1;Calle Toledo nº 181,;22;2;-3.713823 40.401589;1;169 - Glorieta de Pirámides;0;169;24;-3,713823;40,401589
164;Point;1576;1;Paseo de la Esperanza nº 21,;14;10;-3.7043956 40.4010554;2;170 - Paseo de la Esperanza, 21;0;170;24;-3,704396;40,401055
165;Point;1577;1;Calle Embajadores nº 97,;15;12;-3.6984023000000006 40.3997013;2;171 - Embajadores-Cáceres;0;171;27;-3,698402;40,399701
166;Point;1578;1;Calle Bustamante nº 3,;8;15;-3.6934925999999995 40.4008279;2;172 - Estación de tren de Delicias;0;172;23;-3,693493;40,400828
167;Point;1579;1;Paseo de la Esperanza nº 59,;1;23;-3.7024839 40.3983467;0;173 - Paseo Esperanza - Santa María Cabeza;0;173;24;-3,702484;40,398347
168;Point;1580;1;Paseo de Yeserías nº 45,;1;26;-3.7065258846557603 40.39742958306358;0;174 - Paseo de las Yeserías, 45;0;174;27;-3,706526;40,39743
169;Point;1581;1;Calle Jaime el Conquistador nº 30,;2;17;-3.6983445200000005 40.3962264;0;175 - Jaime el Conquistador - Divino Vallés;0;175;19;-3,698345;40,396226
170;Point;1583;1;Calle Bolívar nº 3,;23;0;-3.6941876374343896 40.391447085678806;1;177 - Metro Legazpi;0;177;23;-3,694188;40,391447
171;Point;1584;1;Calle León Gil de Palacio nº 1,;4;20;-3.6788343 40.4029202;0;178 - Junta Municipal Distrito de Retiro;0;178;24;-3,678834;40,40292
172;Point;1585;1;Avenida de la Albufera nº 6,;12;12;-3.6692724000000005 40.3979273;2;179 - Metro Puente de Vallecas;0;179;24;-3,669272;40,397927
