id,name,address,totalDocks,availableDocks,latitude,longitude
44,44 - Plaza de Nelson Mandela,"Plaza Nelson Mandela, 44 ,",19,1,40.409791,-3.703864
45,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",19,9,40.406866,-3.711103
46,46 - Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",27,14,40.405315,-3.707126
47,47 - Renfe/Cercanías Embajadores,"Glorieta de Embajadores, 7 ,",24,11,40.404577,-3.7028
48,48 - Casa de baños Embajadores,"Glorieta de Embajadores nº 7,",24,18,40.405482,-3.702057
49,49 - Casa Encendida,"Ronda de Atocha nº 34,",27,12,40.406053,-3.699277
50,50 - Museo Reina Sofía,"Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),",24,22,40.408368,-3.693346
51,51 - Ronda de Atocha,"Ronda de Atocha (esquina con Plaza del Emperador Carlos V),",27,24,40.407561,-3.69352
52,52 - Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",15,9,40.414423,-3.700716
53,53 - Plaza de Lavapiés,"Plazuela de Ana Diosdado,",24,8,40.408309,-3.700754
54,54 - Metro Tribunal,"Calle Barceló nº 9,",19,15,40.426599,-3.700393
55,55 - Plaza de San Ildefonso,"Plaza de San Ildefonso nº4,",24,3,40.423976,-3.702084
56,56 - Plaza del Carmen,"Plaza del Carmen nº 1,",23,14,40.418419,-3.703241
57,57 - Santa Cruz de Marcenado,"Calle Santa Cruz del Marcenado nº 26,",23,18,40.429566,-3.71263
58,58 - Metro Chueca,"Calle Augusto Figueroa nº 33,",27,7,40.422278,-3.697858
59,59 - Plaza de Juan Pujol,"Calle Espíritu Santo nº 30,",19,4,40.42555,-3.704342
60,60 - Puerta de Alcalá,"Plaza de la Independencia, s/n ,",23,10,40.419752,-3.688398
61,61 - O Donnell - Narváez,"Calle O Donnell nº 30,",27,24,40.421455,-3.675314
62,62 - Hospital M. Infantil Gregorio Marañón,"Calle O Donnell nº 48,",27,22,40.421315,-3.672497
63,63 - Hospital Gral. Uni. Gregorio Marañón,"Calle Ibiza nº 64,",23,4,40.417924,-3.670896
65,65 - Parque del Retiro - Calle Antonio Maura,"Calle Antonio Maura nº 13,",24,22,40.416701,-3.689425
67,67 - CaixaForum Madrid,"Calle Almadén 26,",23,23,40.410847,-3.693225
68,68 - Espalter - Ruiz de Alarcón,"Calle Espalter nº 3,",19,11,40.412769,-3.691323
69,69 - Parque del Retiro - Puerta Ángel Caído,"Avenida de Alfonso XII nº 54,",27,8,40.409808,-3.688822
70,70 - Hospital Uni. Infantil Niño Jesús,"Avenida de Menéndez Pelayo nº 63,",27,17,40.415382,-3.677873
71,71 - Plaza del Doctor Laguna,"Calle Doce de Octubre nº 28,",23,5,40.4161,-3.6739
72,72 - Metro Sáinz de Baranda,"Calle Doctor Esquerdo nº 62,",23,7,40.4159,-3.6696
73,73 - Plaza de los Astros,"Calle de los Astros, nº5 ,",23,9,40.4115,-3.6687
74,74 - Parque Retiro - Jardines Cecilio Rguez,"Avenida de Menéndez Pelayo nº 69,",27,20,40.412063,-3.676589
75,75 - Parque del Retiro - Plaza Mariano Cavia,"Avenida Menéndez pelayo (esquina con calle Poeta Esteban Villegas),",27,9,40.408272,-3.678475
76,"76 - Avenida del Mediterráneo, 19","Avenida del Mediterráneo nº 19,",24,4,40.407271,-3.675102
77,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",18,13,40.406478,-3.670713
78,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",27,12,40.400637,-3.674524
79,79 - Metro Menéndez Pelayo,"Avenida de Menéndez Pelayo nº 38,",27,8,40.40511,-3.68044
81,81 - Cuesta de Moyano,"Calle Claudio Moyano, nº5 ,",24,0,40.409343,-3.691833
82,82 - Doctor Esquerdo - Metro Conde de Casal,"Calle Lira, nº1 ,",23,1,40.408456,-3.669753
83,83 - Pío Baroja,"Calle Pío Baroja nº8,",23,6,40.4133,-3.674479
84,84 - Biblioteca Pública Elena Fortún,"Calle Doctor Esquerdo nº 191,",23,3,40.403572,-3.672482
85,85 - Parque del Retiro - Puerta de O´Donnell,"Avenida de Menéndez Pelayo, 9,",27,11,40.421314,-3.679891
86,86 - Cibeles,"Paseo del Prado, 1B ,",24,22,40.418652,-3.69335
87,87 - Ayala - Velázquez,"Calle Ayala nº 46,",23,22,40.427736,-3.683257
88,88 - Velázquez-Padilla,"Calle Velázquez, 13 ,",23,21,40.431358,-3.68383
89,89 - Ayala - Conde de Peñalver,"Calle Ayala nº 104,",23,16,40.427258,-3.675202
90,90 - Metro Velázquez,"Calle Goya, 20 ,",27,19,40.425149,-3.683842
91,91 - Hermosilla - General Pardiñas,"Calle Hermosilla nº 71,",23,8,40.426049,-3.678628
92,92 - Claudio Coello - Hermosilla,"Calle Claudio Coello, 43 ,",23,22,40.426294,-3.686546
93,93 - Plaza de Margaret Tatcher,"Calle Goya (esquina calle Marqués de Zurgeña),",23,23,40.425759,-3.689336
94,94 - Estación de tren de Recoletos,"Paseo de Recoletos nº 20,",23,20,40.423215,-3.690756
95,95 - Claudio Coello - Villanueva,"Calle Claudio Coello nº 19,",23,22,40.422543,-3.686929
96,96 - Alcalá - Castelló,"Calle Alcalá nº 111,",27,18,40.422015,-3.682205
97,97 - Metro Príncipe de Vergara,"Avenida Menéndez Pelayo (esquina calle Alcalá),",27,13,40.422536,-3.680256
98,98 - Plaza de Felipe II,"Calle Narváez, 3 ,",24,20,40.424132,-3.675768
99,99 - Alcántara - Hermosilla,"Calle Alcántara, 4 ,",23,5,40.426039,-3.674018
100,100 - Wizink Center,"Calle Goya nº 99,",27,6,40.42478,-3.67384
101,101 - Metro O Donnell,"Calle Jorge Juán, 129 ,",24,18,40.423077,-3.66968
102,102 - Metro Retiro,"Calle Alcalá nº 95,",23,23,40.421185,-3.684232
103,103 - Ortega y Gasset - Serrano,"Calle José Ortega y Gasset, 6 ,",23,19,40.43053,-3.686744
104,104 - Castellana - Hermosilla,"Paseo de la Castellana nº 4,",23,21,40.42677,-3.68958
105,"105 - Serrano, 46","Calle Serrano nº 46,",23,20,40.427083,-3.687542
106B,106B - Plaza de Colón B,"Calle Serrano nº 32,",19,19,40.424776,-3.68789
107,107 - Serrano - Conde de Aranda,"Calle Serrano nº 8,",23,16,40.421561,-3.688384
108,108 - Mártires Concepcionistas - Alcalá,"Calle Mártires Concepcionistas nº 2,",27,18,40.427402,-3.670652
109,109 - Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",23,22,40.430124,-3.681452
110,110 - Intercambiador de Moncloa,"Paseo de Moret nº 1,",23,3,40.434745,-3.720102
111A,111A - Metro Moncloa A,"Calle Arcipreste de Hita nº 8,",23,4,40.433603,-3.717525
111B,111B - Metro Moncloa B,"Calle Arcipreste de Hita nº 12,",23,1,40.433913,-3.717743
112,112 - Paseo de Moret - Parque del Oeste,"Paseo Moret, 9 ,",23,17,40.43269,-3.724736
113,113 - Teleférico Madrid - Estación Rosales,"Paseo del Pintor Rosales frente al nº 38,",24,16,40.427538,-3.720726
114,114 - Quintana - Juan Álvarez de Mendizábal,"Calle Quintana nº 13,",23,11,40.427838,-3.717463
115,115 - Ferraz - Templo de Debod,"Paseo de Pintor Rosales (esquina Marqués de Cerralbo),",23,5,40.425315,-3.717052
116A,116A - Plaza de España - Martín de los Heros,"Plaza de España nº16,",18,10,40.423679,-3.713043
116B,116B - Metro Plaza de España,"Calle de los Reyes, nº10,",18,14,40.423684,-3.71046
117,117 - Altamirano  - Martín de los Heros,"Calle Altamirano nº 24,",23,1,40.43098,-3.71889
118,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",23,15,40.400781,-3.688241
119,119 - Méndez Álvaro,"Calle Méndez Álvaro nº 11,",23,18,40.401291,-3.686265
120,120 - Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",27,25,40.40309,-3.694825
121,121 - Glorieta de Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",27,8,40.401749,-3.698603
122,122 - Santa Engracia - Zurbarán,"Calle Santa Engracia nº 14,",23,18,40.429536,-3.696366
123,123 - Metro Argüelles,"Calle Guzmán el Bueno nº 2,",27,13,40.430646,-3.713341
124,124 - Metro Bilbao,"Calle Manuel Silvela nº 20,",27,2,40.430969,-3.699369
125,125 - Fdez. de la Hoz - Gral. Martínez Campos,"Calle Fernández de la Hoz nº 29,",27,21,40.4353,-3.6948
126,126 - General Álvarez de Castro,"Calle del General Álvarez de Castro, 6 ,",27,4,40.434598,-3.701804
127,127 - Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",27,3,40.433852,-3.708439
128,128 - Metro Islas Filipinas,"Calle Cea Bermúdez nº 59,",27,20,40.4392,-3.7154
129,129 - Metro Alonso Cano,"Calle de José Abascal, 33-35 ,",27,0,40.438387,-3.698235
130,130 - Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",23,19,40.44156,-3.70164
131,131 - Plaza de Juan Zorrilla,"Calle Bravo Murillo nº 44,",23,8,40.441788,-3.704031
132,132 - Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",27,14,40.446378,-3.703605
133,133 - Raimundo Fdez. Villaverde - Dulcinea,"Calle Dulcinea, 3 ,",24,0,40.447125,-3.700167
134,134 - María de Guzmán - Agustín de Betancourt,"Calle María de Guzmán nº 58,",23,2,40.444182,-3.695569
135,135 - Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz, 10 ,",23,23,40.441481,-3.692734
136,136 - Metro Nuevos Ministerios,"Paseo de la Castellana nº 106,",23,21,40.445124,-3.690769
137,137 - Plaza de la República Argentina,"Plaza de la republica argentina, 7 ,",24,19,40.445448,-3.685338
138,138 - Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63 ,",23,13,40.445741,-3.691406
139,139 - José Gutiérrez Abascal - Castellana,"Calle Pedro de Valdivia, 2 ,",24,16,40.439396,-3.690419
140,140 - Velázquez - López de Hoyos,"Calle Velázquez, 134 ,",27,22,40.438757,-3.683058
141,141 - Plaza de Emilio Castelar,"Paseo de la Castellana nº 43,",12,8,40.435405,-3.689392
142,142 - Bajo elevado de Eduardo Dato,"Paseo de la Castellana nº 42,",23,20,40.433409,-3.687915
186,186 - General Pardiñas - Don Ramón de la Cruz,"Calle General Pardiñas, 58 ,",23,13,40.42898,-3.678302
144,144 - Metro Diego de León,"Calle de Juan Bravo, 51 ,",27,15,40.432408,-3.675556
145,145 - Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",23,2,40.429887,-3.671282
146,"146 - María Francisca, 3","Calle de María Francisca, 3,",19,10,40.444254,-3.67885
147,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",23,4,40.4484,-3.6794
148,148 - Serrano 210,"Calle Serrano nº 210,",23,9,40.451117,-3.681397
149,149 - Plaza de Quito,"Paseo de la Habana nº 42,",23,20,40.449852,-3.68793
151,151 - Orense 12,"Calle Orense nº 12,",27,24,40.448812,-3.695359
152,"152 - General Perón, 4","Avenida del General Perón, 4 ,",23,3,40.4525,-3.6989
153,153 - General Perón - Poeta Joan Maragall,"Avenida del General Perón, 36 ,",23,20,40.4523,-3.6936
154,154 - Orense 36,"Calle Orense nº 36,",24,12,40.454846,-3.694622
155,155 - San Germán 57,"Calle San Germán nº 57,",23,0,40.457334,-3.70093
156,156 - Sor Ángela de la Cruz-Paseo Castellana,"Calle Sor Ángela de la Cruz nº 2,",24,21,40.459235,-3.691533
158,158 - Alberto Alcocer - Padre Damián,"Avenida de Alberto Alcocer nº 22,",23,12,40.45869,-3.684625
159,159 - Paseo de la Habana 63,"Paseo de la Habana nº 63,",23,13,40.454385,-3.683593
160,160 - Metro Colombia,"Calle Colombia, 11 ,",24,3,40.457247,-3.676344
161,161 - Intercambiador de Príncipe Pío A,"Paseo de la Florida nº 8,",27,3,40.422192,-3.722099
162,162 - Metro Pirámides,"Paseo de los Olmos, 26 ,",23,13,40.403497,-3.710577
163,163 - Metro Acacias,"Paseo de la Esperanza, 2A ,",19,11,40.403759,-3.706445
164,164 - Paseo de las Delicias - Tomás Bretón,"Paseo de las Delicias nº 94,",27,7,40.39723,-3.69461
165,165 - Entrada Matadero - Paseo de la Chopera,"Paseo de la Chopera frente 51 ,",43,12,40.392888,-3.697596
166,166 - Viaducto de Segovia,"Calle Segovia nº 26,",27,15,40.413905,-3.713377
167,167 - Segovia 45,"Calle Segovia nº 45,",27,9,40.413748,-3.717489
168,168 - Santa María Cabeza - Batalla del Salado,"Paseo Santa María de la Cabeza frente al 30 ,",23,9,40.4046,-3.6959
169,169 - Glorieta de Pirámides,"Calle Toledo nº 181,",24,22,40.401589,-3.713823
170,"170 - Paseo de la Esperanza, 21","Paseo de la Esperanza nº 21,",24,14,40.401055,-3.704396
171,171 - Embajadores-Cáceres,"Calle Embajadores nº 97,",27,15,40.399701,-3.698402
172,172 - Estación de tren de Delicias,"Calle Bustamante nº 3,",23,8,40.400828,-3.693493
173,173 - Paseo Esperanza - Santa María Cabeza,"Paseo de la Esperanza nº 59,",24,1,40.398347,-3.702484
174,"174 - Paseo de las Yeserías, 45","Paseo de Yeserías nº 45,",27,1,40.39743,-3.706526
175,175 - Jaime el Conquistador - Divino Vallés,"Calle Jaime el Conquistador nº 30,",19,2,40.396226,-3.698345
177,177 - Metro Legazpi,"Calle Bolívar nº 3,",23,23,40.391447,-3.694188
178,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",24,4,40.40292,-3.678834
179,179 - Metro Puente de Vallecas,"Avenida de la Albufera nº 6,",24,12,40.397927,-3.669272
180,180 - Estación Sur Méndez Álvaro B,"Calle Retama (esquina con calle Acanto),",23,22,40.394042,-3.67589
181,181 - Ibiza - Narváez,"Calle Ibiza nº 16,",27,6,40.418169,-3.676444
182,182 - Parque Roma,"Alcalde Sainz de Baranda (esquina con calle de Juan Espladiu),",23,15,40.418667,-3.665778
183,183 - Hermosilla - Doctor Esquerdo,"Calle Hermosilla, 135,",23,3,40.425635,-3.669339
184,"184 - Marqués de Zafra, 24","Paseo del Marqués Zafra, 24 ,",24,4,40.426,-3.665306
185,185 - Parque Quinta de la Fuente del Berro,"Calle Sancho Dávila, 35 ,",24,7,40.425083,-3.661528
143,143 - Diego de León - General Pardiñas,"Calle de Diego de León, 54 ,",23,3,40.434676,-3.67808
187,187 - Alejandro González - Alcalá,"Alcala-Ventas ,",23,10,40.430133,-3.663825
188,188 - Puente de Ventas,"Avenida de Daroca, 2 ,",27,16,40.431256,-3.659029
189,189 - Virgen de la Alegría,"Avenida donostiarra,",23,1,40.435126,-3.655492
190,190 - Velázquez - Diego de León,"Calle Velázquez, 91 ,",23,15,40.434305,-3.683375
191,191 - Metro Diego de León,"Calle de Alfonso Heredia, 2 ,",19,1,40.434569,-3.674078
192,192 - Avda. de los Toreros - Fco. Silvela,"Avenida de los Toreros, 3 ,",27,15,40.431826,-3.671468
193,193 - Plaza de las Ventas,"Avenida De los Toreros, 49 ,",27,11,40.432472,-3.665555
194,194 - Intercambiador de Avenida de América,"Calle Francisco Silvela, 87 ,",24,22,40.437264,-3.677154
195,195 - Indalecio Hernández - Mataelpino,"Calle Mataelpino, 1 ,",24,22,40.439222,-3.675444
196,196 - Metro Prosperidad,"Calle Suero de Quiñones, 4 ,",27,2,40.444224,-3.675222
197,197 - Parque de Berlín,"Avenida de Concha Espina, 36 ,",23,9,40.451606,-3.677916
198,198 - Metro Rubén Darío,"Paseo de las Castellana, 33 ,",23,21,40.432,-3.6891
199,"199 - Fernando el Católico, 61","Calle Fernando el Católico, 61 ,",27,4,40.434361,-3.714917
200,200 - Metro Quevedo,"Glorieta de Quevedo, 4 ,",24,15,40.433754,-3.704579
201,201 - Metro Canal,"Calle José Abascal, 2 ,",23,10,40.438694,-3.703833
202,202 - Parque de Santander,"Calle de Santander, 1 ,",27,13,40.4413,-3.7083
203,203 - General Ampudia - San Francisco Sales,"Calle General de Ampudia 2,",24,17,40.44175,-3.714472
204,204 - Doctor Santero - Bravo Murillo,"Calle Doctor Santero, 1 ,",23,5,40.447649,-3.70404
205,205 - Metro Estrecho,"Calle Navarra, 1 ,",23,3,40.4535,-3.703278
206,206 - Metro Tetuán,"Calle Marqués de Viana, 3 ,",23,1,40.460747,-3.698916
207,207 - Plaza de la Remonta,"Calle Azucenas, 2 ,",19,0,40.463044,-3.697335
208,208 - Intercambiador de Plaza de Castilla,"Paseo de la Castellana, 216 ,",18,0,40.466281,-3.689061
209,209 - Plaza de Castilla - Fundación Canal,"Plaza de Castilla, 9 ,",23,1,40.4657,-3.6887
210,210 - Calle de las Tres Cruces - Gran Vía,"Calle de las Tres Cruces,",27,23,40.419652,-3.702716
211,211 - Desengaño - Valverde,"Calle de el Desengaño, 4 ,",23,15,40.42059,-3.70239
212,212 - Metro Marqués de Vadillo,"Glorieta Marqués de Vadillo, 9,",27,13,40.398247,-3.716591
213,213 - Glorieta de Cádiz,"Calle de Antonio López, 129 ,",23,10,40.388992,-3.700225
214,214 - Condesa de Venadito - Albacete,"Calle Condesa de Venadito, 2 ,",24,23,40.443432,-3.656903
215,215 - Gutierre de Cetina - Ascao,"Calle Gutierre de Cetina, 77 ,",23,7,40.429588,-3.640809
216,216 - Plaza de Puerta del Ángel,"Plaza Puerta del Ángel, 3 ,",27,4,40.4141,-3.72897
217,217 - Hospital Universitario La Paz,"Calle Pedro Rico, 4 ,",23,20,40.480884,-3.689076
218,218 - Camino de los Vinateros A,"Camino de Vinateros, 28 ,",23,6,40.410548,-3.657297
219,219 - Camino de los Vinateros B,"Camino de los Vinateros, 108 ,",18,7,40.408359,-3.646734
220,220 - Plaza del Encuentro,"Calle Arrollo de las Pilillas, 2 ,",24,14,40.406156,-3.651384
221,221 - Metro Pavones,"Calle Hacienda de Pavones, 148 ,",23,20,40.400492,-3.634744
222,222 - Eugenio Caxes - Antonio López,"Calle Eugenio Caxes, 14 ,",23,15,40.391787,-3.702679
223,223 - Ermita del Santo,"Paseo de la Ermita del Santo, 48 ,",27,10,40.406448,-3.724576
224,224 - Parque de Caramuel,"Calle Caramuel, 51 ,",27,3,40.409,-3.7287
225,225 - Sierra Toledana - Doctor Lozano,"Calle Sierra Toledana, 33 ,",24,10,40.402506,-3.660345
226,226 - Sierra Toledana - Camino de Valderribas,"Camino Valderribas, 94 ,",23,0,40.399015,-3.660777
227,227 - Arroyo del Olivar,"Calle Arrollo del Olivar, 3 ,",24,0,40.39383,-3.665936
228,228 - San Delfín - Antonio López,"Calle San Delfín, 10 ,",18,0,40.394406,-3.708043
229,229 - Centro Deportivo Municipal Concepción,"Calle José del Hierro, 6 ,",23,0,40.436938,-3.648651
230,230 - Carlota O´Neill - Agastia,"Calle Carlota O Neill, 30-32 ,",24,2,40.443679,-3.648825
231,231 - Derechos Humanos - Verdaguer y García,"Calle Derechos Humanos, 14 ,",24,9,40.439828,-3.655719
232,232 - José María de Pereda - Alcalá,"Calle De José Maria Pereda, 1 ,",27,15,40.432766,-3.648617
233,233 - El dragón de La Elipa,"Calle Marqués de Corbera, 12 ,",24,12,40.422952,-3.655579
234,234 - Metro La Elipa,"Avenida Marques de Corbera, 52 ,",24,8,40.426128,-3.651092
235,235 - Sodio - Embajadores,"Calle del Sodio, 1B ,",23,11,40.389041,-3.691076
236,236 - Paseo Imperial,"Paseo Imperial, 31 ,",27,21,40.407579,-3.717078
238,"238 - San Germán, 5","CalleSan Germán, 5 ,",24,22,40.456182,-3.693261
239,239 - Francos Rodríguez - José Calvo,"Calle de Francos Rodríguez, 62 ,",23,3,40.456713,-3.707833
240,240 - Brasilia - Parque Breogán,"Avenida De Brasilia, 9 ,",23,4,40.43666,-3.66096
241,241 - Camilo José Cela,"Calle Camilo José Cela, 27,",23,2,40.4378,-3.66779
242,242 - Metro Parque de las Avenidas,"Avenida De Bruselas, 56 ,",23,14,40.439513,-3.662928
243,243 - Cartagena,"Calle Cartagena, 37,",23,3,40.43503,-3.67012
244,244 - Hospital Clínico San Carlos,"Calle Isaac Peral, 42 ,",23,10,40.44003,-3.71757
245,245 - Galileo - Donoso Cortés,"Calle Galileo, 63 ,",24,2,40.436364,-3.710138
246,246 - Metro Iglesia,"Calle de Santa Engracia, 85-87 ,",27,23,40.435958,-3.699248
247,247 - Zurbano - José Abascal,"Calle de Zurbano, 90 ,",23,18,40.43837,-3.69281
248,248 - Sinesio Delgado - Cuatro Torres,"Calle de Sinesio Delgado, 2 ,",27,22,40.474321,-3.687997
249,249 - Castellana - Cuatro Torres,"Paseo de la Castellana, 298 ,",24,23,40.479502,-3.685319
250,250 - Serrano - CSIC,"Calle Serrano, 111 ,",27,16,40.440649,-3.68581
251,251 - Santa Hortensia - Corazón de María,"Calle Santa Hortensia, 31 ,",23,2,40.44421,-3.66683
252,252 - Est. tren Chamartín - Clara Campoamor,"Calle Agustín de Foxá, 40 ,",23,1,40.47174,-3.683969
253,253 - Doctor Fleming - Estadio S. Bernabéu,"Calle del Doctor Fleming, 7 ,",19,19,40.45546,-3.68844
254,254 - Plaza del Perú,"Avenida De Pio XII, 3 ,",23,6,40.461,-3.67656
255,255 - General López Pozas - Apolonio Morales,"Calle General López pozas, 2 ,",23,9,40.46361,-3.685292
256,256 - Reina Victoria - Beatriz de Bobadilla,"Calle Beatriz de Bobadilla, 4 ,",23,4,40.44635,-3.71383
257,257 - Ciudad Universitaria - INEF,"Avenida Juan Herrera, 1 ,",23,22,40.438873,-3.730527
258,258 - Metro Ciudad Universitaria A,"Ciudad Universitaria, 1 ,",24,24,40.444311,-3.726939
259,259 - Metro Ciudad Universitaria B,"Ciudad Universitaria, 2 ,",19,19,40.442705,-3.726752
260,260 - Ciudad Universitaria - Fac. de Biología,"Facultad de Biología,",24,20,40.448332,-3.727295
261,261 - Ciudad Universitaria - Facultad Derecho,"Avenida Complutense, 21 ,",23,23,40.450552,-3.729676
384,384 - Metro Usera,"Calle Amparo Usera, 46 ,",23,22,40.387075,-3.706145
388,388 - Estación tren - Hospital 12 de Octubre,"Calle Doctor Tolosa Latour, 7 ,",23,13,40.37838,-3.700415
385,385 - Estación de tren Orcasitas,"Calle Campotejar , 25,",23,12,40.367211,-3.703887
387,"387 - Isabelita Usera, 44","Calle Isabelita Usera, 44 ,",23,10,40.382723,-3.70774
383,383 - Metro San Fermín-Orcasur,"Avenida de la Perla, 35,",23,20,40.370002,-3.69397
386,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",23,11,40.373474,-3.713315
476,476 - Metro Avenida de la Paz,"Avenida Ramon y Cajal, 101,",23,2,40.453493,-3.662016
477,477 - Metro Ciudad Lineal,"Calle de los Misterios, 2 ,",23,4,40.438278,-3.638904
478,478 - José del Hierro - Misterios,"Calle José del Hierro esquina con Arturo Soria ,",23,1,40.441521,-3.641057
479,479 - Metro Arturo Soria,"Angel Muñoz, 1,",27,15,40.454784,-3.655837
480,480 - Vicente Muzas - Arturo Soria,"Calle Vicente Muzas, 13 ,",23,8,40.459033,-3.660443
481,481 - Diego Ayllón - Arturo Soria,"Diego Ayllon, 2,",23,4,40.451179,-3.652191
554,554 - Metro El Capricho,"Calle de Velero, 16 ,Comunidad de Madrid España",27,2,40.453,-3.5941
284,"284 - Avenida de Burgos, 17","Avda. de Burgos, 17 ,",23,8,40.473594,-3.67579
482,482 - Metro Pueblo Nuevo,"Campuzano, 1,",23,3,40.435687,-3.642339
483,483 - Marcelino Álvarez - Daroca,"Calle Marcelino Álvarez, 31 ,",23,10,40.429743,-3.653432
484,484 - Metro García Noblejas,"Calle Luis Campos, 3,",23,18,40.428931,-3.632389
523,523 - Carretera de Canillas,"Calle carretera de canillas, 17 ,",23,11,40.46287,-3.650893
285,285 - Santa María Magdalena - La Drácena,"Calle Santa María Magdalena, 15 ,",23,19,40.4631,-3.6706
286,286 - Plaza Duque de Pastrana,"Plaza Duque de Pastrana, 2 ,",23,7,40.4679,-3.6779
