Nº RADAR;Ubicacion;Carretara o vial;UBICACIÓN Calle 30;PK;Sentido;Tipo;Carril;Longitud inicio tramo;Latitud inicio tramo;X (WGS84);Y (WGS84);Longitud;Latitud;Velocidad límite;Responsable
23;M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo;Fijo carril 3;;;437668.00;4475482.00;-3.73482875;40.42763957;70;DGP
24;M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo;Fijo carril 2 ;;;437668.00;4475482.00;-3.73482875;40.42763957;70;DGP
25;M-30 SENTIDO AVDA. DE LA ILUSTRACIÓN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÓN) P.K. 25,700;M-30;25NC80;25+700;Calzada interior;Fijo;Todos;;;436823.00;4480674.00;-3.74530618;40.47434710;90;DGP
26;M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO) P.K. 27,300 ;M-30;;27+300;;Fijo;Fijo multicarril;;;438043.00;4480491.00;-3.73089695;40.47279048;90;DGP
27;PASEO DE LA CASTELLANA Nº 300, SALIDA;PASEO DE LA CASTELLANA;;300;Salida;Fijo;Todos;;;441904.00;4481314.00;-3.68542793;40.48048344;50;DGP
28;AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÁLAGA;AVENIDA DE CÓRDOBA;;"Inicio: GLORIETA DE CÁDIZ
Fin: AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR";Salida;Radar de tramo;Salida, radar de tramo;-3.699380;40.387572;440873.00;4470025.29;-3.696519;40.378590;50;DGGVC
29;A-5 PK 5+750, SENTIDO SALIDA;A5;;P.K  4+000 ----- P.K. 5+750;Salida;Radar de tramo;Salida, radar de tramo;-3.74574755307117;40.4072412609861;435202.237655954;4472448.48639425;-3.76358611606955;40.4001241953525;70;DGGVC
30;A-5 PK 4+000, SENTIDO ENTRADA;A5;;P.K. 5+750 ----- P.K  4+000;Entrada;Radar de tramo;Entrada, radar de tramo;-3.76358611606955;40.4001241953525;436722.693562517;4473225.55366121;-3.74574755307117;40.4072412609861;70;DGGVC
31;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -152;Calle Sinesio Delgado;;;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.712945;40.469247;;;-3.714454;40.467149;50;DGGVC
32;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 152 - 188;Calle Sinesio Delgado;;;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.714454;40.467149;;;-3.728241;40.460303;50;DGGVC
33;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -188;Calle Sinesio Delgado;;;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.712945;40.469247;;;-3.728241;40.460303;50;DGGVC
34;Sinesio Delgado, Sentido Av Betanzos, Farola 187-152;Calle Sinesio Delgado;;;Av Betanzos;Radar de tramo;Radar de tramo;-3.728207;40.460208;;;-3.714454;40.467149;50;DGGVC
35;Sinesio Delgado, Sentido Av Betanzos, Farola 152- 143;Calle Sinesio Delgado;;;Av Betanzos;Radar de tramo;Radar de tramo;-3.714454;40.467149;;;-3.712743;40.469208;50;DGGVC
36;Sinesio Delgado, Sentido Av Betanzos, Farola 187-143;Calle Sinesio Delgado;;;Av Betanzos;Radar de tramo;Radar de tramo;-3.728207;40.460208;;;-3.712743;40.469208;50;DGGVC
