FID,ID_ESTACIO_LINIA,CODI_ESTACIO_LINIA,ID_GRUP_ESTACIO,CODI_GRUP_ESTACIO,ID_ESTACIO,CODI_ESTACIO,NOM_ESTACIO,ORDRE_ESTACIO,ID_LINIA,CODI_LINIA,NOM_LINIA,ORDRE_LINIA,ID_TIPUS_SERVEI,DESC_SERVEI,ORIGEN_SERVEI,DESTI_SERVEI,ID_TIPUS_ACCESSIBILITAT,NOM_TIPUS_ACCESSIBILITAT,ID_TIPUS_ESTAT,NOM_TIPUS_ESTAT,DATA_INAUGURACIO,DATA,COLOR_LINIA,PICTO,PICTO_GRUP,GEOMETRY
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145e,95,136,136,6660136,9,136,Torras i Bages,26,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1968-03-14,2025-10-05,CE1126,L1,L1,POINT (2.190670630058029 41.44322471120022)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145d,129,137,137,6660137,43,137,Trinitat Vella,27,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1983-12-21,2025-10-05,CE1126,L1,L1,POINT (2.19383728111338 41.448956491210204)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145c,175,138,138,6660138,89,138,Baró de Viver,28,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1983-12-21,2025-10-05,CE1126,L1,L1,POINT (2.1995630177315273 41.449935998152824)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145b,149,139,139,6660139,63,139,Santa Coloma,29,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1983-12-21,2025-10-05,CE1126,L1,L1,POINT (2.2079694594622845 41.451067345464494)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-145a,214,140,140,6660140,139,140,Fondo,30,4,1,L1,1,1,Hospital de Bellvitge - Fondo,Hospital de Bellvitge,Fondo,1,Accessible,1,Operatiu,1992-02-18,2025-10-05,CE1126,L1,L1L9N,POINT (2.2184351315232798 41.45158314986258)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1459,189,210,210,6660210,110,210,Paral·lel,1,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-12-31,2025-10-05,93248F,L2,L2L3FM,POINT (2.169116794897992 41.37500406102914)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1458,206,211,211,6660211,131,211,Sant Antoni,2,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L2,POINT (2.1632411382555055 41.37983283932031)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1457,138,212,125,6660125,52,212,Universitat,3,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L1L2,POINT (2.163913361869796 41.38476754205573)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1456,190,213,213,6660213,111,213,Passeig de Gràcia,4,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L2L3L4,POINT (2.1682429227154443 41.389416186833074)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1455,139,214,214,6660214,53,214,Tetuan,5,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L2,POINT (2.175559181787991 41.394887450597096)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1454,140,215,215,6660215,54,215,Monumental,6,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L2,POINT (2.1794616714099684 41.40052374172786)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1453,150,216,216,6660216,64,216,Sagrada Família,7,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1995-09-25,2025-10-05,93248F,L2,L2L5,POINT (2.1751061426382496 41.403985461635365)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1452,191,217,217,6660217,112,217,Encants,8,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1997-09-20,2025-10-05,93248F,L2,L2,POINT (2.182700370252568 41.40723597843338)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1451,141,218,131,6660131,55,218,Clot,9,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1997-09-20,2025-10-05,93248F,L2,L1L2,POINT (2.186834589944875 41.41035844850356)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1450,192,219,219,6660219,113,219,Bac de Roda,10,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1997-09-20,2025-10-05,93248F,L2,L2,POINT (2.1955032531185723 41.41516206251577)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144f,142,220,220,6660220,56,220,Sant Martí,11,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1997-09-20,2025-10-05,93248F,L2,L2,POINT (2.2007239139818875 41.419063621458996)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144e,143,221,221,6660221,57,221,La Pau,12,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1997-09-20,2025-10-05,93248F,L2,L2L4,POINT (2.205608148173806 41.42403302510149)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144d,144,222,222,6660222,58,222,Verneda,13,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1985-04-22,2025-10-05,93248F,L2,L2,POINT (2.209883422365895 41.43000446400387)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144c,211,223,223,6660223,136,223,Artigues | Sant Adrià,14,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1985-04-22,2025-10-05,93248F,L2,L2,POINT (2.217771760065826 41.43384822541837)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144b,193,224,224,6660224,114,224,Sant Roc,15,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1985-04-22,2025-10-05,93248F,L2,L2,POINT (2.22860617965681 41.43583082252647)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-144a,145,225,225,6660225,59,225,Gorg,16,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1985-04-22,2025-10-05,93248F,L2,L2L10N,POINT (2.2334409930935344 41.440237216720185)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1449,194,226,226,6660226,115,226,Pep Ventura,17,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,1985-04-22,2025-10-05,93248F,L2,L2,POINT (2.237959375095989 41.4439045741019)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1448,182,227,227,6660227,99,227,Badalona Pompeu Fabra,18,6,2,L2,2,1,Paral·lel - Badalona Pompeu Fabra,Paral·lel,Badalona Pompeu Fabra,1,Accessible,1,Operatiu,2010-07-11,2025-10-05,93248F,L2,L2,POINT (2.244096816044607 41.44905421071657)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1447,99,314,314,6660314,13,314,Zona Universitària,1,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3L9S,POINT (2.1111785337331934 41.38411534410362)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1446,207,315,315,6660315,132,315,Palau Reial,2,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3,POINT (2.118538181084618 41.385980056620134)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1445,91,316,316,6660316,5,316,Maria Cristina,3,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3,POINT (2.125791232923749 41.38781569227959)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1444,93,317,317,6660317,7,317,Les Corts,4,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3,POINT (2.1308710146162624 41.384119684361195)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1443,94,318,318,6660318,8,318,Plaça del Centre,5,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3,POINT (2.1358837134051947 41.38192170670766)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1442,100,319,319,6660319,14,319,Sants Estació,6,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3L5,POINT (2.140992260494352 41.38159824846632)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1441,153,320,320,6660320,67,320,Tarragona,7,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-01-20,2025-10-05,1EB53A,L3,L3,POINT (2.1453357748823865 41.378493002424634)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1440,101,321,122,6660122,15,321,Espanya,8,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-07-15,2025-10-05,1EB53A,L3,L1L3,POINT (2.151554638605345 41.37501825024238)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143f,106,322,322,6660322,20,322,Poble Sec,9,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1975-07-15,2025-10-05,1EB53A,L3,L3,POINT (2.1602448223915327 41.374996204246344)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143e,108,323,210,6660210,22,323,Paral·lel,10,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1970-06-17,2025-10-05,1EB53A,L3,L2L3FM,POINT (2.1691181337700103 41.374892188019956)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143d,154,324,324,6660324,68,324,Drassanes,11,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1968-12-14,2025-10-05,1EB53A,L3,L3,POINT (2.1756641701931962 41.37653760970823)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143c,107,325,325,6660325,21,325,Liceu,12,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1925-07-05,2025-10-05,1EB53A,L3,L3,POINT (2.1730302773575945 41.3814454250764)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143b,152,326,126,6660126,66,326,Plaça de Catalunya station,13,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1924-12-30,2025-10-05,1EB53A,L3,L1L3,POINT (2.170091830786193 41.38632215668891)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-143a,102,327,213,6660213,16,327,Passeig de Gràcia,14,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1924-12-30,2025-10-05,1EB53A,L3,L2L3L4,POINT (2.16534697064377 41.39160315557566)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1439,199,328,328,6660328,122,328,Provença-Diagonal station,15,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1924-12-30,2025-10-05,1EB53A,L3,L3L5,POINT (2.160047462460906 41.39588794733583)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1438,155,329,329,6660329,69,329,Fontana,16,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1925-05-31,2025-10-05,1EB53A,L3,L3,POINT (2.1530224404295164 41.40200887904024)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1437,196,330,330,6660330,119,330,Lesseps,17,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1924-12-31,2025-10-05,1EB53A,L3,L3,POINT (2.1504071221317904 41.405738025515355)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1436,158,331,331,6660331,72,331,Vallcarca,18,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1985-11-06,2025-10-05,1EB53A,L3,L3,POINT (2.144337309169914 41.411974951406016)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1435,109,332,332,6660332,23,332,Penitents,19,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1985-11-06,2025-10-05,1EB53A,L3,L3,POINT (2.140971786114312 41.41827911730064)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1434,157,333,333,6660333,71,333,Vall d'Hebron,20,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1985-11-06,2025-10-05,1EB53A,L3,L3L5,POINT (2.1425645984456283 41.425282662715574)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1433,204,334,334,6660334,127,334,Montbau,21,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,1985-11-06,2025-10-05,1EB53A,L3,L3,POINT (2.145039277808795 41.43062015567553)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1432,103,335,335,6660335,17,335,Mundet,22,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,2001-09-21,2025-10-05,1EB53A,L3,L3,POINT (2.1484718023518736 41.435645266968535)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1431,212,336,336,6660336,137,336,Valldaura,23,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,2001-09-21,2025-10-05,1EB53A,L3,L3,POINT (2.1568778304495613 41.437996077035756)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1430,104,337,337,6660337,18,337,Canyelles,24,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,2001-09-21,2025-10-05,1EB53A,L3,L3,POINT (2.166387551719736 41.44175372856857)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142f,156,338,338,6660338,70,338,Roquetes,25,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,2008-10-04,2025-10-05,1EB53A,L3,L3,POINT (2.1760976903706806 41.44766967770127)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142e,105,339,339,6660339,19,339,Trinitat Nova,26,2,3,L3,3,1,Zona Universitària - Trinitat Nova,Zona Universitària,Trinitat Nova,1,Accessible,1,Operatiu,2008-10-04,2025-10-05,1EB53A,L3,L3L4L11,POINT (2.1840971350134772 41.44950031842506)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142d,187,413,221,6660221,108,413,La Pau,1,5,4,L4,4,1,La Pau - Trinitat Nova,La Pau,Trinitat Nova,1,Accessible,1,Operatiu,1982-10-15,2025-10-05,F7A30E,L4,L2L4,POINT (2.2051936070946385 41.423677990064625)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142c,176,414,414,6660414,90,414,Besòs,2,5,4,L4,4,1,La Pau - Trinitat Nova,La Pau,Trinitat Nova,1,Accessible,1,Operatiu,1982-10-15,2025-10-05,F7A30E,L4,L4,POINT (2.210231432719594 41.419901283124716)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142b,197,415,415,6660415,120,415,Besòs Mar,3,5,4,L4,4,1,La Pau - Trinitat Nova,La Pau,Trinitat Nova,1,Accessible,1,Operatiu,1982-10-15,2025-10-05,F7A30E,L4,L4,POINT (2.216081591411872 41.415098995619424)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-142a,131,416,416,6660416,45,416,El Maresme-Fòrum,4,5,4,L4,4,1,La Pau - Trinitat Nova,La Pau,Trinitat Nova,1,Accessible,1,Operatiu,2003-09-02,2025-10-05,F7A30E,L4,L4,POINT (2.2166919446941318 41.41177980668214)
ESTACIONS_LINIA.fid-7a44afe8_199b4d942e2_-1429,177,417,417,6660417,91,417,Selva de Mar,5,5,4,L4,4,1,La Pau - Trinitat Nova,La Pau,Trinitat Nova,1,Accessible,1,Operatiu,1977-10-07,2025-10-05,F7A30E,L4,L4,POINT (2.209122498871073 41.40800151156723)
