ID-EVENTO,TITULO,TITULO-ACTIVIDAD,DESCRIPCION,GRATUITO,DIAS-SEMANA,FECHA,FECHA-FIN,HORA,CONTENT-URL,NOMBRE-INSTALACION,CLASE-VIAL-INSTALACION,NOMBRE-VIA-INSTALACION,NUM-INSTALACION,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TIPO
50071787,4º Encuentro Iberoamericano de Arte y Cultura,,"La exposición refleja una selección de obras pictóricas, escultóricas y de collage de once artistas contemporáneos representantes de ocho países.  El 10 de octubre en la sala de exposiciones, se hará entrega de un diploma al director del 'Espacio Ronda de Madrid', D. Armando Lozano, por su labor de divulgación de la cultura, el conocimiento y las artes.",1,L,2025-10-04T00:00:00Z,2025-10-30T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b6e55e13f999910VgnVCM100000891ecb1aRCRD,Auditorio y sala de exposiciones Paco de Lucía (Latina),AVENIDA,LAS AGUILAS,2,Latina,Las Águilas,28044,435135,4470763,40.38493929920335,-3.7641963952601154,/contenido/actividades/Exposiciones
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
50065367,A golpe de carcajadas,Actividades en el Centro Cultural Meseta de Orcasitas,"Compañía: Achusychusita.  Categoría: Infantil.  Edad recomendada:  Todos los públicos.   Duración: 60 minutos.  Sinopsis: El payaso Achús donde hace reír a golpe de carcajadas a grandes y pequeños, humor de antes de ahora todo vale para no perder detalle de este peculiar personaje. Sino le conoces te encantará y si repites? por algo será. Que empiece el combate.",1,,2025-10-26T00:00:00Z,2025-10-26T23:59:00Z,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d866c92601679910VgnVCM200000f921e388RCRD,Centro Cultural Meseta de Orcasitas (Usera),PLAZA,ASOCIACION,1,Usera,Orcasitas,28041,439882,4469031,40.36969488211539,-3.7081179166391824,/contenido/actividades/CuentacuentosTiteresMarionetas
50013813,Abierto x Obras,Abierto x Obras,Más información disponible en la liga,1,M,2025-10-16T00:00:00Z,2026-01-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acaca2c35cf48910VgnVCM200000f921e388RCRD,Matadero Madrid,PLAZA,LEGAZPI,8,Arganzuela,La Chopera,28045,440946,4471422,40.39130985242181,-3.6958028442054074,/contenido/actividades/ProgramacionDestacadaAgendaCultura
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
50067198,Ábrete Sésamo,Actividades en el Centro Cultural Miguel de Cervantes,"Títeres. Cía. Arauca Media.   Recomendada a partir de 5 años.   Un viaje al corazón de oriente y la imaginación: A través de una puesta en escena cuidadosamente elaborada, con una estética radiante, humor y una gran creatividad, transformamos el clásico de Las mil y una noches en un espectáculo de títeres que emociona y conecta con toda la familia. Déjate envolver por la poesía visual, la magia del teatro y el alma de las historias que perduran en el tiempo.",1,,2025-10-19T00:00:00Z,2025-10-19T23:59:00Z,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38e762148df79910VgnVCM100000891ecb1aRCRD,Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas),CALLE,ALIAGA,5,San Blas-Canillejas,Canillejas,28022,448148,4476402,40.4366557020283,-3.6113517282299217,/contenido/actividades/otras
50043503,Acción teatro,El arte de vivir,"El teatro es utilizar nuestros cinco sentidos para percibir el mundo desde la propia subjetividad, es aceptar el hecho de que somos seres singulares y poner un altavoz a nuestra originalidad. ¿Te atreves a hacer teatro con nosotros? Con la Técnica Conectiva (técnicas teatrales psicofísicas), trataremos de influir en nuestra percepción del mundo y nuestro entorno. Además, hacer teatro ayuda a nuestra autopercepción y nos lleva a reconocernos como creadores y como seres humanos únicos. En este curso trabajaremos sobre todas esas capacidades que nos hacen más flexibles y dinámicos. Porque creemos que todas las personas deben tener un espacio seguro donde desarrollar su arte interpretativo, creando juntos entornos saludables que además mejoren indudablemente nuestra salud emocional y nuestras capacidades. Imparte: Con Causa. Organiza: Casa del Lector. Público: Para mayores de 65 años.",0,V,2025-10-24T00:00:00Z,2026-01-30T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d41770f8ca19910VgnVCM200000f921e388RCRD,Matadero Madrid,PLAZA,LEGAZPI,8,Arganzuela,La Chopera,28045,440946,4471422,40.39130985242181,-3.6958028442054074,/contenido/actividades/ProgramacionDestacadaAgendaCultura
12622331,Acompañar en la pérdida,Acompañar en la pérdida,Más información disponible en la liga,0,M,2025-09-16T00:00:00Z,2025-12-16T23:59:00Z,17:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),AVENIDA,MONFORTE DE LEMOS,38,Fuencarral-El Pardo,El Pilar,28029,439867,4481122,40.47860087334554,-3.7094408342979954,/contenido/actividades/CursosTalleres
50043776,Actividad física a partir de los 60,Actividades en el Centro Cultural Zazuar,"Daniel Mardomingo  Duración: 60 minutos  Edad recomendada: A partir de 18 años  Sinopsis: El trabajo de fuerza combinado con una adecuada alimentación es crucial para mantener la salud y la calidad de vida en las personas mayores de 60 años. Daniel Mardomingo, entrenaodor personal com una amplia experiencia, aboradá cómo el entrenamiento de fuerza, junto con una dieta rica en proteínas, es fundamental para un envejecimiento saludable y activo",1,,2025-10-22T00:00:00Z,2025-10-22T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19265cc8a0829910VgnVCM200000f921e388RCRD,Centro Cultural Zazuar (Villa de Vallecas),CALLE,ZAZUAR,4,Villa de Vallecas,Santa Eugenia,28031,448550,4470424,40.38281866921273,-3.6061377076487906,/contenido/actividades/ConferenciasColoquios
12306355,Actividades en el centro juvenil 'Carabanchel Alto'. Octubre 2025,Actividades en el centro juvenil 'Carabanchel Alto'. Julio 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c98efeefeb4fd810VgnVCM1000001d4a900aRCRD,Centro Juvenil Carabanchel Alto,CALLE,ALFONSO FERNANDEZ,23,Carabanchel,Buenavista,28044,435861,4468746,40.366822704148795,-3.755451103709316,/contenido/actividades/ProgramacionDestacadaAgendaCultura
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12309131,Actividades en el centro juvenil 'Chamberí'.  Octubre 2025,Actividades en el centro juvenil 'Chamberí'. Octubre 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=296728f1aa80e810VgnVCM2000001f4a900aRCRD,Centro Juvenil Chamberí,CALLE,RAIMUNDO FERNANDEZ VILLAVERDE,2,Chamberí,Ríos Rosas,28003,440346,4477568,40.44661949643803,-3.703467785151993,/contenido/actividades/CursosTalleres/Arte
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12309144,Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Octubre 2025,Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Octubre 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=185816ca7290e810VgnVCM2000001f4a900aRCRD,Centro Juvenil El Aleph (Villa de Vallecas),CALLE,ZAZUAR,1,Villa de Vallecas,Santa Eugenia,28031,448609,4470397,40.38257934400676,-3.6054546139177392,/contenido/actividades/otras
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12309171,Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Octubre 2025,Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Julio 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e90a16ca7290e810VgnVCM2000001f4a900aRCRD,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),CALLE,REAL DE ARGANDA,39,Villa de Vallecas,Santa Eugenia,28031,447634,4470066,40.37953682427198,-3.616901585603186,/contenido/actividades/ProgramacionDestacadaAgendaCultura
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12309514,Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Octubre 2025,Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Julio 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5d416ca7290e810VgnVCM2000001f4a900aRCRD,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),CALLE,HONTALBILLA,10,Fuencarral-El Pardo,Valverde,28034,441474,4482632,40.49231828430878,-3.6906342081203283,/contenido/actividades/otras
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12546355,Actividades en el centro juvenil 'Ouka Leele'. Octubre 2025.,Actividades en el centro juvenil 'Ouka Leele'. Julio 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD,"Centro Intergeneracional Ouka Leele.
Centro Juvenil-planta 2",CALLE,BRONCE,16,Arganzuela,Legazpi,28045,441570,4471202,40.389367699255175,-3.6884383126394686,/contenido/actividades/DanzaBaile/FolcloreEtnica
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12309582,Actividades en el centro juvenil 'Tetuán Punto Joven'. Octubre 2025,Actividades en el centro juvenil 'Tetuán Punto Joven'. Octubre 2025,Más información disponible en la liga,1,L,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=00dbfc1fe590e810VgnVCM2000001f4a900aRCRD,Centro Juvenil Tetuán Punto Joven,CALLE,DULCINEA,4,Tetuán,Cuatro Caminos,28020,440651,4477630,40.447199849232135,-3.6998771920981004,/contenido/actividades/otras
,,,,,M,,,,,,,,,,,,,,,,
,,,,,X,,,,,,,,,,,,,,,,
,,,,,J,,,,,,,,,,,,,,,,
,,,,,V,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,
,,,,,D,,,,,,,,,,,,,,,,
12542453,Acto Institucional del 18º Encuentro entre Culturas 'Multilatina' 2025,,"Festival folclórico internacional: Músicas del Mundo, con la participación de artistas de España, Peru, Ecuador y China",1,,2025-10-10T00:00:00Z,2025-10-10T23:59:00Z,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c53f4542f742910VgnVCM2000001f4a900aRCRD,Auditorio y sala de exposiciones Paco de Lucía (Latina),AVENIDA,LAS AGUILAS,2,Latina,Las Águilas,28044,435135,4470763,40.38493929920335,-3.7641963952601154,/contenido/actividades/DanzaBaile
50064749,Acto por el 600 aniversario por la llegada del pueblo gitano a España,Actividades en el Centro Cultural Orcasur,"Compañía Rafe de Usera con el cuarteto Versátil. Para todos los públicos.  Duración: 60 minutos.  Sinopsis: Actuación conmemorativa por el 600 aniversario por la llegada del pueblo gitano a España. Rafael Montañés Carmona ha creado un estilo propio de hacer flamenco. Proviene de una de las familias más históricas del flamenco 'Los Rubios', familia asentada en Orcasitas. Empezó desde muy niño cantando. Ha creado su propio grupo acompañado de un cuarteto Versátil mezclando músicas actuales con cante antiguo gitano.",1,,2025-10-22T00:00:00Z,2025-10-22T23:59:00Z,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4c750c931279910VgnVCM100000891ecb1aRCRD,Centro Cultural Orcasur (Usera),PLAZA,PUEBLO,2,Usera,Orcasur,28041,440472,4468702,40.366772166148415,-3.70113521931168,/contenido/actividades/Musica
50060688,Actuación Musical: `Tributo a Los Grandes de la Copla´,Actuación Musical: `Tributo a Los Grandes de la Copla´,Más información disponible en la liga,1,,2025-10-24T00:00:00Z,2025-10-24T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5d4b2f877c59910VgnVCM200000f921e388RCRD,Plaza de Los Pinazo,PLAZA,PINAZO,1,Villaverde,San Cristóbal,28021,441317,4466094,40.34333382494165,-3.6909491943684447,/contenido/actividades/Musica/Flamenco
50072072,Adrey,,"Adrey, en concierto. Una unión-conversación entre el dúo y el público que pasa a ser a ratos un show cómico y a ratos romántico, para acabar con una fiesta. Presentan una selección de joyas del repertorio latinoamericano y español, y algún tema de composición propia.",1,,2025-10-03T00:00:00Z,2025-10-03T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=958679d472a99910VgnVCM100000891ecb1aRCRD,Centro Cultural Fernando de los Ríos (Latina),CALLE,CAMARENA,10,Latina,Aluĉo,28047,435819,4471933,40.39552931214334,-3.7562667464373223,/contenido/actividades/Musica
12762609,Agustín Vega,Actividades en el Centro Cultural José Luis Sampedro,"Viaje musical por la historia y las emociones de tres géneros inmortales: el tango, el bolero y el jazz.  De la mano de Agustín Vega, cantante reconocido en España por su paso por Got Talent España en 2023 y finalista de La Voz Argentina en 2018, disfrutaremos de un recorrido que nos llevará desde la pasión del tango, a la ternura del bolero y a la libertad del jazz.    Un encuentro íntimo con la música que sigue emocionando generación tras generación.",1,,2025-10-10T00:00:00Z,2025-10-10T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6680dcc0cf976910VgnVCM2000001f4a900aRCRD,Centro Cultural José Luis Sampedro (Latina),CALLE,CASTROSERNA,4,Latina,Lucero,28047,436432,4472601,40.40159394334669,-3.749110841406562,/contenido/actividades/Musica
50011577,AH AH AH - Chamberí,AH AH AH,Más información disponible en la liga,1,,2025-10-05T00:00:00Z,2025-10-05T23:59:00Z,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e61730905b038910VgnVCM200000f921e388RCRD,Centro Cultural Galileo (Chamberí),CALLE,GALILEO,39,Chamberí,Arapiles,28015,439741,4476139,40.433719454283505,-3.7104468992841753,/contenido/actividades/DanzaBaile
50011576,AH AH AH - Retiro,AH AH AH,Más información disponible en la liga,1,,2025-10-04T00:00:00Z,2025-10-04T23:59:00Z,18:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=611730905b038910VgnVCM200000f921e388RCRD,Centro Cultural Casa de Vacas (Retiro),PASEO,COLOMBIA,1,Retiro,Jerónimos,28009,441967,4474495,40.41906571939961,-3.684053112760816,/contenido/actividades/DanzaBaile
50011575,AH AH AH - Vicálvaro,AH AH AH,Más información disponible en la liga,1,,2025-10-03T00:00:00Z,2025-10-03T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a0730905b038910VgnVCM200000f921e388RCRD,Centro Cultural Valdebernardo (Vicálvaro),BULEVAR,INDALECIO PRIETO,21,Vicálvaro,Valdebernardo,28032,447278,4472321,40.399832138328044,-3.6212720265227873,/contenido/actividades/DanzaBaile
50072157,Aires de Griega,,"Anna &amp;amp; Haroula, presenta 'Aires de Griega'.    Anna &amp;amp; Haroula es un proyecto musical nacido en Madrid en 2023 que reinterpreta canciones griegas del siglo XX con un enfoque íntimo y cercano.    Formado por Anna Tsilidi, Radojka Rapaic y el pianista Pedro Mariné, el grupo conecta la tradición helena con sensibilidades mediterráneas.    Su repertorio rinde homenaje a grandes compositores como Theodorakis y Hadsidakis.",1,,2025-10-10T00:00:00Z,2025-10-10T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e12f4afbf3a99910VgnVCM100000891ecb1aRCRD,Centro Sociocultural Rosario de Acuña (Latina),CALLE,MARIA DEL CARMEN,65,Latina,Puerta del Ángel,28011,437830,4473132,40.40647389284976,-3.7327010920242043,/contenido/actividades/Musica
50078717,Aires del Sur,Actividades en el Centro Cultural Hortaleza,"Dúo Franco Luciani y Raúl Chiocchio. A partir de 14 años. Este espectáculo propone un recorrido musical que toma como punto de partida el cancionero argentino y latinoamericano, donde las raíces tradicionales se entrelazan con el lenguaje del jazz y la world music. Con el virtuosismo de la armónica más la voz cantada y la guitarra, dos destacados solistas exploran juntos un repertorio que celebra la riqueza melódica y rítmica de estas músicas, reinterpretadas en clave contemporánea, respetando su esencia y buscando siempre nuevas posibilidades expresivas.",1,,2025-10-24T00:00:00Z,2025-10-24T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b21dd115e44a9910VgnVCM200000f921e388RCRD,Centro Cultural Hortaleza,CALLE,SANTA VIRGILIA,15,Hortaleza,Pinar del Rey,28033,445577,4480880,40.47682410775741,-3.6420497457238,/contenido/actividades/Musica
50071983,Aires del Sur,,"Franco Luciani, presenta, 'Aires del Sur acompañado por Raúl Chiocchio.  Dúo integrado por Franco Luciani por armónica y voz, y por Raúl Chiocchio a la guitarra que propone un recorrido musical tomando como punto de partida el cancionero argentino y latinoamericano, para desde allí abrirse a otros lenguajes y estéticas.",1,,2025-10-17T00:00:00Z,2025-10-17T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3dbe79d472a99910VgnVCM100000891ecb1aRCRD,Centro Sociocultural El Greco (Latina),CALLE,EL GRECO,29,Latina,Lucero,28011,436578,4473235,40.407316328180464,-3.747465416906973,/contenido/actividades/Musica
50078720,Al Aleph pasando por Macondo,Actividades en el Centro Cultural Hortaleza,"Compañía Nelson Calderón. A partir de 14 años. En voz de Nelson Calderón escucharemos otras voces, de otras personas que nos han dejado su legado de palabras. Y es que, como dicen los indios de Nuevo México, el narrador está embarazado de mucha gente. Borges, Arguedas, Márquez, Cortázar, Galeano...nos dejarán sus voces en una sesión en la que la literatura se unirá con la palabra para regalarnos un tándem mágico.",1,,2025-10-25T00:00:00Z,2025-10-25T23:59:00Z,19:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c54d115e44a9910VgnVCM200000f921e388RCRD,Centro Cultural Hortaleza,CALLE,SANTA VIRGILIA,15,Hortaleza,Pinar del Rey,28033,445577,4480880,40.47682410775741,-3.6420497457238,/contenido/actividades/TeatroPerformance
50072099,Al son de los palillos,Calle abierta en Puente de Vallecas,Palos Flamencos donde alternamos flamenco puro con temas de cálsico español. Un viaje de los sentidos por la rica cultura de nuestra tierra.,1,,2025-10-12T00:00:00Z,2025-10-12T23:59:00Z,19:30,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6af2540e43a99910VgnVCM100000891ecb1aRCRD,Parque de Amós Acero,CALLE,SIERRA MOLINA,1,Puente de Vallecas,San Diego,28053,443430,4471151,40.38903628994235,-3.6665321826830297,/contenido/actividades/ActividadesCalleArteUrbano
50065194,Alas para volar,Actividades en la Junta Municipal de Usera,"Compañía: Chamacas Cuenteras  Categoría: Infantil.  Lugar: Junta Municipal de Usera.  Edad recomendada: De 5 a 11 años.  Duración: 55 minutos.  Sinopsis: Esta historia es una puerta a través del tiempo, donde el Espíritu de La Casa Azul, nos abre sus puertas y nos sirve de guía a través de un viaje mágico lleno de colores, sabores y olores para conocer las experiencias, alegrías, sufrimientos y sueños de la artista Frida Kahlo, desde su infancia hasta sus últimos días.",1,,2025-10-25T00:00:00Z,2025-10-25T23:59:00Z,12:00,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a45aa7272f579910VgnVCM100000891ecb1aRCRD,Junta Municipal del Distrito de Usera,AVENIDA,RAFAELA YBARRA,41,Usera,Pradolongo,28026,439660,4470442,40.3823867401053,-3.710861696949648,/contenido/actividades/CuentacuentosTiteresMarionetas
