NOMBRE,DESCRIPCION,HORARIO,EQUIPAMIENTO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,ADDRESS,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO
Museo Africano Misioneros Combonianos,,"Visitas:   Individuales: domingos, visita guiada a las 11:30 horas. (No es necesario cita previa).  Grupos: de lunes a viernes de 9:30 a 13 horas. Es necesario cita previa, en el teléfono 91 415 24 12 o desde el formulario de contacto.",,Metro: Arturo Soria (L4),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD,ARTURO SORIA,CALLE: ARTURO SORIA. Número: 101,MADRID,MADRID,28043,6,SAN JUAN BAUTISTA,15,CIUDAD LINEAL,444755,4477849,4.044.946.738.556.640,-3.651.489.872.602.180,914 152 412,,,/contenido/entidadesYorganismos/Museos
Museo Arqueológico Nacional,"Fundado en 1867, el MAN se inauguró en 1895 en su actual sede, el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jareño y terminado por Antonio Ruiz de Salces.","De martes a sábado de 9:30 a 20 horas. Domingos y festivos de 9:30 a 15 horas.   Cerrado:   Todos los lunes del año. 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre.",El Museo ofrece a los visitantes las siguientes facilidades para hacer la visita:   Punto de información  Punto de encuentro  Guardarropa y Consigna  Cambiadores de bebé  Sala de lactancia  Sillas de bebé  Fuente de agua  Tablillas para escribir  Guía multimedia  Información,"Metro: Serrano (línea 4), Retiro (línea 2)  Cercanías Renfe: Recoletos (líneas C1, C2, C7, C8 y C10)","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD,SERRANO,CALLE: SERRANO. Número: 13,MADRID,MADRID,28001,1,RECOLETOS,4,SALAMANCA,441601,4474966,404.232.789.604.228,-36.884.121.235.090.500,915 777 912,,,/contenido/entidadesYorganismos/Museos
Museo Banksy Madrid,Nuevo espacio cultural en Madrid,De lunes a domingo de 10 a 20 horas (última entrada 19:15 horas). Jueves horario de cierre a las 21 horas.,Más datos en https://museobanksy.es/museo-banksy-madrid/informacion-practica-madrid/,Metro: Acacias (línea 5) / Embajadores (líneas 3 y 5),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4556e2a774089910VgnVCM100000891ecb1aRCRD,ESPERANZA,PASEO: ESPERANZA. Número: 1,MADRID,MADRID,28005,2,ACACIAS,2,ARGANZUELA,440075,4472808,4.040.373.631.152.960,-37.061.944.207.022.300,603 607 564,,info.madrid@museobanksy.es,/contenido/entidadesYorganismos/Museos
Museo Casa de la Moneda,,"De martes a viernes ininterrumpidamente de 10 a 20 horas. Sábados, domingos y festivos de 10 a 14 horas. Cerrado los lunes (incluidos festivos), y los días 1 y 6 de enero; 24, 25 y 31 de diciembre.",,"Metro: O&amp;acute;Donnell (línea 6), Goya (líneas 2 y 4).","1,4",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD,DOCTOR ESQUERDO,CALLE: DOCTOR ESQUERDO. Número: 36,MADRID,MADRID,28028,2,GOYA,4,SALAMANCA,443235,4474878,4.042.260.021.542.570,-3.669.139.860.245.990,915 666 544,915 666 809,museocasadelamoneda@fnmt.es,/contenido/entidadesYorganismos/Museos
Museo Cerralbo,"Un palacio del siglo XIX, un museo del siglo XX y una institución del siglo XXI  El Museo Cerralbo es un museo de titularidad estatal y gestión directa del Ministerio de Cultura.   Un palacio-museo en el que se muestran los espacios y las colecciones del XVII marqués de Cerralbo y su familia, que lo habitaron desde finales del siglo XIX a principios del siglo XX.  Recorriendo sus estancias podemos conocer cómo se vivía en una residencia aristocrática del cambio de siglo. Sus colecciones cuentan con una gran variedad de lámparas, espejos, armas, textiles, cuadros, objetos de porcelana, mobiliario, piezas arqueológicas, etc.  Contiene una Biblioteca con un fondo de unos 24.000 títulos, de los cuales cerca de 9.000 pertenecen al fondo antiguo, que adquirió don Enrique de Aguilera y Gamboa, XVII marqués de Cerralbo, a lo largo de su vida. Biblioteca visitable y consulta de acceso restringido.","El museo abre:    Martes, miércoles, jueves, viernes y sábados: de 9:30 a 15 horas*  Jueves por la tarde (excepto festivos): de 17 a 20 horas.*  Domingos y festivos: de 10 a 15 horas.*   *El acceso al museo finaliza 1 hora antes de su cierre.    El museo cierra:    Todos los lunes.  1 y 6 de enero.  1 de mayo.  24, 25 y 31 de diciembre.",,"Metro: Ventura Rodríguez (línea 3); Plaza de España (líneas 3 y 10), Noviciado (línea 2) y Príncipe Pío (líneas 6 y 10);   Cercanías Renfe: Príncipe Pío (líneas C1, C7 y C10)","2,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,VENTURA RODRIGUEZ,CALLE: VENTURA RODRIGUEZ. Número: 17,MADRID,MADRID,28008,2,ARGUELLES,9,MONCLOA-ARAVACA,439380,4475039,40.423.779.252.051.400,-37.145.996.063.573.700,Tel.: 915 473 646 / 647. Atención telefónica de lunes a viernes de 9 a 14 horas.,,museo.cerralbo@cultura.gob.es,/contenido/entidadesYorganismos/BibliotecasPatrimoniales
Museo EMT,"El Museo de la EMT se ha convertido en realidad tras una década de duro trabajo de recuperación, restauración y reparación del patrimonio histórico de la Empresa Municipal de Transportes de Madrid, especialmente, material móvil, mobiliario, piezas mecánicas, maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 años de historia.  Página web:  https://museo.emtmadrid.es/","Visitas (con cita previa)  Apertura estacional durante seis meses al año: todos los sábados de abril, mayo, junio, julio, septiembre y octubre), a las 10, a las 11:30 y a las 13 horas. Por ser un centro de trabajo únicamente pueden realizarse de forma organizada, previamente concertadas y limitadas a un máximo de 40 personas por turno. Duración: 60 minutos aproximadamente. Compra de entradas y reserva de horarios a través de la web: https://entradasmuseo.emtmadrid.es/?lang=es-ES.","Si tiene una discapacidad física o sensorial, contacta con el Museo antes de reservar la visita y le informarán de la accesibilidad a la instalación.","Metro: Begoña (línea 10). Bus: 66, 173, 174, 176, 191, 193, 194, 195, 196, 197, 712, 713, 714, 716, L171.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d56ad05b2a255510VgnVCM2000001f4a900aRCRD,MAURICIO LEGENDRE,CALLE: MAURICIO LEGENDRE. Número: 40,MADRID,MADRID,28046,6,CASTILLA,5,CHAMARTIN,442096,4481278,40.480.173.612.860.300,-36.831.595.451.893.200,914 068 810,,,/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales
Museo Félix Cañada,"Una selección de más de quinientas obras de arte de entre las cerca de mil de la donación original, constituyen la Colección Permanente que se puede visitar en las salas del Museo Félix Cañada de la Fundación Gómez Pardo, adscrita a la Escuela Técnica Superior de Ingenieros de Minas y Energía de la Universidad Politécnica de Madrid. Donada por el ingeniero de minas Doctor Félix Cañada Guerrero a la Fundación Gómez Pardo, reúne una amplia representación de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo XI hasta nuestros días.","Visitas: lunes, miércoles y viernes, de 10 a 13 horas. .",,Metro: Rios Rosas (línea 1).,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb22820a52799510VgnVCM1000001d4a900aRCRD,ALENZA,CALLE: ALENZA. Número: 1,MADRID,MADRID,28003,5,RIOS ROSAS,7,CHAMBERI,440568,4477117,4.044.258.652.423.880,-37.007.870.509.139.200,914 417 921,914 729 529,museo@fgomezpardo.es,/contenido/entidadesYorganismos/Museos
Museo Geominero,"Los objetivos del Museo Geominero son conservar, investigar y difundir la riqueza y diversidad del patrimonio geológico, paleontológico y mineralógico a través de las importantes colecciones de minerales, rocas y fósiles procedentes de todas las regiones españolas y de antiguos territorios coloniales, así como de yacimientos significados del registro mundial.","De lunes a domingo y festivos, de 9 a 14 horas. Cerrado los días 1 y 6 de enero, 24, 25 y 31 de diciembre.",,"Metro: Ríos Rosas (línea 1), Alonso Cano (línea 7), Cuatro Caminos (líneas 1, 2 y 6)",3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD,RIOS ROSAS,CALLE: RIOS ROSAS. Número: 23,MADRID,MADRID,28003,5,RIOS ROSAS,7,CHAMBERI,440663,4477057,40.442.053.385.603.600,-3.699.669.233.707.370,913 495 759,,m.geominero@igme.es,/contenido/entidadesYorganismos/Museos
Museo Histórico Minero Don Felipe de Borbón y Grecia,Ubicado en la Escuela Técnica Superior de Ingenieros de Minas de Madrid. Edificio Histórico (M-1). 1&amp;ordf; Planta,De Lunes a Viernes de 9:30 a 18 horas Primeros domingos de mes de 10 a 14 horas.,,Metro: Ríos Rosas (línea 1),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=822bef4d7f71c010VgnVCM1000000b205a0aRCRD,RIOS ROSAS,CALLE: RIOS ROSAS. Número: 21,MADRID,MADRID,28003,5,RIOS ROSAS,7,CHAMBERI,440603,4477062,4.044.209.227.424.250,-37.003.734.646.151.500,910 676 304,,sec.secretario.minasyenergia@upm.es,/contenido/entidadesYorganismos/Museos
Museo ICO,,"De martes a sábados: de 11 a 20 horas.   Domingos y festivos: de 10 a 14 horas.    Cerrado: Todos los lunes del año.  Horarios especiales: 24 y 31 de diciembre de 10 a 14 horas. 1 de enero, 1 de mayo y 25 de diciembre cerrado.",,Metro: Sevilla (línea 2),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD,ZORRILLA,CALLE: ZORRILLA. Número: 3,MADRID,MADRID,28014,3,CORTES,1,CENTRO,440806,4474249,4.041.676.546.905.430,-36.977.222.605.477.600,914 201 242,,museoico@ico.es,/contenido/entidadesYorganismos/Museos
Museo Los Caños del Peral. Estación de Metro Ópera,"A diez metros bajo la plaza de Isabel II, la estación de Metro Ópera (L2, L5 y Ramal Norte) alberga la recreación museística de la histórica fuente de los Caños del Peral. La visita nos permite conocer la fuente que recogía el agua de manantial junto al arroyo del Arenal durante la segunda mitad del sigloXVI, y que tenía en origen 34 metros de longitud; la galería de abastecimiento en bóveda de cañón y la alcantarilla de la zona; y el acueducto que, salvando al barranco del arroyo del Arenal, surtió de agua al Palacio Real desde el siglo XVII hasta prácticamente el siglo XX.  Más información.",Previa reserva en la página museosmetromadrid.es.  Viernes: de 16 a 20 horas. Sábados: de 10 a 14 horas y de 16 a 20 horas. Domingos: de 10 a 14 horas.,,"Metro: Ópera (líneas 2, 5 y Ramal).",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=435950262d50f210VgnVCM2000000c205a0aRCRD,ISABEL II,PLAZA: ISABEL II. Número: 1,MADRID,MADRID,28013,1,PALACIO,1,CENTRO,439834,4474367,4.041.776.291.784.370,-370.918.800.795.985,644 169 531,,info@museosmetromadrid.es,/contenido/entidadesYorganismos/Museos
Museo Lázaro Galdiano,"Cuenta con la  Biblioteca de la   Fundación Lázaro Galdiano, fundada en 1948, cuando se creó esta institución con el legado procedente de José Lázaro. Tiene cerca de 2.900 ejemplares de fondo antiguo (siglos XVI al XVIII), incluyendo 56 incunables y 877 manuscritos. Biblioteca visitable y consulta de acceso restringido.","Martes a domingo, de 9:30 a 15 horas. Lunes cerrado y los días y los días 6 de enero; 28 y 29 de marzo; 1, 2 y 15 de mayo; 25 de julio; 15 de agosto; 24, 25 y 31 de diciembre de 2024.",,"Metro: Gregorio Marañón (líneas 7 y 10), Ruben Darío (línea 5), Nuñez de Balboa (líneas 5 y 9)  Bus: 16, 19, 51, 9, 12, 61  Bicimad: Estaciones 140 (calle Velázquez, 130), 141 (paseo de la Castellana, 43)  Aparcamiento: Serrano I (62) calle Serrano entre Hermanos Becquer y Marqués de Villamejor",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD,SERRANO,CALLE: SERRANO. Número: 122,MADRID,MADRID,28006,6,CASTELLANA,4,SALAMANCA,441802,4476460,4.043.675.593.917.320,-36.861.820.403.705.800,,,info@museolazarogaldiano.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos
Museo Nacional Centro de Arte Reina Sofía (MNCARS),"Edificio Sabatini: calle Santa Isabel 52.  Edificio Nouvel (ampliación): ronda de Atocha, esquina a plaza del Emperador Carlos V.  Espacios en el parque del Retiro: Palacio de Velázquez y Palacio de Cristal.","Lunes y de miércoles a sábado, de 10 a 21 horas. Martes cerrado (incluso festivos). Domingos de 10 a 14:30 horas.  Días de cierre",,Metro: Estación del Arte (línea 1)  Cercanías Renfe: Atocha (todas las líneas),1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD,SANTA ISABEL,CALLE: SANTA ISABEL. Número: 52,MADRID,MADRID,28012,2,EMBAJADORES,1,CENTRO,441118,4473345,4.040.864.029.339.670,-36.939.504.103.293.200,917 741 000,,info@museoreinasofia.es,/contenido/entidadesYorganismos/Museos
Museo Nacional Thyssen-Bornemisza,"El palacio donde se ubica la colección fue el antiguo palacio del duque de Villahermosa. Edificación neoclásica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. Más tarde, pasó a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Colección Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo XIII, hasta finales del siglo XX.",Colecciones permanentes:  lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingo de 10 a 19 horas.   Exposiciones temporales: consultar horario específico en la web del museo.  Avisos y horarios especiales:  consultar en la web del museo   El desalojo de las salas tendrá lugar 5 minutos antes del cierre.,,Metro: Banco de España (línea 2).,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD,PRADO,PASEO: PRADO. Número: 8,MADRID,MADRID,28014,3,CORTES,1,CENTRO,441058,4474164,4.041.601.631.762.220,-3.694.738.346.891.250,917 911 370,,cavthyssen@museothyssen.org,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos
Museo Nacional de Antropología,"El Museo está instalado en el edificio de estilo clasicista construido por el Marqués de Cubas en 1875 por encargo del Doctor González Velasco, fundador de la institución.","De martes a sábado de 9:30 a 20 horas. Domingos: de 10 a 15 horas. Cerrado todos los lunes del año y los días 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y un festivo local. La taquilla se cerrará 15 minutos antes del cierre.",,"Metro: Estación del Arte (línea 1).  Cercanías Renfe:  Atocha (líneas C1, C2, C3, C4, C4a, C4b, C5, C7, C8, C10 y Regional)","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=456079262ef5d010VgnVCM1000000b205a0aRCRD,ALFONSO XII,CALLE: ALFONSO XII. Número: 68,MADRID,MADRID,28014,5,LOS JERONIMOS,3,RETIRO,441550,4473258,4.040.789.416.485.110,-3.688.857.928.950.190,915 306 418 / 915 395 995,914 677 098,antropologico@cultura.gob.es,/contenido/entidadesYorganismos/Museos
Museo Nacional de Artes Decorativas,"Inaugurado en 1912, su sede es un típico palacete madrileño del último tercio del siglo XIX. El museo posee muebles, cerámicas, vidrios, joyas, tejidos, arte oriental, y hasta 30 000 objetos distintos que a lo largo de la historia han servido para embellecer las casas, palacios y los monumentos de distintas culturas. El museo posee muestras como el Jarrón de Sevres regalo de Napoleón III, la Cocina Valenciana del siglo XVIII compuesta por más de 1500 azulejos de Manises, la Mesa de plata del siglo XVI o la colección de alfombras españolas de los siglos XV al XVII.","Martes a sábados de 9:30 a 15 horas. Domingo y festivos: de 10 a 15 horas. Jueves tarde de 17 a 20 horas (excepto  primer jueves no festivo de enero y meses julio y agosto).  Cerrado:  todos los lunes, 1 y 6 de enero, 1 y 15 de mayo, 9 de noviembre, 24, 25 y 31 de diciembre.    La venta de entradas finalizará 30 minutos antes del cierre.",,Metro: Banco de España (Línea 2),"2,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=287079262ef5d010VgnVCM1000000b205a0aRCRD,MONTALBAN,CALLE: MONTALBAN. Número: 12,MADRID,MADRID,28014,5,LOS JERONIMOS,3,RETIRO,441483,4474369,40.417.896.616.053.800,-3.689.754.509.701.670,915 326 499 / 915 326 845,915 232 086,mnad@cultura.gob.es,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos
Museo Nacional de Ciencias Naturales,,"De martes a viernes de 10 a 17 horas. Sábados, domingos y festivos de 10 a 20 horas. Cerrado los lunes (excepto los festivos). Cerrado el 1 y 6 de enero, el 1 de mayo y el 25 de diciembre. Los días 24 y 31 de diciembre el museo permanecerá abierto de 10 a 15 horas. Los perros educados son bienvenidos. Ver condiciones aquí.",,"Metro: Gregorio Marañón (líneas 7, 10)","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8edbef4d7f71c010VgnVCM1000000b205a0aRCRD,JOSE GUTIERREZ ABASCAL,CALLE: JOSE GUTIERREZ ABASCAL. Número: 2,MADRID,MADRID,28006,1,EL VISO,5,CHAMARTIN,441463,4476870,4.044.042.600.324.050,-3.690.212.174.964.130,,,,/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos
Museo Naval,,"De martes a domingo de 10 a 19 horas Durante el mes de agosto, horario reducido de 10 a 15 horas Cerrado todos los lunes y los días 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre El desalojo del museo se hará 15 minutos antes del cierre",,"Metro: Banco de España (línea 2)  Cercanías Renfe: Recoletos (líneas C-1, C-2, C-7, C-8 y C-10)",1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a30cef4d7f71c010VgnVCM1000000b205a0aRCRD,PRADO,PASEO: PRADO. Número: 3,MADRID,MADRID,28014,5,LOS JERONIMOS,3,RETIRO,441232,4474362,40.417.817.776.538.400,-36.927.096.854.547.700,915 238 516,,museonavalmadrid@fn.mde.es,/contenido/entidadesYorganismos/Museos
Museo Sorolla,,"De martes a sábado: de 9:30 a 20 horas. Domingos y festivos: de 10 a 15 horas. Cerrado: todos los lunes del año, 1 y 6 de enero, 1 de mayo, 9 noviembre, 24, 25 y 31 de diciembre.",,"Metro: Rubén Darío (línea 5), Gregorio Marañón (líneas 7 y 10), Iglesia (línea 1)",2,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6dd05e93aad9c110VgnVCM1000000b205a0aRCRD,GENERAL MARTINEZ CAMPOS,PASEO: GENERAL MARTINEZ CAMPOS. Número: 37,MADRID,MADRID,28010,4,ALMAGRO,7,CHAMBERI,441259,4476298,4.043.525.811.195.210,-369.257.053.914.393,913 101 584,,museo.sorolla@cultura.gob.es,/contenido/entidadesYorganismos/Museos
Museo Taurino de la Comunidad de Madrid,"Situado en el Patio de Caballos, ofrece a sus visitantes un atractivo recorrido por la historia del toreo, demostrando la relevancia de la Tauromaquia en la historia y la cultura de España. En este espacio se pueden contemplar grabados de Goya, vestidos, monteras y capotes de paseo de grandes toreros del siglo XX o un rincón dedicado a la figura de Manolete.","Todos los días del año de 10 a 19 horas, excepto el 25 de diciembre y el 1 de enero. Horario de noviembre a marzo de 10 a 18 horas ininterrumpidamente. Los días que se celebren festejos de cualquier tipo en el recinto, las visitas terminarán 2 horas antes del comienzo del espectáculo.??   Visitas en grupo: solicitar cita previa en el correo electrónico museotaurinolasventas@madrid.org",,Metro: Ventas (líneas 2 y 5),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=958cef4d7f71c010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE: ALCALA. Número: 237,MADRID,MADRID,28028,4,GUINDALERA,4,SALAMANCA,443775,4475871,40.431.581.087.036.600,-36.628.632.167.710.200,912 761 287,,museotaurinolasventas@madrid.org,/contenido/entidadesYorganismos/Museos
Museo Tiflológico,Edificio con una superficie de 1.500 m2 dividido en tres zonas con maquetas de monumentos nacionales e internacionales realizadas por invidentes e instrumentos utilizados por los invidentes desde hace 200 años. Es un espacio concebido para que sus visitantes puedan ver y tocar las piezas expuestas.,"Martes a viernes: de 10 a 15 h y de 16 a 19 horas. Sábados: de 10 a 14 horas. Lunes, domingos y festivos: cerrado.   Consultar cierres especiales en https://museo.once.es/",,Metro: Estrecho (línea 1),"1,5",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=baacef4d7f71c010VgnVCM1000000b205a0aRCRD,LA CORU&amp;Ntilde;A,CALLE: LA CORU&amp;Ntilde;A. Número: 18,MADRID,MADRID,28020,2,CUATRO CAMINOS,6,TETUAN,440632,4478523,4.045.525.267.846.030,-3.700.169.379.369.270,915 894 219,,museo@once.es,/contenido/entidadesYorganismos/Museos
Museo de Aeronáutica y Astronáutica,"El museo tiene por finalidad la adquisición, conservación y exposición de los bienes que constituyen el Patrimonio Histórico de la Aeronáutica Española. Dispone de una exposición exterior y siete hangares que albergan aeronaves, uniformes, condecoraciones, motores, maquetas y otros fondos relacionados con la aviación. Terminada la Guerra Civil y una vez creado el Ejército del Aire, se concibe la idea de crear un museo que reflejara la evolución e historia de nuestra aeronáutica. Desde 1975 el Museo está en Cuatro Vientos y se han sucedido varias ampliaciones que le convierten en un referente europeo de la aeronáutica.","De martes a domingo de 10 a 14 horas. Cerrado: 1 y 6 de enero, jueves y viernes Santos, 10 de diciembre (patrona de la aviación), 24, 25 y 31 de diciembre y días establecidos en el calendario anual.","Aparcamiento: gratuito, de 10 a 14 horas. Cafetería: de 10 a 13:30 horas. Punto de venta: de 10 a 13:30 horas.  Visitas guiadas para grupos: de martes a domingo de 10 a 14 horas. Previa petición de autorización por carta o correo electrónico ( museodelaire@ea.mde.es  ). Se recomienda anticipar las peticiones por teléfono de lunes a viernes.",Metro : cuatro vientos (L 10)   Renfe: cuatro vientos (C 5),3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=90aaef4d7f71c010VgnVCM1000000b205a0aRCRD,A-5,AUTOVIA: A-5. Número: 10.700,MADRID,MADRID,28024,6,CUATRO VIENTOS,10,LATINA,432238,4469498,4.037.362,-380.843,915 091 690,,museodelaire@ea.mde.es,/contenido/entidadesYorganismos/Museos
Museo de América,,"De martes a sábado, de 9:30 a 15 horas. Jueves, apertura continuada de 9:30 a 19 horas. Domingos y festivos de 10 a 15 horas.   Cerrado todos los lunes del año, 1 de enero, 1 de mayo, 24, 25 y 31 de diciembre, 6 de enero y un festivo local.",,"Metro: Moncloa (líneas 3 y 6), Islas Filipinas (línea 7).  Autobús: 1, 62, 44, 82, 132, 138.","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c929ef4d7f71c010VgnVCM1000000b205a0aRCRD,REYES CATOLICOS,AVENIDA: REYES CATOLICOS. Número: 6,MADRID,MADRID,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,438777,4476615,4.043.793.725.485.890,-37.218.544.182.655.700,915 492 641 / 915 439 437,,museo.america@cultura.gob.es,/contenido/entidadesYorganismos/Museos
Museo de Arte Contemporáneo de Madrid,"Al igual que otros museos de arte contemporáneo, nacionales o extranjeros, se ha utilizado un edificio histórico para albergar las colecciones: el Cuartel del Conde Duque. El Museo de Arte Contemporáneo recupera para los madrileños el despacho del escritor vanguardista Ramón Gómez de la Serna, como parte de su colección permanente.","De martes a viernes: de 10 a 14 horas y de 15 a 21 horas. Sábados: de 10 a 14 horas y de 17:30 a 21 horas. Domingos y festivos: de 10:30 a 14:30 horas.  Horario durante la semana de San Isidro (12 a 16 de mayo, 2025) y de verano (del 15 de junio al 15 de septiembre, ambos inclusive):  De martes a viernes: de 10 a 14 horas y de 15 a 20 horas. Sábados: de 10 a 14 horas y de 17:30 a 20 horas. Domingos y festivos: de 10:30 a 13:30 horas. *15 de mayo, festivo.  Cerrado: todos lunes y los días 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre. Las salas se desalojan 15 minutos antes del cierre.",Zona wifi.,"Metro: Ventura Rodríguez, Plaza de España, San Bernardo, Noviciado.","1,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=84a55c2cdc41c010VgnVCM2000000c205a0aRCRD,CONDE DUQUE,CALLE: CONDE DUQUE. Número: 9,MADRID,MADRID,28015,5,UNIVERSIDAD,1,CENTRO,439723,4475438,4.042.739.911.262.290,-3.710.589.286.287.490,Teléfono de sala: 914 801 766,,mmacmdifusion@madrid.es,/contenido/entidadesYorganismos/Museos
Museo de Astronomía y Geodesia,"El museo de Astronomía y Geodesia de la Universidad Complutense de Madrid agrupa una importante colección de instrumentos de Astronomía, Geodesia y Topografía, reunidos con el afán didáctico de dar a conocer la evolución de los métodos utilizados en estas disciplinas durante los últimos 150 años.",Visita con cita previa.,,Metro: Ciudad Universitaria (línea 6).,3,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee49ef4d7f71c010VgnVCM1000000b205a0aRCRD,CIENCIAS,PLAZA: CIENCIAS. Número: 3,MADRID,MADRID,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,438442,4477897,4.044.945.850.908.750,-37.259.383.636.708.400,91 394 4588,,fuensant@ucm.es.,/contenido/entidadesYorganismos/Museos
