File,ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,Dirección,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,TIPO,AUDIENCIA
206974-0-agenda-eventos-culturales-100.csv,12536930,Acompañamiento digital a personas mayores,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2026-01-14T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,Acompañamiento digital a personas mayores,,,,,,,,,
206974-0-agenda-eventos-culturales-100.csv,12622331,Acompañar en la pérdida,,0,1,M,23/9/2025;30/9/2025;7/10/2025;21/10/2025;28/10/2025;4/11/2025;18/11/2025;25/11/2025;2/12/2025;9/12/2025;23/12/2025;30/12/2025;,2025-09-16T00:00:00Z,2025-12-16T23:59:00Z,17:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),"1,5,6",AVENIDA MONFORTE DE LEMOS 38,FUENCARRAL-EL PARDO,EL PILAR,28029,/contenido/actividades/CursosTalleres,
206974-0-agenda-eventos-culturales-100.csv,50043776,Actividad física a partir de los 60,,1,0,,,2025-10-22T00:00:00Z,2025-10-22T23:59:00Z,19:00,"Daniel Mardomingo  Duración: 60 minutos  Edad recomendada: A partir de 18 años  Sinopsis: El trabajo de fuerza combinado con una adecuada alimentación es crucial para mantener la salud y la calidad de vida en las personas mayores de 60 años. Daniel Mardomingo, entrenaodor personal com una amplia experiencia, aboradá cómo el entrenamiento de fuerza, junto con una dieta rica en proteínas, es fundamental para un envejecimiento saludable y activo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19265cc8a0829910VgnVCM200000f921e388RCRD,Actividades en el Centro Cultural Zazuar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Zazuar (Villa de Vallecas),"1,6",CALLE ZAZUAR 4,VILLA DE VALLECAS,SANTA EUGENIA,28031,/contenido/actividades/ConferenciasColoquios,
206974-0-agenda-eventos-culturales-100.csv,50072125,Actividades deportivas Fiestas del Pilar 2025,,0,0,,,2025-10-11T00:00:00Z,2025-10-11T23:59:00Z,09:00,"PARQUE EVA DUARTE ESCENARIO FUENTE  10:00 a 10:45 MasterClass Aerobic10:45 a 11:30 MasterClass Yoga11:45 a 12:30 Despierta Mayor17:00 a 18:30 Bailes Deportivos (Zumba, Body Combat.?)  PARQUE EVA DUARTE CARPA DE AJEDREZ  17:30 a 18:30 Simultaneas de Ajedrez  IDB PARQUE BREOGAN  10:00 a 19:00 Torneo Fútbol 7 (Prebenjamín y Benjamín)10:00 a 19:00 Torneo Padel Senior Mixto  CDM GIMNASIO MOSCARDO  09:00 a 19:00 Torneo Tenis Adultos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=288810ebf3a99910VgnVCM200000f921e388RCRD,Actividades deportivas Fiestas del Pilar 2025 en Salamanca,,,,,,,,/contenido/actividades/ActividadesDeportivas,
206974-0-agenda-eventos-culturales-100.csv,50072093,Actividades deportivas Fiestas del Pilar 2025,,0,0,,,2025-10-04T00:00:00Z,2025-10-04T23:59:00Z,09:00,"IDB TORRESPAÑA  10:00 a 19:00 Torneo Fútbol 7 (Prebenjamín y Benjamín Mixto)  IDB EVA DUARTE  09:00 a 15:00 Torneo Fútbol Sala (Prebenjamín, Benjamín, Alevín Femenino y Mixto, Infantil Femenino y Masculino)  CDM GIMNASIO MOSCARDO  09:00 a 19:00 Torneo Tenis Adultos 10:00 a 18:00 Torneo Baloncesto (Alevín Mixto y Senior Femenino)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f192a39d13a99910VgnVCM200000f921e388RCRD,,,,,,,,,/contenido/actividades/ActividadesDeportivas,
206974-0-agenda-eventos-culturales-100.csv,50072098,Actividades deportivas Fiestas del Pilar 2025,,0,0,,,2025-10-05T00:00:00Z,2025-10-05T23:59:00Z,09:00,"IDB EVA DUARTE  09:00 a 15:00 Torneo Fútbol Sala (Prebenjamín, Benjamín, Alevín Femenino y Mixto, Infantil Femenino y Masculino)  CDM GIMNASIO MOSCARDO  09:00 a 19:00 Torneo Tenis Adultos 10:00 a 18:00 Torneo Baloncesto (Alevín mixto y Senior Femenino)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbb3a39d13a99910VgnVCM200000f921e388RCRD,,,,,,,,,/contenido/actividades/ActividadesDeportivas,
206974-0-agenda-eventos-culturales-100.csv,50072131,Actividades deportivas Fiestas del Pilar 2025,,0,0,,,2025-10-12T00:00:00Z,2025-10-12T23:59:00Z,09:30,"IDB PARQUE BREOGAN  09:30 a 12:30 Finales Torneo Fútbol 7 (Prebenjamín y Benjamín Mixto)09:30 a 12:30 Final Torneo Padel Senior Mixto  IDB TORRESPAÑA  09:30 a 12:30 Finales Toreno Fútbol 7 (Alevín Mixto e Infantil-Femenino)09:30-12:30 Duatlón Adultos (pedalea, corre o camina)  IDB EVA DUARTE  09:30 a 12:30 Torneo Fútbol Sala (Prebenjamín, Benjamín, Alevín Femenino y Mixto, Infantil Femenino y Masculino)  CDM GIMNASIO MOSCARDO  09:30 a 12:30 Finales Torneo Baloncesto  (Alevín mixto y Senior Femenino)09:30 a 12:30 Final Torneo Tenis Adultos  PARQUE EVA DUARTE CARPA DE AJEDREZ  10:00 a 13:00 Torneo de Ajedrez Adultos y Sub-16(Inscripción GRATUITA en la dirección de correo: inscripciones.ajedrez.caldeiro@gmail.com   PARQUE EVA DUARTE ESCENARIO PRINCIPAL  13:30 a 14:00 Entrega de trofeos",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae5b10ebf3a99910VgnVCM200000f921e388RCRD,Actividades deportivas Fiestas del Pilar 2025 en Salamanca,,,,,,,,/contenido/actividades/ActividadesDeportivas,
206974-0-agenda-eventos-culturales-100.csv,12306355,Actividades en el centro juvenil 'Carabanchel Alto'. Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c98efeefeb4fd810VgnVCM1000001d4a900aRCRD,Actividades en el centro juvenil 'Carabanchel Alto'. Julio 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD,Centro Juvenil Carabanchel Alto,1,CALLE ALFONSO FERNANDEZ 23,CARABANCHEL,BUENAVISTA,28044,/contenido/actividades/ProgramacionDestacadaAgendaCultura,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12309131,Actividades en el centro juvenil 'Chamberí'.  Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=296728f1aa80e810VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'Chamberí'. Octubre 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7054251933357310VgnVCM2000000c205a0aRCRD,Centro Juvenil Chamberí,1,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 2,CHAMBERI,RIOS ROSAS,28003,/contenido/actividades/CursosTalleres/Arte,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12309144,Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=185816ca7290e810VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Octubre 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=84869475d381c010VgnVCM1000000b205a0aRCRD,Centro Juvenil El Aleph (Villa de Vallecas),1,CALLE ZAZUAR 1,VILLA DE VALLECAS,SANTA EUGENIA,28031,,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12309171,Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e90a16ca7290e810VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Julio 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd738d60b41c010VgnVCM2000000c205a0aRCRD,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),1,CALLE REAL DE ARGANDA 39,VILLA DE VALLECAS,SANTA EUGENIA,28031,/contenido/actividades/ProgramacionDestacadaAgendaCultura,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12309514,Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c5d416ca7290e810VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Julio 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),0,CALLE HONTALBILLA 10,FUENCARRAL-EL PARDO,VALVERDE,28034,,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12546355,Actividades en el centro juvenil 'Ouka Leele'. Octubre 2025.,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD,Actividades en el centro juvenil 'Ouka Leele'. Julio 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9721133100fbf810VgnVCM1000001d4a900aRCRD,"Centro Intergeneracional Ouka Leele.
Centro Juvenil-planta 2",1,CALLE BRONCE 16,ARGANZUELA,LEGAZPI,28045,/contenido/actividades/DanzaBaile/FolcloreEtnica,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12309582,Actividades en el centro juvenil 'Tetuán Punto Joven'. Octubre 2025,,1,1,"L,M,X,J,V,S,D",,2025-10-01T00:00:00Z,2025-10-31T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=00dbfc1fe590e810VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'Tetuán Punto Joven'. Octubre 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2f9e41aee5a2a110VgnVCM1000000b205a0aRCRD,Centro Juvenil Tetuán Punto Joven,0,CALLE DULCINEA 4,TETUAN,CUATRO CAMINOS,28020,,/usuario/Jovenes
206974-0-agenda-eventos-culturales-100.csv,12130154,Actividades mensuales de los centros de mayores del distrito Centro,,0,1,"L,M,X,J,V",6/10/2025;10/10/2025;17/10/2025;20/10/2025;31/10/2025;,2025-10-01T00:00:00Z,2032-04-30T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8d69bd86cd1b810VgnVCM2000001f4a900aRCRD,Actividades mensuales de los centros de mayores del distrito Centro,,,,,,,,,/usuario/Mayores
206974-0-agenda-eventos-culturales-100.csv,12130170,Actividades mensuales de los centros de mayores del distrito Fuencarral - El Pardo,,0,1,"L,M,X,J,V,S",3/10/2025;29/9/2025;10/10/2025;,2025-09-29T00:00:00Z,2025-11-01T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d8379bd86cd1b810VgnVCM2000001f4a900aRCRD,Actividades mensuales de los centros de mayores del distrito Fuencarral - El Pardo,,,,,,,,,/usuario/Mayores
206974-0-agenda-eventos-culturales-100.csv,12263426,Actividades mensuales de los centros de mayores del distrito Vicálvaro,,0,1,"L,M,X,J,V,D",14/4/2025;15/4/2025;29/4/2025;21/4/2025;22/4/2025;28/4/2025;,2024-01-23T00:00:00Z,2031-04-26T23:59:00Z,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1454a9913813d810VgnVCM1000001d4a900aRCRD,Actividades mensuales de los centros de mayores del distrito Vicálvaro,,,,,,,,,/usuario/Mayores
206974-0-agenda-eventos-culturales-100.csv,50064749,Acto por el 600 aniversario por la llegada del pueblo gitano a España,,1,0,,,2025-10-22T00:00:00Z,2025-10-22T23:59:00Z,18:00,"Compañía Rafe de Usera con el cuarteto Versátil. Para todos los públicos.  Duración: 60 minutos.  Sinopsis: Actuación conmemorativa por el 600 aniversario por la llegada del pueblo gitano a España. Rafael Montañés Carmona ha creado un estilo propio de hacer flamenco. Proviene de una de las familias más históricas del flamenco 'Los Rubios', familia asentada en Orcasitas. Empezó desde muy niño cantando. Ha creado su propio grupo acompañado de un cuarteto Versátil mezclando músicas actuales con cante antiguo gitano.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4c750c931279910VgnVCM100000891ecb1aRCRD,Actividades en el Centro Cultural Orcasur,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b9a1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Orcasur (Usera),1,PLAZA PUEBLO 2,USERA,ORCASUR,28041,/contenido/actividades/Musica,
206974-0-agenda-eventos-culturales-100.csv,50060688,Actuación Musical: `Tributo a Los Grandes de la Copla´,,1,0,,,2025-10-24T00:00:00Z,2025-10-24T23:59:00Z,19:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e5d4b2f877c59910VgnVCM200000f921e388RCRD,Actuación Musical: `Tributo a Los Grandes de la Copla´,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f56402882e68e410VgnVCM2000000c205a0aRCRD,Plaza de Los Pinazo,1,PLAZA PINAZO 1,VILLAVERDE,SAN CRISTOBAL,28021,/contenido/actividades/Musica/Flamenco,
206974-0-agenda-eventos-culturales-100.csv,50011577,AH AH AH - Chamberí,,1,0,,,2025-10-05T00:00:00Z,2025-10-05T23:59:00Z,12:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e61730905b038910VgnVCM200000f921e388RCRD,AH AH AH,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30181e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Galileo (Chamberí),1,CALLE GALILEO 39,CHAMBERI,ARAPILES,28015,/contenido/actividades/DanzaBaile,"/usuario/Niños,/usuario/Familias"
