test-ins - Madrid Innova;;;;;;;;;
Evento;Espacio;Tipo;Fecha;Hora Inicio;Hora Fin;Ponente;Dirigido a;inscritos;Descripción
Taller GoMAD | Go Talk: Más allá de los Linters: aplicando estándares con Go en GitHub Actions;Puerta innovación;Taller;11-06-2025;19:00;20:50;Gerson;Desarrolladores;0;
Aspectos legales para emprender en el sector de la alimentación;Puerta innovación;Taller;11-06-2025;10:00;13:30;Acción contra el Hambre;Emprendedores;0;
CreateWith_ Maker Meetup;iLAB;Conferencia;02-06-2025;18:00;20:30;Sonia_Toqqe;Profesionales;0;
Aprende programación por entrenamiento con HaskellKatas;iLAB;Conferencia;30-05-2025;18:30;20:30;Universidad Alcala;Empresas;0;
La Familia, comunidad de Solana y 7º Aniversario de BingX;iLAB;Conferencia;29-05-2025;16:00;20:30;BeersStorming;Empresas;0;
FormaDOOR | Autoconocimiento para emprender con claridad y sostenibilidad;Puerta innovación;Formación;29-05-2025;18:30;19:30;Ester Ballarín Remiro;Emprendedores;7;
DevSecCon España | Evolucionar un esquema de BD & Whonix installation on QEMU/KVM;Puerta innovación;Taller;29-05-2025;18:30;20:30;Sinclert Pérez y Pablo Gómez-Caldito;Desarrolladores;0;
From Tick Architecture to Insights Enterprise.;iLAB;Conferencia;28-05-2025;18:30;19:30;Habla Computing;Desarrolladores;0;
WorkDOOR: Martes de Design Thinking;Puerta innovación;Taller;27-05-2025;18:30;20:50;Saúl Loriente;Profesionales;0;
AImpacto | ¿Puede la IA cuidar? Repensando la tecnología para la humanidad;Puerta innovación;Conferencia;27-05-2025;16:30;17:30;Luis Ángel Galindo y Luis Gómez-Ojero Martínez;Profesionales;0;
AI Beyond the Hype | Banking Edition: Aplicaciones prácticas;Puerta innovación;Conferencia;26-05-2025;19:00;20:45;Murilo Magalhães, Lucas Neves, Gonzalo Yllera;Profesionales;0;
FormaDOOR | Contratación pública: Qué es una licitación y claves para participar;Puerta innovación;Formación;21-05-2025;18:30;20:00;Ignacio Garbizu;Emprendedores;8;
NSCoder Night Madrid | Accesibilidad en todas partes: show me the code!;Puerta innovación;Taller;21-05-2025;19:00;20:30;Carlos García González;Desarrolladores;0;
Better Scala Builds with the Mill Build Tool;iLAB;Conferencia;20-05-2025;18:30;19:30;Habla Computing;Desarrolladores;0;
Jornada online sobre certificación de startups y líneas de financiación ENISA;iLAB;Conferencia;20-05-2025;10:00;11:00;ENISA;Startups;28;
OBCD: El Futuro del Emprendimiento Social.;iLAB;Conferencia;20-05-2025;10:00;15:00;Impulsa Igualdad;Empresas;0;
World Circular Economy Forum 2025 Studio Madrid;Puerta innovación;Conferencia;20-05-2025;11:30;20:30;Varios ponentes;Profesionales;0;
Ladies That UX Madrid: De agencia a freelance sin filtros;iLAB;Conferencia;19-05-2025;18:30;20:30;Ladies That UX Madrid;Emprendedores;0;
Estrategia de marketing y aumento de ventas para emprender en el sector de la alimentación;Puerta innovación;Taller;14-05-2025;10:00;13:30;Acción contra el Hambre;Otros;0;
Software Crafters Madrid | La inestabilidad de nuestros tests nos impide desplegar;Puerta innovación;Taller;13-05-2025;18:30;20:00;Sofía Lescano Carroll;Desarrolladores;0;
Power skills: El verdadero motor del éxito en los proyectos;iLAB;Conferencia;09-05-2025;09:30;12:00;Evergreen;Empresas;0;
Meetup WordPress: Lanza tu producto con IA en WordPress;Puerta innovación;Taller;08-05-2025;18:30;20:30;Ana Cirujano y Amadeu Arderiu;Profesionales;0;
VII Lenguajes, VII Perspectivas, I Problema;iLAB;Conferencia;07-05-2025;19:00;20:30;Habla Computing;Desarrolladores;0;
Taller GoMAD | Go Talk: Ojos que ven - Vision Artificial con WebAssembly, Go y TinyGo;Puerta innovación;Taller;07-05-2025;19:00;20:50;Ron Evans;Desarrolladores;0;
Tokenización, emprendimiento crypto y Web3: la industria del valor digital;iLAB;Entrega de premios;25-04-2025;18:00;20:00;Miguel Caballero;Desarrolladores;0;
Doble Meetup Spark Madrid Abril - Feature Store / Window functions;iLAB;Conferencia;24-04-2025;18:30;19:30;Habla Computing;Desarrolladores;0;
Charla informativa: Tu proyecto de Blockchain;iLAB;Taller;23-04-2025;17:30;19:00;Wavext;Desarrolladores;0;
FormaDOOR | Smart Networking: Por qué fallamos cuando vendemos y que hacer para resolverlo;Puerta innovación;Formación;23-04-2025;18:00;20:30;Luis Guillermo Velandia;Profesionales;14;
NSCoder Night Madrid | Accesibilidad en todas partes;Puerta innovación;Taller;23-04-2025;19:00;20:30;Carlos García González;Desarrolladores;0;
WEBINAR UNIR - Startups desde cero: valida, lanza y escala;iLAB;Conferencia;22-04-2025;17:00;18:00;UNIR;Emprendedores;0;
"Automatizaciones con IA. Un meetup con mucho ""flow""";iLAB;Taller;22-04-2025;18:00;20:30;Beerstorming;Emprendedores;0;
Puertas abiertas a la innovación | Emprende en España e internacionaliza tu proyecto tecnológico;Puerta innovación;Conferencia;22-04-2025;18:30;20:30;Elisa Valtueña, Joaquín Cervera, José Antonio Jiménez;Emprendedores;21;
Meetup WordPress: 10 aspectos que transforman un hosting en la elección ideal;Puerta innovación;Taller;10-04-2025;18:30;20:30;Josep Morán;Profesionales;0;
(RE)Thinking Education;Puerta innovación;Conferencia;10-04-2025;09:30;11:15;Kaatch y Graddus;Profesionales;0;
Jornada online NEOTEC y otras ayudas CDTI para startups;Puerta innovación;Conferencia;09-04-2025;09:00;10:45;Luis Maeso;Emprendedores;95;
Creación de marca gastronómica para emprender en el sector de la alimentación;Puerta innovación;Taller;09-04-2025;10:00;13:30;Acción contra el Hambre;Otros;0;
FormaDOOR | Claves para colaborar con grandes corporaciones siendo startup;Puerta innovación;Formación;08-04-2025;18:30;20:30;Daniel Medina;Emprendedores;9;
Descentralizando el Futuro: Retos y Oportunidades de las Finanzas Descentralizadas (DeFi) y las DAOs;iLAB;Conferencia;04-04-2025;18:30;20:30;Clara García Prieto;Profesionales;0;
La Prueba en la Era Digital: Reto y Oportunidad;iLAB;Conferencia;03-04-2025;09:45;12:00;AUTELSI, Asociación Española de Usuarios de Telecomunicaciones y de la Sociedad de la Información;Profesionales;0;
Software Crafters Madrid | Kubernetes y PAAP II: Versión Técnica;Puerta innovación;Taller;03-04-2025;18:30;20:00;Pablo González Mieres y Javier Baltar Barrio;Desarrolladores;0;
Taller GoMAD | Go Talk: State of Go: version 1.24, Protobuf's Opaque API, and fun with iterator;Puerta innovación;Taller;02-04-2025;19:00;20:50;Antonio Pitasi;Desarrolladores;0;
WorkDOOR | Cambiando el mundo profesional en Madrid;Puerta innovación;Taller;01-04-2025;18:30;20:15;Gabriel Domínguez y Asier Criado;Profesionales;23;
Demo Day de la Universidad Nebrija;iLAB;Presentación de producto;28-03-2025;17:00;20:00;Universidad Nebrija y Elevatorfy;Inversores;0;
The 30;iLAB;Conferencia;24-03-2025;17:30;20:30;IE University;Empresas;0;
Conversando y compartiendo perspectivas innovadoras y humanas para la transformación de las organizaciones;iLAB;Conferencia;21-03-2025;09:00;15:30;ODN Europe / TRUE ENERGY SL;Grandes Empresas;0;
Oportunidades del mundo freelance con Inteligencia Artificial;iLAB;Conferencia;20-03-2025;17:30;20:30;My Tech Plan;Emprendedores;0;
FormaDOOR | Connect & Reflect: Meaningful Networking;Puerta innovación;Formación;20-03-2025;18:30;20:30;Kim Siew;Profesionales;22;
NSCoder Night Madrid | Debugging techniques for SwiftUI;Puerta innovación;Taller;19-03-2025;19:00;20:30;Alberto Guerrero;Desarrolladores;0;
WorkDOOR: Martes de Design Thinking;Puerta innovación;Taller;18-03-2025;18:30;20:50;Saúl Loriente;Profesionales;0;
Desbloquea ayudas para tu negocio: lo que nadie te ha contado...;iLAB;Conferencia;17-03-2025;18:00;20:30;BeersStorming;Startups;0;
AIL Train – Tecnologías para la transformación digital;Aravaca Innovation Lab;Taller;13-03-2025;12:30;14:00;Manuel Carmona;Emprendedores;5;La transformación digital de las pequeñas y medianas empresas es una necesidad que abre numerosas oportunidades tanto en generación de clientes como en la gestión de su relación con ellos, así como para hacer más eficientes los procesos internos de gestión de la empresa. En esta sesión, aprenderás qué herramientas permiten que implementes la transformación digital en todas las a?reas de tu empresa y los riesgos de quedarse al margen. Tambie?n podra?s detectar las a?reas prioritarias de mejora y definir los pasos inmediatos a dar para implementar procesos basados en herramientas digitales. Puedes inscribirte a través del formulario que se encuentra en esta misma página o a través de este enlace.
Hackathons 101: How to Find Your Dream Team & Build Tech ;iLAB;Taller;13-03-2025;19:00;20:30;Olesia Bob;Desarrolladores;0;
Meetup WordPress: Creación de contenidos audiovisuales con Inteligencia Artificial (IA);Puerta innovación;Taller;13-03-2025;18:30;20:30;Javier Salinas;Profesionales;0;
PyLadies Madrid - Conmemorando el día internacional de la mujer;iLAB;Conferencia;12-03-2025;18:00;20:30;PyLadies Madrid;Empresas;0;
AI Beyond the Hype: Aplicaciones prácticas para el éxito empresarial;Puerta innovación;Conferencia;12-03-2025;18:30;21:00;Murilo Magalhães, Lucas Neves, César Rodriguez;Profesionales;0;
Inteligencia Artificial para Startups;iLAB;Taller;11-03-2025;16:00;18:00;EAE Business School Madrid;Startups;0;
FormaDOOR | Potencia tu impacto en los negocios desde tu esencia femenina;Puerta innovación;Formación;11-03-2025;18:30;20:30;Antonia Regalado;Emprendedores;7;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;07-03-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
#DATADRIVENLOGISTICS: Digitalización y Optimización de las Operaciones de Distribución de Mercancías;iLAB;Conferencia;06-03-2025;09:00;14:00;CITET;Grandes Empresas;0;
Taller GoMAD | Go Talk: Go Devroom en el FOSDEM 2025;Puerta innovación;Taller;05-03-2025;19:00;20:50;Juan Céspedes y José Antonio Montes;Desarrolladores;0;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;28-02-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
Smart Networking;iLAB;Taller;27-02-2025;18:00;20:30;Madrid International Lab;Empresas;0;
FormaDOOR | Aspectos legales más importantes en una ronda de financiación para startups y scaleups;Puerta innovación;Formación;27-02-2025;18:30;20:30;Julio Lluch;Emprendedores;5;
DevSecCon Spain | Fetch the flag by Snyk;Puerta innovación;Taller;27-02-2025;18:00;20:30;DevSecCon;Desarrolladores;0;
Emprender en España: Manual de Supervivencia Tecnológica;iLAB;Formación;26-02-2025;18:00;20:30;Madrid International Lab;Emprendedores;0;
Madrid, Fintech & Banking Unconference 2025;iLAB;Conferencia;26-02-2025;09:00;14:00;Finnovating Lab Group SL;Inversores;0;
PRE DEMO EAE Business School;iLAB;Formación;25-02-2025;17:00;20:30;Madrid International Lab;Startups;0;
MadRust | Rust desde cero: Cargo y tipos;Puerta innovación;Taller;25-02-2025;18:00;20:30;David Carrasco Cano;Desarrolladores;0;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;21-02-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
CryptoDays: Casos de Uso con Algorand;iLAB;Conferencia;21-02-2025;18:00;20:30;Madrid International Lab;Desarrolladores;0;
El arte de la conexión: cómo hablar el idioma del cliente digital;Aravaca Innovation Lab;Taller;20-02-2025;16:00;18:00;Antonio Fermín García-Arévalo;Empresas;1;El cliente tal y como lo conocemos… ha cambiado. Con las nuevas tecnologías en auge, la forma de comprar ha evolucionado, se ha digitalizado. Por eso, en esta formación conoceremos las características del nuevo cliente digital y en qué se diferencia con el cliente tradicional. Abordaremos la cultura de empresa Customer Centric y profundizaremos en el diseño de una buena User Experience, la cual determina el nivel de satisfacción del cliente digital.
Software Crafters Madrid | Aplicaciones marca blanca sostenibles usando Expo;Puerta innovación;Taller;19-02-2025;18:30;20:30;Eduardo Sánchez;Desarrolladores;0;
NSCoder Night Madrid | It scrolls like butter… High performant lists on iOS;Puerta innovación;Taller;19-02-2025;19:00;20:30;Rafael Bartlomé;Desarrolladores;0;
APL Materials: Impulsando la confianza en el software con verificación formal;iLAB;Conferencia;18-02-2025;18:30;20:30;HABLA COMPUTING;Desarrolladores;0;
Nuevos servicios a startups del International Lab;iLAB;Presentación de producto;18-02-2025;10:00;12:00;Madrid International Lab;Startups;35;
Meetup WordPress: Ahorra tiempo creando informes. Unifica, automatiza y gana.;Puerta innovación;Taller;18-02-2025;18:30;20:30;Alex Serrano;Profesionales;0;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;14-02-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
AEMME y AlfaF Revolucionan el emprendimiento impulsando el modelo de franquicias;iLAB;Conferencia;13-02-2025;10:00;12:00;AEMME y AlfaF;Empresas;0;
FormaDOOR | Construyendo una tribu: Claves para transformar la cultura empresarial;Puerta innovación;Formación;13-02-2025;18:30;20:30;Humam Mustafa, fundador de Possibility;Emprendedores;4;
WorkDOOR: Crea tu página web de forma fácil con IA, WordPress y Elementor;Puerta innovación;Taller;12-02-2025;17:30;20:30;Ángel Zinsel y Maylén García;Emprendedores;1;
Mujeres que transforman la ciencia y tecnología;iLAB;Conferencia;11-02-2025;18:00;19:30;Actúa UPM;Mujeres;0;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;07-02-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
AIL Train – Aplicación de Inteligencia Artificial en el ámbito laboral;Aravaca Innovation Lab;Taller;06-02-2025;12:30;14:00;Carlota Castro;Empresas;10;En este taller interactivo, impartido por Carlota Castro, consultora tecnológica, se explorarán las aplicaciones de la inteligencia artificial (IA) en el ámbito laboral. Se abordarán temas como la automatización de tareas y su impacto en la productividad y la eficiencia empresarial. También se explicará el marco ético y regulatorio de la IA, junto con casos prácticos sobre el uso de herramientas como ChatGPT para la redacción y gestión de proyectos y otras IA experimentales como Sharly AI, Gamma, etc. Este taller está dirigido a empresas interesadas en integrar la IA de manera estratégica y sostenible en sus operaciones diarias.
Innova Table Talk | Lo que no te contaron en la escuela de negocios;Puerta innovación;Conferencia;06-02-2025;18:30;20:30;Pedro Alonso Gil, José Luis Cortina, Francisco Javier Ibarrola, María Villaseño y Emma Bernardo;Profesionales;5;
Meet Up Web 3 Connect;iLAB;Conferencia;05-02-2025;18:00;20:30;SBG Corporate;Emprendedores;0;
Taller GoMAD | Go Talk: go get, go build, go run. ¿Cómo funcionan realmente?;Puerta innovación;Taller;05-02-2025;19:00;20:50;Juan Céspedes;Desarrolladores;0;
FormaDOOR | Comunicación para un networking efectivo;Puerta innovación;Formación;04-02-2025;18:30;20:30;Sebastián García Posse, CEO de Ases y Reinas;Emprendedores;6;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;31-01-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
BeersStorming: tendencias 2025 Más Allá de ChatGPT;iLAB;Taller;30-01-2025;18:00;20:30;BeersStorming;Startups;0;
Meetup Elementor: Aprende todo sobre Hello Biz;Puerta innovación;Taller;30-01-2025;18:30;20:30;Ángel Zinsel;Desarrolladores;0;
TechSapiens: notas de Innovación: Fusionando Arte y Tecnología para Impulsar la Ciencia;iLAB;Conferencia;29-01-2025;18:00;20:30;CTrading;Emprendedores;0;
Feria Empleo Aula Industrial ;iLAB;Conferencia;28-01-2025;09:00;13:20;EDE Madrid y Comunidad de Madrid;Estudiantes;0;
WorkDOOR: Martes de Design Thinking;Puerta innovación;Taller;28-01-2025;18:30;20:50;Saúl Loriente;Profesionales;0;
Taller Technovation Girls;Aravaca Innovation Lab;Formación;24-01-2025;18:00;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
Frax Finance Meetup España;iLAB;Conferencia;24-01-2025;17:30;20:30;?Dimitri Orga: Community Lead Frax Finance ES + LatAm  ?Mari Carmen Blanco: CEO MC Protocol  ?Jordi: Founder Jordi in Cryptoland  ?Anicet0: Ambassador at Pancakeswap, TrustWallet & Magpie  ?FlyWhaleCaptain: f(x) Protocol Contributor;Profesionales;0;
Global Connect Sessions 2025;iLAB;Conferencia;23-01-2025;18:30;20:30;DIGITALIZA;Profesionales;0;
Meetup WordPress: ¿Cómo comenzar tu viaje como colaborador de WordPress?;Puerta innovación;Taller;23-01-2025;18:30;20:30;Ha San;Profesionales;0;
Datos en Acción: Claves para Impulsar tu Negocio;Aravaca Innovation Lab;Conferencia;21-01-2025;10:00;13:00;BAIDATA;Empresas;7;El impulso de la economía del dato se ha convertido en los últimos años en una prioridad tanto para la Unión Europea como para nuestro país. La Estrategia Europea de Datos habla ya de una sociedad impulsada por los datos, en la que las empresas deben tener la oportunidad de apoyarse en un mercado único digital, donde los datos sean compartidos libremente y con garantías. En este contexto han nacido asociaciones como BAIDATA, que en apenas dos años se ha consolidado como la referencia en espacios de datos para la Península Ibérica y que nos acompañará en este interesante evento en el que profundizaremos en las oportunidades que ofrece este sector. Durante esta jornada analizaremos los beneficios que pueden obtener pymes y startups al conectarse a la economía del dato y exploraremos las claves para realizar esta transición con rapidez y eficacia. Nos centraremos especialmente en los sectores de la movilidad y la logística, para lo que contaremos con la ayuda de representantes de empresas especializadas. ¡Inscríbete aquí y acompáñanos en esta interesante jornada en la que podrás conocer el funcionamiento de los espacios de datos y su gran utilidad para desarrollar y escalar tu negocio!      10:00 – 10:30 Acreditación y Bienvenida   10:30 - 10:45 Opening  Aravaca Innovation Lab     10:45 - 11:30 Economía del dato: cómo transformar tus datos en valor para tu negocio  Asociación BAIDATA     11:30 - 12:00 Café y Networking   12:00 - 12:30 Aprovecha el potencial de los datos: servicios para convertir tus datos en oportunidades  Software Quality Systems (SQS)     12:30 - 13:00 Casos prácticos: Experiencias con espacios de datos       
Taller Technovation Girls;Aravaca Innovation Lab;Formación;17-01-2025;17:30;20:00;Technovation Girls Madrid;Estudiantes;0;La misión de Technovation Girls es inspirar a niñas y jóvenes entre 8 y 18 años, para que se conviertan en líderes e innovadoras. Con la ayuda de mentores voluntarios, las niñas desarrollan proyectos que buscan resolver problemas de su entorno mediante el uso de la tecnología y el emprendimiento. Las niñas trabajan en equipo para identificar y resolver problemas de su comunidad usando la tecnología. En el proceso desarrollan habilidades de colaboración, resolución de problemas y liderazgo. Aunque las inscripciones se encuentran cerradas, si quieres conocer más, ponte en contacto con nosotros en: aravacainnolab@madrid.es
Pitch Premios +50 Emprende: reconocimiento a emprendedores senior;iLAB;Conferencia;16-01-2025;09:00;14:00;Asociación +Humano;Emprendedores;0;
NSCoder Night Madrid: TvOS vs iOS. La secuela;Puerta innovación;Taller;15-01-2025;19:00;20:30;Pedro Muñoz;Desarrolladores;0;
Taller GoMad: Dentro de un binario de Go;Puerta innovación;Taller;08-01-2025;19:00;20:50;Jesús Espino;Desarrolladores;0;
TechSapiens - El dilema digital: ¿revolución empresarial o ilusión tecnológica?;iLAB;Conferencia;19-12-2024;18:00;20:30;CTradring;Desarrolladores;0;
NSCoder Night Madrid: TvOS vs iOS;Puerta innovación;Taller;18-12-2024;19:00;20:30;Pedro Muñoz;Desarrolladores;0;
PancakeSwap Meetup Spain;iLAB;Conferencia;13-12-2024;18:30;20:30;Anicet0;Emprendedores;0;
"Programa de Aceleración ""Emprendiendo en Igualdad""";iLAB;Presentación de producto;11-12-2024;10:00;12:00;CAM;Emprendedores;0;
II Conexión Empresarial Cuba-España;iLAB;Conferencia;10-12-2024;17:00;19:00;Conecta Iberoamérica;Empresas;0;
